Id,ReplaceString1,Name,ReplaceString2,QuestDesc1,QuestDesc2
1,East Talking Island,{ReplaceString1} Recon,East Talking Island,Defeat {ReplaceString2} Monster(s),Defeat {TaskCount} monster(s) at East Talking Island.
2,West Talking Island,@1,West Talking Island,@1,Defeat {TaskCount} monster(s) at West Talking Island.
3,Gludin Highway,@1,Gludin Highway,@1,Defeat {TaskCount} monster(s) at Gludin Highway.
4,Gludio Plains,@1,Gludio Plains,@1,Defeat {TaskCount} monster(s) at Gludio Plains.
5,Windawood Manor,@1,Windawood Manor,@1,Defeat {TaskCount} monster(s) at Windawood Manor.
6,Wasteland,@1,Wasteland,@1,Defeat {TaskCount} monster(s) at the Wasteland.
7,Plains of Dion,@1,Plains of Dion,@1,Defeat {TaskCount} monster(s) on the Plains of Dion.
8,Cruma Swamp,@1,Cruma Swamp,@1,Defeat {TaskCount} monster(s) at Cruma Swamp.
9,Summit of Dissonance,@1,Summit of Dissonance,@1,Defeat {TaskCount} monster(s) at Summit of Dissonance.
10,Shrieking Hallows,@1,Shrieking Hallows,@1,Defeat {TaskCount} monster(s) at Shrieking Hallows.
11,Giran Dominion,@1,Giran Dominion,@1,Defeat {TaskCount} monster(s) at Giran Dominion.
12,Deathly Fog Shores,@1,Deathly Fog Shores,@1,Defeat {TaskCount} monster(s) at Deathly Fog Shores.
13,Devil's Isle,@1,Devil's Isle,@1,Defeat {TaskCount} monster(s) at Devil's Isle.
14,@13,@1,@13,@1,@13
15,Haunted Necropolis,@1,Haunted Necropolis,@1,Defeat {TaskCount} monster(s) at Haunted Necropolis.
16,@15,@1,@15,@1,@15
101,Elven Ruins 1,Clear {ReplaceString1},Elven Ruins 1,@1,Defeat {TaskCount} monster(s) at Elven Ruins 1.
102,Elven Ruins 2,@101,Elven Ruins 2,@1,Defeat {TaskCount} monster(s) at Elven Ruins 2.
103,Ant Nest 1,@101,Ant Nest 1,@1,Defeat {TaskCount} monster(s) at Ant Nest 1.
104,Ant Nest 2,@101,Ant Nest 2,@1,Defeat {TaskCount} monster(s) at Ant Nest 2.
105,Cruma Tower Floor 2,@101,Cruma Tower Floor 2,@1,Defeat {TaskCount} monster(s) at Cruma Tower Floor 2.
106,Cruma Tower Floor 3,@101,Cruma Tower Floor 3,@1,Defeat {TaskCount} monster(s) at Cruma Tower Floor 3.
107,Ivory Tower Catacomb 1,@101,Ivory Tower Catacomb 1,@1,Defeat {TaskCount} monster(s) at Ivory Tower Catacomb 1.
108,@107,@101,@107,@1,@107
109,Ivory Tower Catacomb 2,@101,Ivory Tower Catacomb 2,@1,Defeat {TaskCount} monster(s) at Ivory Tower Catacomb 2.
110,@109,@101,@109,@1,@109
111,Ivory Tower Catacomb 3,@101,Ivory Tower Catacomb 3,@1,Defeat {TaskCount} monster(s) at Ivory Tower Catacomb 3.
112,@111,@101,@111,@1,@111
201,Sanctuary of Lost Memories,{ReplaceString1} Exploration,Daily Dungeon,@1,Defeat {TaskCount} monster(s) in the Daily Dungeon.
202,@201,@201,@201,@1,@201
203,Extraction Pit,@201,Extraction Pit,@1,Defeat {TaskCount} monster(s) in the Extraction Pit.
204,@203,@201,@203,@1,@203
205,Temple of Water,Protect {ReplaceString1}.,Temple Guardian,@1,Defeat {TaskCount} monster(s) in the Temple Guardian.
206,@205,@205,@205,@1,@205
207,Kresous’s Strongbox,{ReplaceString1} Shake,Adena Vault,@1,Defeat {TaskCount} monster(s) in the Adena Vault.
208,@207,@207,@207,@1,@207
209,Underworld Rift,{ReplaceString1} Conquest,Trials of Experience,@1,Defeat {TaskCount} monster(s) in the Trials of Experience.
210,@209,@209,@209,@1,@209
211,Sealed Entrance,@201,Summoning Circle,@1,Defeat {TaskCount} monster(s) in the Summoning Circle.
212,@211,@201,@211,@1,@211
301,Evil Summoning Stone (Rare),Purify {ReplaceString1},Rare Monster Summoning Stone,@1,Defeat {TaskCount} monster(s) in the dungeon by using a Rare Monster Summoning Stone.
302,@301,@301,@301,@1,@301
303,Evil Summoning Stone (Boss),@301,Boss Summoning Stone,@1,Defeat {TaskCount} monster(s) in the dungeon by using a Boss Summoning Stone.
351,,Butcher,,Player PK,PK another player {TaskCount} time(s).
352,,@351,,@351,@351
401,Spirit Shepherd,Defeat {ReplaceString1},@2,Defeat {ReplaceString2} Field Boss(es),Defeat Spirit Shepherd of West Talking Island {TaskCount} time(s).
402,Zodiac,@401,@3,@401,Defeat Zodiac of Gludin Highway {TaskCount} time(s).
403,Silverbeard,@401,@4,@401,Defeat Silverbeard of Gludio Plains {TaskCount} time(s).
404,Vapar,@401,@5,@401,Defeat Vapar of Windawood Manor {TaskCount} time(s).
405,Kazir,@401,@6,@401,Defeat Kazir of the Wasteland {TaskCount} time(s).
406,Flagon,@401,@7,@401,"Defeat Flagon, boss of the Plains of Dion, {TaskCount} time(s)."
407,Sina,@401,@8,@401,Defeat Sina of Cruma Swamp {TaskCount} time(s).
408,Amadeus,@401,@9,@401,Defeat Amadeus of Summit of Dissonance {TaskCount} time(s).
409,Stenoa,@401,@11,@401,Defeat Stenoa of Giran Dominion {TaskCount} time(s).
1001,,"Busy, Busy Every Day",Daily Quests,Fulfill {ReplaceString2},Complete a Daily Quest {TaskCount} time(s).
1002,,"Busy, Busy Every Week",Weekly Quests,@1001,Complete a Weekly Quest {TaskCount} time(s).
1011,,Supplying Adena through Scrolls,C,Complete Grade {ReplaceString2} or higher Quest Scroll,Complete a Grade C or higher Quest Scroll {TaskCount} time(s).
1012,,@1011,B,@1011,Complete a Grade B or higher Quest Scroll {TaskCount} time(s).
1013,,@1011,A,@1011,Complete an Grade A or higher Quest Scroll {TaskCount} time(s).
1014,,@1011,S,@1011,Complete an Grade S or higher Quest Scroll {TaskCount} time(s).
1031,,Hit and Hit Again,,Achieve Combo,Achieve {TaskCount} combo(s) with consecutive attacks.
1032,,Overpowering Strike,,Achieve Max Damage with a Single Strike,Deal {TaskCount}000000 or higher damage with a single strike.
1101,Monster,{ReplaceString1} Butcher,Normal Monster,Defeat {ReplaceString2},Defeat {TaskCount} monster(s).
1102,Elite Monster,@1101,Elite Monster,@1101,Defeat {TaskCount} Elite monster(s).
1103,Boss,@1101,Boss,@1101,Defeat {TaskCount} boss(es).
1104,,Class Transfer Secret Friend,Kyrios,@1101,Defeat Kyrios {TaskCount} time(s).
