Index,Name
1,Stun
2,Burn
3,Soulshot Test
4,@2
5,Poison
6,@5
7,Overheat
8,@5
9,Level Up Effect
10,Yes Test
11,Currency Test
12,HP Test
13,Mana Shield Test
14,No Test
15,Curse Test
16,Bleed Test
17,Burn Test
18,Stun Test
19,Provoke Test
20,Absolute Shield
21,Invincibility Buff
22,Durability Buff
23,Smart Buff
24,Ratel Speed
25,Ratel Extraction Speed
26,Ratel Extraction Amount
27,Garden Sentry
28,Soulshot Start-up Effect
29,HP Potion Usage Effect
30,MP Potion Usage Effect
31,Class Transfer Effect
32,@31
33,Field Sanctuary Buff 1
34,Field Sanctuary Buff 2
35,Field Sanctuary Buff 3
36,Field Sanctuary Buff 4
37,Field Sanctuary Buff 5
38,Varkaron Shield
39,Berserk Varkaron
40,Berserk Varkaron (Weapon)
41,"Lord’s Favor Buff 1 (HP, MP)"
42,"Lord’s Favor Buff 2 (Exp., Core)"
43,"Lord’s Favor Buff 3 (Adena, Item)"
44,Lord’s Favor Buff Camera
45,Max MP Increase
46,Max HP Increase
47,Def. Increase
48,Speed Increase
49,Atk. Spd. Increase
50,Atk. Increase
51,Berserk Queen Ant
52,Ant Time Bomb 1
53,Ant Time Bomb 2
54,Ant Time Bomb 3
55,Ant Time Bomb 4
56,Ant Time Bomb 5
57,Ant Time Bomb 6
58,Cruma Core: Poison
59,Cruma Core: Silence
60,Cruma Core: Mind Control
61,Queen Ant Barrier
62,Crystal of Unity: Basic
63,Crystal of Unity: Tier 1
64,Crystal of Unity: Tier 2
65,Crystal of Unity: Tier 3
66,Mount/Unmount Effect
67,Marsha’s Skill Effect
68,Clan Hall Potion Usage Effect
69,Clan Hall Potion: Morale Increase
70,Clan Hall Potion: Ice Storm
71,Clan Hall Potion: HP Regen Increase
72,Clan Hall Potion: Anti-Magic
73,Binding
74,Melee Damage Aura (Timer)
75,Water Crystal Barrier
76,Party of Fury
77,Overpower
78,Skill Damage Increase
79,@74
80,@75
81,@76
82,@77
83,Pierced Wound
84,Marlox_Demon’s Fatigue
85,Hero of the Windy Altar
86,Hero of the Earthen Altar
87,Anemia
88,Vampirize Tier 1
89,Vampirize Tier 2
90,Vampirize Tier 3
91,Vampirize Tier 4
92,Vampirize Tier 5
93,Vampiric Change
94,Ramog_Ignition Debuff
95,Ramog_Explosion Standby Self Debuff
96,Firework Effect 1
97,Firework Effect 2
98,Firework Effect 3
99,Firework Effect 4
100,Forceful HP Drain
101,Cloak Effect: PVE Attack Immunity Barrier
102,Cloak Effect: PVP Rare Skill Barrier
103,Zaken Berserk
104,Zaken Shift
105,Field Reward
106,Boss Contribution Reward
107,Boss Final Damage
