Id,SpotName,SpotTitle,Desc
1,Gludin Highway Fortress,,
2,Gludio Plains Fortress,,
3,Windawood Manor Fortress,,
4,Wasteland Fortress,,
5,Plains of Dion Fortress,,
6,Cruma Swamp Fortress,,
7,Summit of Dissonance Fortress,,
8,Shrieking Hallows Fortress,,
9,Giran Dominion Fortress,,
10,Deathly Fog Shores Fortress,,
11,Devil's Isle Fortress,,
12,Haunted Necropolis Fortress,,
13,Dragon Valley Fortress,,
14,Northwind Plateau Fortress,,
15,Eternal Lands Fortress,,
16,Ivory Tower Conquered Fortress,,
17,Dolmen Ruins Fortress,,
18,Shattered Lands Fortress,,
19,Obelisk of Victory Fortress,,
20,Fortified Camp Fortress,,
21,Whispering Woods Fortress,,
22,Haunted Forest Fortress,,
23,Western Scout Post Fortress,,
24,Elven Ruins Fortress,,
101,Talking Island Harbor,Talking Island Harbor,
102,Shattered Lands,Shattered Lands,
197,Talking Island Town,Talking Island Town,
201,Western Scout Post,Western Scout Post,
202,Haunted Forest,Haunted Forest,
301,Windmill Plains,Windmill Plains,
302,Silent Graveyard,Silent Graveyard,
303,Looter Camp,Looter Camp,
397,Gludin Town,Gludin Town,
398,@1,Gludin Highway Fortress,
401,Devastated Farmland,Devastated Farmland,
402,Monster Extermination Command Post,Monster Extermination Command Post,
403,Maille Lizardman Dwellings,Maille Lizardman Dwellings,
404,Turek Orc Camp,Turek Orc Camp,
497,Town of Gludio Castle,Town of Gludio Castle,
498,@2,Gludio Plains Fortress,
499,Gludio Castle,Gludio Castle,
501,Windawood Ruins,Windawood Ruins,
502,Battlefield,Battlefield,
503,Fallen Elf Sanctuary,Fallen Elf Sanctuary,
504,Turek Orc Station,Turek Orc Station,
598,@3,Windawood Manor Fortress,
601,Dustbowl,Dustbowl,
602,Wastelands,Wastelands,
603,Red Rock Mountain Range,Red Rock Ridge,
697,Staris's Campsite,Staris's Campsite,
698,@4,Wasteland Fortress,
701,Logging Area,Logging Area,
702,Agricultural Area,Agricultural Area,
703,Dion Castle Outskirts,Dion Castle Outskirts,
704,Plains,Plains,
797,Town of Dion,Town of Dion,
798,@5,Plains of Dion Fortress,
799,Dion Castle,Dion Castle,
801,Eerie Terrain,Eerie Terrain,
802,Cruma Swampland,Cruma Swampland,
803,Cruma Swampland,Cruma Swampland,
897,Archaeologists’ Camp,Archaeologists’ Camp,
898,@6,Cruma Swamp Fortress,
901,Serene Woods,Serene Woods,
902,Tanor Camp Entrance,Tanor Camp Entrance,
903,Tanor Camp Interior,Tanor Camp Interior,
904,Ol Mahum Hideout,Ol Mahum Hideout,
998,@7,Summit of Dissonance Fortress,
1001,Mandragora Farm,Mandragora Farm,
1002,Execution Grounds,Execution Grounds,
1003,Keep of Agony Entrance,Keep of Agony Entrance,
1004,Keep of Agony Interior,Keep of Agony Interior,
1098,@8,Shrieking Hallows Fortress,
1101,Giran Dominion Entrance,Giran Dominion Entrance,
1102,Gorgon Flower Garden,Gorgon Flower Garden,
1103,Singing Forest,Singing Forest,
1104,Langk Lizardman Camp,Langk Lizardman Camp,
1197,Town of Giran,Town of Giran,
1198,@9,Giran Dominion Fortress,
1199,Giran Castle,Giran Castle,
1201,Trade Route,Trade Route,
1202,Misty Forest,Misty Forest,
1203,Giran Harbor,Giran Harbor,
1297,@897,@897,
1298,@10,Deathly Fog Shores Fortress,
1301,Devil's Isle Temporary Harbor,Devil's Isle Temporary Harbor,
1302,Cursed Gold Cave,Cursed Gold Cave,
1303,Zaken's Ghost Ship Harbor,Zaken's Ghost Ship Harbor,
1398,@11,Devil's Isle Fortress,
1401,Breka Stronghold,Breka Stronghold,
1403,Chasm of Oblivion Waypoint,Chasm of Oblivion Waypoint,
1404,Dragon's Grave,Dragon's Grave,
1405,Deadman's Pass,Deadman's Pass,
1402,Chasm of Oblivion Entrance,Chasm of Oblivion Entrance,
1406,Brink of Death,Brink of Death,
1498,@12,Haunted Necropolis Fortress,
1501,Hunters Valley,Hunters Valley,
1503,Timak Outpost,Timak Outpost,
1502,Hunter's Campsite,Hunter's Campsite,
1597,Town of Oren,Town of Oren,
1598,@14,Northwind Plateau Fortress,
1599,Oren Castle,Oren Castle,
1601,Broken Seal,Broken Seal,
1602,Sea of Spores,Sea of Spores,
1603,Witch's Forest,Witch's Forest,
1697,Device Restricted Zone,Device Restricted Zone,
1698,@15,Eternal Lands Fortress,
1701,Outlaw Forest,Outlaw Forest,
1702,Forest of Evil,Forest of Evil,
1703,Ivory Tower Crater,Ivory Tower Crater,
1798,@16,Ivory Tower Conquered Fortress,
1801,Dragon Valley Entrance,Dragon Valley Entrance,
1802,Land of Dragons,Land of Dragons,
1803,Demonic Rift,Demonic Rift,
1898,@13,Dragon Valley Fortress,
10000,Lesser Giant's Lab,Lesser Giant's Lab,
10001,@10000,@10000,
10002,@10000,@10000,
10003,Einhasad’s Space,God’s Gift,
10004,Gran Kain’s Space,@10003,
20001,Elven Ruins 1,Elven Ruins 1,
20101,Elven Ruins 2,Elven Ruins 2,
20201,Ant Nest 1,Ant Nest 1,
20301,Ant Nest 2,Ant Nest 2,
20401,Cruma Tower Floor 2,Cruma Tower Floor 2,
20501,Cruma Tower Floor 3,Cruma Tower Floor 3,
20601,Ivory Tower Catacomb 1,Ivory Tower Catacomb 1,
20701,Ivory Tower Catacomb 2,Ivory Tower Catacomb 2,
20801,Ivory Tower Catacomb 3,Ivory Tower Catacomb 3,
30000,,West Talking Island Waypoint,East Talking Island -> West Talking Island
30001,,Gludio Ship Wharf,East Talking Island -> Gludin Highway
30002,,East Talking Island Waypoint,West Talking Island -> East Talking Island
30007,,Gludio Wharf,Gludin Highway -> East Talking Island
30008,,Gludio Plains Waypoint,Gludin Highway -> Gludio Plains
30009,,Gludin Highway,Gludio Plains -> Gludin Highway
30010,,Windawood Manor Waypoint,Gludio Plains -> Windawood Manor
30011,,Gludio Plains Waypoint,Windawood Manor -> Gludio Plains
30012,,Wasteland Waypoint,Windawood Manor -> Wasteland
30013,,@30010,Wasteland -> Windawood Manor
30014,,Plains of Dion Waypoint,Wasteland -> Plains of Dion
30021,,@30012,Plains of Dion -> Wasteland
30022,,Cruma Swamp Waypoint,Plains of Dion -> Cruma Swamp
30023,,@30014,Cruma Swamp -> Plains of Dion
30024,,Summit of Dissonance Waypoint,Cruma Swamp -> Summit of Dissonance
30029,,@30022,Summit of Dissonance -> Cruma Swamp
30030,,Shrieking Hallows Waypoint,Summit of Dissonance -> Shrieking Hallows
30031,,@30024,Shrieking Hallows -> Summit of Dissonance
30032,,Giran Dominion Waypoint,Shrieking Hallows -> Giran Dominion
30033,,@30030,Giran Dominion -> Shrieking Hallows
30034,,Deathly Fog Shores Waypoint,Giran Dominion -> Deathly Fog Shores
30035,,Haunted Necropolis Waypoint,Giran Dominion -> Haunted Necropolis
30036,,@30032,Deathly Fog Shores -> Giran Dominion
30037,,Devil's Isle Ship Wharf,Deathly Fog Shores -> Devil's Isle
