Id,Description
1,Adds [Param] Bonus Dmg. to final damage when attacking Normal Monsters
2,Adds [Param] Bonus Dmg. to final damage when attacking Elite Monsters
3,Adds [Param] Bonus Dmg. to final damage when attacking Bosses
4,Adds [Param] Bonus Dmg. to final damage when attacking Players
5,Decreases final Damage from Normal Monsters by [Param]
6,Decreases final Damage from Elite Monsters by [Param]
7,Decreases final Damage from Bosses by [Param]
8,Decreases final Damage from Players by [Param]
9,Increases Stun and Knock Down Resist Rate Amplification by [Param]
10,M. Def. +[Param]
11,Increases Slow Resist Rate Amplification by [Param]
12,Increases Crit. Resist Rate Amplification by [Param]
13,Speed +[Param]
14,Increases Combo Duration by [Param] seconds
15,Adds [Param] Bonus Dmg. when using Normal Attack Skills
16,Adds [Param] Bonus Dmg. to final damage when attacking Magical Monsters
17,Decreases final Damage from Magical Monsters by [Param]
19,Adds [Param] Bonus Dmg. to Monsters when using Normal Attack Skills
20,Adds [Param] Bonus Recovery when using Normal Recovery Skills
101,[Param] Bonus Dmg. vs Normal Monsters
102,@101
103,@101
104,[Param] Bonus Dmg. vs Bosses
105,@104
106,@104
107,Damage from Other Players -[Param]
108,@107
109,[Param] Bonus Dmg. vs Other Players
110,@109
111,Damage from Normal Monsters -[Param]
112,@111
113,[Param] Bonus Dmg. vs Elite Monsters
114,@113
115,Damage from Elite Monsters -[Param]
116,@115
117,Damage from Bosses -[Param]
118,@117
201,@104
202,@117
203,[Param] Bonus Dmg. vs. Castle Siege Building
204,@113
205,@104
206,Adds [Param] Bonus Dmg. when attacking Magical Monsters
301,Increases Atk. Spd by [Param] on battlefield.
