Id,Name,RepresentRewardName,RepresentRewardDescription,Description
200,精灵废墟1楼,,,回到曾经由精灵教授人类魔法的学校，在这个充满魔法能量的地方建立了能成为大陆主人的盘石。
201,精灵废墟2楼,,,在精灵还是主人的时期，只开放给实力卓越者的楼层，会产生比1楼更强大的魔法能量。
202,蚂蚁洞窟地下1楼,,,因黑魔法所导致的大爆破之后，在荒原中存活下来的巨大蜘蛛巢穴。
203,蚂蚁洞窟地下2楼,,,蚂蚁们为了藏匿珍贵的东西，组成了更复杂的迷宫，如果不是蚂蚁的话，是很难找到出路的。
204,克鲁玛高塔2楼,,,为了保护古代巨人们创造新生命所进行的活体实验移动要塞兼实验所的研究室。
205,克鲁玛高塔3楼,,,原本塔的目的是进行活体实验的研究室，研究室有很多层且楼层里面充满巨人的魔法能量
206,象牙塔地下1楼,,,陨石光雾坠落后产生的空间，在过去曾用来当作研究室和图书馆，而在法师暴走的事件后被封锁的地方。
207,象牙塔地下2楼,,,曾经是炼金术实验室，现在则充斥着如坚硬矿物般的蘑菇，穿透地面长出来的地方。
208,象牙塔地下3楼,,,是有陨石光雾的地方，受光雾影响被强化的魔物可以疯狂乱动的空间
209,象牙塔地下研究所,,,受到陨石的影响发疯之后，热衷于人体实验的某位象牙塔魔法师的研究所，同时也是他的封印之地。这里到处都是他的实验体。
210,秘密树林上层,,,原本是小妖精们的居住地，但小妖精们受到战争消失之后，这里就被怪物们占领了。
211,秘密树林下层,,,一度树木茂盛，遮天蔽日的秘密森林，被怪物们破坏后形成的空间。
212,秘密树林屠杀者,,,迫于猎人的追杀而逃亡的小妖精们最后被屠杀的地方，终日笼罩着一层阴森的血色雾气。
4000,彩虹鳞庭院(堆),,,
9000,经验值副本 I,进阶石,获得随机进阶石1个。,黑暗团体在设置魔物召唤石时，有很多没发现到的强力物体。为了解除这个东西，必须进入这个空间消灭掉魔物们才行。
9001,经验值副本 II,@9000,获得随机进阶石2个。,@9000
9002,经验值副本 III,@9000,获得随机进阶石3个。,@9000
9003,经验值副本 IV,@9000,获得随机进阶石5个。,@9000
9100,经验值副本 V,@9000,@9003,@9000
9004,金币副本 I,@9000,@9000,"这是艾尔摩亚丁的皇帝史奈曼为了建造傲慢之塔而用来保管黄金的城堡。
在贪婪的史奈曼去世后，被遗忘的这座城堡，
现在成为了黄金龙克瑞索斯的巢穴。"
9005,金币副本 II,@9000,@9001,@9004
9006,金币副本 III,@9000,@9002,@9004
9009,装备副本 I,@9000,@9000,"精灵神殿保管了受伊娃祝福的水之水晶。
哈汀为了保护水之水晶不被黑暗团体抢走
命令银光佣兵团守护神殿。"
9010,装备副本 II,@9000,@9001,@9009
9011,装备副本 III,@9000,@9002,@9009
9012,装备副本 IV,@9000,@9003,@9009
9300,装备副本 V,@9000,@9003,@9009
9013,召唤石副本I,@9000,@9000,佩勒奈在解除被封印圣物咒术期间保护，攻略副本，获得召唤石吧
9014,召唤石副本II,@9000,@9001,@9013
9015,召唤石副本III,@9000,@9002,@9013
9016,召唤石副本IV,@9000,@9003,@9013
9017,洗炼石副本 I,@9000,@9000,请破坏能召唤怪物的次元之门，并获得奖励
9018,洗炼石副本 II,@9000,@9001,@9017
9019,洗炼石副本 III,@9000,@9002,@9017
9020,洗炼石副本 IV,@9000,@9003,@9017
11100,古代的圣所 I,进阶石选择箱,获得进阶石选择箱1个。,
11101,古代的圣所 II,@11100,获得进阶石选择箱2个。,
11102,古代的圣所 III,@11100,获得进阶石选择箱3个。,
11103,古代的圣所 IV,@11100,获得进阶石选择箱4个。,
11104,古代的圣所 V,闪亮的进阶石选择箱,获得1个散发光芒的进阶石选择宝箱,
11200,追捕者的圣所 I,武器强化卷轴,获得武器强化卷轴1个。,
11201,追捕者的圣所 II,@11200,获得武器强化卷轴2个。,
11202,追捕者的圣所 III,@11200,获得武器强化卷轴3个。,
11203,追捕者的圣所 IV,@11200,获得武器强化卷轴4个。,
11204,追捕者的圣所 V,武器&坐骑宠装备强化卷轴,获得5个武器强化卷轴和1个宠物装备强化卷轴。,
11300,战士的圣所 I,武器进阶石,获得武器进阶石1个。,
11301,战士的圣所 II,@11300,获得武器进阶石2个。,
11302,战士的圣所 III,@11300,获得武器进阶石3个。,
11303,战士的圣所 IV,@11300,获得武器进阶石4个。,
11304,战士的圣所 V,发亮的武器进阶石,获得1个散发光芒的武器进阶石,
11400,怪兽的圣所 I,防具强化卷轴,获得防具强化卷轴1个。,
11401,怪兽的圣所 II,@11400,获得防具强化卷轴2个。,
11402,怪兽的圣所 III,@11400,获得防具强化卷轴3个。,
11403,怪兽的圣所 IV,@11400,获得防具强化卷轴4个。,
11404,怪兽的圣所 V,防具&坐骑宠装备强化卷轴,获得5个防具强化卷轴及1个坐骑宠装备强化卷轴。,
11500,魔物的圣所 I,防具进阶石,获得防具进阶石1个。,
11501,魔物的圣所 II,@11500,获得防具进阶石2个。,
11502,魔物的圣所 III,@11500,获得防具进阶石3个。,
11503,魔物的圣所 IV,@11500,获得防具进阶石4个。,
11504,魔物的圣所 V,发亮的防具进阶石,获得1个散发光芒的防具进阶石。,
11600,魔性的圣所 I,饰品强化卷轴,获得饰品强化卷轴1个。,
11601,魔性的圣所 II,@11600,获得饰品强化卷轴2个。,
11602,魔性的圣所 III,@11600,获得饰品强化卷轴3个。,
11603,魔性的圣所 IV,@11600,获得饰品强化卷轴4个。,
11604,魔性的圣所 V,饰品&坐骑宠装备强化卷轴,获得5个饰品强化卷轴及1个坐骑宠装备强化卷轴。,
11700,记忆的圣所 I,饰品进阶石,获得饰品进阶石1个。,
11701,记忆的圣所 II,@11700,获得饰品进阶石2个。,
11702,记忆的圣所 III,@11700,获得饰品进阶石3个。,
11703,记忆的圣所 IV,@11700,获得饰品进阶石4个。,
11704,记忆的圣所 V,发亮的饰品进阶石,获得1个散发光芒的饰品进阶石。,
12001,傲慢之塔{IntParam}楼,@9000,,
12002,@12001,强化卷轴,,
12003,@12001,血之证,,
12004,@12001,搜魂石,,
12005,@12001,金币,,
12006,@12001,装备抽奖券,,
12007,@12001,@9000,,
12008,@12001,@12002,,
12009,@12001,@12003,,
12010,@12001,@12004,,
12011,@12001,@12005,,
12012,@12001,@12006,,
12013,@12001,@9000,,
12014,@12001,@12002,,
12015,@12001,@12003,,
12016,@12001,@12004,,
12017,@12001,@12005,,
12018,@12001,@12006,,
12019,@12001,@9000,,
12020,@12001,@12002,,
12021,@12001,@12003,,
12022,@12001,@12004,,
12023,@12001,@12005,,
12024,@12001,@12006,,
12025,@12001,@9000,,
12026,@12001,@12002,,
12027,@12001,@12003,,
12028,@12001,@12004,,
12029,@12001,@12005,,
12030,@12001,@12006,,
12031,@12001,@12006,,
12032,@12001,@12006,,
12033,@12001,@12006,,
12034,@12001,@12006,,
12035,@12001,@12006,,
12036,@12001,@12006,,
12037,@12001,@12006,,
12038,@12001,@12006,,
12039,@12001,@12006,,
12040,@12001,@12006,,
12041,@12001,@12006,,
12042,@12001,@12006,,
12043,@12001,@12006,,
12044,@12001,@12006,,
12045,@12001,@12006,,
12046,@12001,@12006,,
12047,@12001,@12006,,
12048,@12001,@12006,,
12049,@12001,@12006,,
12050,@12001,@12006,,
12051,@12001,@12006,,
12052,@12001,@12006,,
12053,@12001,@12006,,
12054,@12001,@12006,,
12055,@12001,@12006,,
12056,@12001,@12006,,
12057,@12001,@12006,,
12058,@12001,@12006,,
12059,@12001,@12006,,
12060,@12001,@12006,,
12061,@12001,@12006,,
12062,@12001,@12006,,
12063,@12001,@12006,,
12064,@12001,@12006,,
12065,@12001,@12006,,
12066,@12001,@12006,,
12067,@12001,@12006,,
12068,@12001,@12006,,
12069,@12001,@12006,,
12070,@12001,@12006,,
12071,@12001,@12006,,
12072,@12001,@12006,,
12073,@12001,@12006,,
12074,@12001,@12006,,
12075,@12001,@12006,,
12076,@12001,@12006,,
12077,@12001,@12006,,
12078,@12001,@12006,,
12079,@12001,@12006,,
12080,@12001,@12006,,
12081,@12001,@12006,,
12082,@12001,@12006,,
12083,@12001,@12006,,
12084,@12001,@12006,,
12085,@12001,@12006,,
12086,@12001,@12006,,
12087,@12001,@12006,,
12088,@12001,@12006,,
12089,@12001,@12006,,
12090,@12001,@12006,,
12091,@12001,@12006,,
12092,@12001,@12006,,
12093,@12001,@12006,,
12094,@12001,@12006,,
12095,@12001,@12006,,
12096,@12001,@12006,,
12097,@12001,@12006,,
12098,@12001,@12006,,
12099,@12001,@12006,,
12100,@12001,@12006,,
20001,下巨人的遗址,,,
20002,@20001,,,
20003,@20001,,,
20004,@20001,,,
20005,@20001,,,
20006,@20001,,,
20007,@20001,,,
20008,@20001,,,
20009,@20001,,,
20010,@20001,,,
20011,@20001,,,
20012,@20001,,,
20013,@20001,,,
20014,@20001,,,
20015,@20001,,,
20016,@20001,,,
20017,@20001,,,
20018,@20001,,,
20019,@20001,,,
20020,@20001,,,
20021,@20001,,,
20022,@20001,,,
20023,@20001,,,
20024,@20001,,,
20025,@20001,,,
20026,@20001,,,
20027,@20001,,,
20028,@20001,,,
20029,@20001,,,
20030,@20001,,,
20031,@20001,,,
20032,@20001,,,
20033,@20001,,,
20034,@20001,,,
20035,@20001,,,
20036,@20001,,,
20037,@20001,,,
20038,@20001,,,
20039,@20001,,,
20040,@20001,,,
20041,@20001,,,
20042,@20001,,,
20043,@20001,,,
20044,@20001,,,
20045,@20001,,,
20046,@20001,,,
20047,@20001,,,
20048,@20001,,,
20049,@20001,,,
20050,@20001,,,
20051,@20001,,,
20052,@20001,,,
20053,@20001,,,
20054,@20001,,,
20055,@20001,,,
20056,@20001,,,
20057,@20001,,,
20058,@20001,,,
20059,@20001,,,
20060,@20001,,,
20061,@20001,,,
20062,@20001,,,
20063,@20001,,,
20064,@20001,,,
20065,@20001,,,
20066,@20001,,,
20067,@20001,,,
20068,@20001,,,
20069,@20001,,,
20070,@20001,,,
20071,@20001,,,
20072,@20001,,,
20073,@20001,,,
20074,@20001,,,
20075,@20001,,,
20076,@20001,,,
20077,@20001,,,
20078,@20001,,,
20079,@20001,,,
20080,@20001,,,
20081,@20001,,,
20082,@20001,,,
20083,@20001,,,
20084,@20001,,,
20085,@20001,,,
20086,@20001,,,
20087,@20001,,,
20088,@20001,,,
20089,@20001,,,
20090,@20001,,,
20091,@20001,,,
20092,@20001,,,
20093,@20001,,,
20094,@20001,,,
20095,@20001,,,
20096,@20001,,,
20097,@20001,,,
20098,@20001,,,
20099,@20001,,,
20100,@20001,,,
20101,@20001,,,
20102,@20001,,,
20103,@20001,,,
20104,@20001,,,
20105,@20001,,,
20106,@20001,,,
20107,@20001,,,
20108,@20001,,,
20109,@20001,,,
20110,@20001,,,
20111,@20001,,,
20112,@20001,,,
20113,@20001,,,
20114,@20001,,,
20115,@20001,,,
20116,@20001,,,
20117,@20001,,,
20118,@20001,,,
20119,@20001,,,
20120,@20001,,,
20121,@20001,,,
