GuildRecordType,GuildRecordString
0,[Param1]血盟成员捐赠了[Param2]金币。
1,[Param1]血盟成员捐赠了[Param2]血之证。
2,血盟增益效果[Param1]提升为[Param2]级。
3,<FontYellow>血盟等级提升为[Param1]级</>
4,对[Param1]血盟<FontRed>宣战。</>
6,与[Param1]血盟<FontBlue>缔结了同盟</>。
7,与[Param1]血盟<FontRed>解除了同盟</>。
8,[Param1]血盟成员提升为[Param2]阶级。
10,[Param1]<FontBlue>加入</>了血盟。
11,[Param1]<FontRed>退出</>了血盟。
12,在<FontYellow>[Param1]征收了[Param2]个钻石箱为税收。</>
13,成功攻略的血盟副本<FontBlue>[Param1]</> 。
14,成功攻略的血盟成就<FontGreen>[Param1]</>。
15,<FontYellow>[Param1]成了城堡的主人。</>
16,@CastleAcquired
17,送礼给血盟成员[Param1][Param2][Param3]个<FontGreen></>。
18,奖励血盟成员[Param1]给了[Param2][Param3]个<FontBlue></>。
19,向所有血盟成员发放了[Param1][Param2]个<FontBlue>奖励</>。
20,与[Param1]血盟的战争中获得了<FontBlue>胜利</>。
21,与[Param1]血盟的战争中<FontRed>败北</>。
22,与[Param1]血盟的战争结果是平手。
23,[Param1]盟主从攻城商店购买了[Param2]。
24,[Param1]血盟成员捐赠了[Param2]血盟红色星石。
9,从[Param1]<FontRed>自动委任盟主为</>[Param2]。
25,<FontYellow>购买了血盟据点。</>
26,<FontYellow>血盟据点变成了[Param1]级。</>
27,<FontYellow>凝聚水晶成长至[Param1]级。</>
28,打算放弃[Param1]的所有权。
29,放弃了[Param1]的所有权。
30,与[Param1]血盟的战争在商讨后结束了。
