Type,Name
0,物理攻击力
1,魔法攻击力
2,物理攻击力大幅提升
3,魔法攻击力大幅提升
4,普通攻击攻击力增加
5,依照队员数量攻击力大幅增加
6,攻击速度大幅增加
7,战斗力
126,增加冷却时间
9,暴击率
10,暴击抵抗率
11,暴击伤害大幅增加
12,暴击命中值
13,暴击抵抗值
14,暴击命中大幅增加
15,暴击抵抗大幅增加
16,物理防御力
17,魔法防御力
18,物理防御力大幅增加
19,魔法防御力大幅增加
20,回避
21,回避大幅增加
22,回避率
23,命中
24,命中大幅增加
25,命中率
26,伤害量增加率
27,物理伤害量增加率
28,@IncreaseDamagePhyMul
29,对减速目标的伤害量增加率
30,无视防御伤害
31,伤害量减少率
32,物理伤害量减少率
33,魔法伤害量减少率
34,固定伤害减少
35,推开机率
36,推开伤害减少率
37,经验值
38,经验值获得量增加率
39,威胁值大幅增加
40,HP
41,HP恢复量
42,HP吸收率
43,道具掉落率增加
44,最大HP
45,最大HP大幅增加
46,最大MP
47,最大MP大幅增加
48,MP
49,MP消耗大幅增加
50,MP恢复量
51,移动速度
52,移动速度大幅增加
53,减速抵抗率
54,晕眩抵抗率
55,异常状态抵抗率
56,拉近目标抵抗率
126,击退抵抗率
58,金币
59,金币获得量增加率
60,免费钻石
61,付费钻石
62,任务券
63,讨伐扫荡券
64,符文碎片
65,SP
66,友情点数
67,黄宝石
68,积分
69,无敌
70,一击必杀
71,聪明
72,健壮
73,职业经验值
74,血盟铸币
75,成就分数
76,攻城战庆典卷
77,PVP入场券
78,PVP名誉分数
79,级
80,贯穿
81,韧性
82,技能范围增加
83,技能击打数增加
84,采集速度增加
85,采集数量增加
86,魔法护盾率(魔力吸收伤害率)
87,防止PK
88,怪物核心掉落率增加
89,@CombatPower
90,连击时间增加
