Id,Name,Desc,DialogNpcName,Dialog
1111,1. 忍耐的证明,消灭怪物{TaskCount}只数,,
1112,2. 一天的总结,突破简单难度的每日副本,艾尔美,"哇~ 已经消灭50只了，真的好厉害！！<p>接下来的考验是突破简单难度的每日副本！
在圣域的首领可是出了名的强大。<p>只有真正的战士才能打倒牠们！
来！快去证明你的实力吧！"
1113,3. 准备的态度,获得{TaskCount}个C级道具,@1112,哇-我还真是第一次看到有人在这么短的时间内消灭圣域内的首领呢。真的很厉害？<p>接下来的考验是...嗯。虽然也称不上是考验...其实就是收集C级道具。<p>战斗中会发现装备升级的需求!这时需要的就是C级道具，收集这类道具用在装备强化就会有很大的帮助!快去收集C级道具吧！
1114,4. 万人的认同,请参加{TaskCount}次以上决斗。,@1112,"如何?用C级道具来升级有很大的帮助吧?!<p>来!既然升级装备了，就该轮到好好发挥实力了吧？<p>怪物？哈哈！
我已经看过很多和怪物战斗了，这次就让我看看和人对战吧！<p>都成为银光佣兵团了，还在竞技场被人欺负可是会很没面子的。最少得具备一定的实力啊？<p>嗯嗯。我来看看~好~参加1次！
参加1次竞技场后再回来吧。这种程度对你来说应该很简单吧？<p>不要这么夸张的表情啦~
我入团的时候可是要参加100次呢！
快去！加油！"
1115,5. 证明资格,获得{TaskCount}金币,@1112,"噢-这么快？已经参加1次竞技场了？<p>那就立刻接着进行下个考验吧？<p>下个考验是获得1万金币。<p>算是同时考验你的狩猎能力与财政管理能力！
若不能管好财政，在重要的瞬间可能会因为缺钱而死亡-<p>来-来-那就快去收集1万金币吧！"
1116,6. 突破极限,成功强化装备{TaskCount}次,@1112,"那我们继续进行下个考验吧？<p>下个考验是强化你的装备。<p>附带一提，对佣兵来说装备就跟生命一样重要。
想在战场上活命，就要持续不断的强化装备！<p>那就快去吧！去强化成功1次！"
1117,7. 认证,消灭人骨收藏家基利欧斯{TaskCount}次,@1112,哇~终于要到最终考验了？恭喜啊！果然上头看中的人才就是不一样？<p>因为你的实力出众，所以这次打算让你参加基利欧斯讨伐战！基利欧斯是专门屠杀人类的可怕恶魔！<p>因为太过危险，在佣兵团内也只会交给实力出众的成员。结果没想到这次上头却要把这次任务交给你呢！<p>我还真是第一次遇到这种事！这表示他们非常认同你的实力吧！<p>既然最后一个考验被这项任务代替了，希望你能成功消灭牠！虽然不简单，不过还是祝你好运！<p>对了！这个任务应该会比你想的更难，建议你可以带上同伴一起执行！
1121,@1111,@1111,,
1122,@1112,@1112,@1112,@1112
1123,@1113,@1113,@1112,@1113
1124,@1114,@1114,@1112,@1114
1125,@1115,@1115,@1112,@1115
1126,@1116,@1116,@1112,@1116
1127,@1117,@1117,@1112,@1117
1131,@1111,@1111,,
1132,@1112,@1112,@1112,@1112
1133,@1113,@1113,@1112,@1113
1134,@1114,@1114,@1112,@1114
1135,@1115,@1115,@1112,@1115
1136,@1116,@1116,@1112,@1116
1137,@1117,@1117,@1112,@1117
1211,@1111,@1111,,
1212,@1112,@1112,@1112,@1112
1213,@1113,@1113,@1112,@1113
1214,@1114,@1114,@1112,@1114
1215,@1115,@1115,@1112,@1115
1216,@1116,@1116,@1112,@1116
1217,@1117,@1117,@1112,@1117
1221,@1111,@1111,,
1222,@1112,@1112,@1112,@1112
1223,@1113,@1113,@1112,@1113
1224,@1114,@1114,@1112,@1114
1225,@1115,@1115,@1112,@1115
1226,@1116,@1116,@1112,@1116
1227,@1117,@1117,@1112,@1117
1231,@1111,@1111,,
1232,@1112,@1112,@1112,@1112
1233,@1113,@1113,@1112,@1113
1234,@1114,@1114,@1112,@1114
1235,@1115,@1115,@1112,@1115
1236,@1116,@1116,@1112,@1116
1237,@1117,@1117,@1112,@1117
1311,@1111,@1111,,
1312,@1112,@1112,@1112,@1112
1313,@1113,@1113,@1112,@1113
1314,@1114,@1114,@1112,@1114
1315,@1115,@1115,@1112,@1115
1316,@1116,@1116,@1112,@1116
1317,@1117,@1117,@1112,@1117
1321,@1111,@1111,,
1322,@1112,@1112,@1112,@1112
1323,@1113,@1113,@1112,@1113
1324,@1114,@1114,@1112,@1114
1325,@1115,@1115,@1112,@1115
1326,@1116,@1116,@1112,@1116
1327,@1117,@1117,@1112,@1117
1331,@1111,@1111,,
1332,@1112,@1112,@1112,@1112
1333,@1113,@1113,@1112,@1113
1334,@1114,@1114,@1112,@1114
1335,@1115,@1115,@1112,@1115
1336,@1116,@1116,@1112,@1116
1337,@1117,@1117,@1112,@1117
1411,@1111,@1111,,
1412,@1112,@1112,@1112,@1112
1413,@1113,@1113,@1112,@1113
1414,@1114,@1114,@1112,@1114
1415,@1115,@1115,@1112,@1115
1416,@1116,@1116,@1112,@1116
1417,@1117,@1117,@1112,@1117
1421,@1111,@1111,,
1422,@1112,@1112,@1112,@1112
1423,@1113,@1113,@1112,@1113
1424,@1114,@1114,@1112,@1114
1425,@1115,@1115,@1112,@1115
1426,@1116,@1116,@1112,@1116
1427,@1117,@1117,@1112,@1117
1431,@1111,@1111,,
1432,@1112,@1112,@1112,@1112
1433,@1113,@1113,@1112,@1113
1434,@1114,@1114,@1112,@1114
1435,@1115,@1115,@1112,@1115
1436,@1116,@1116,@1112,@1116
1437,@1117,@1117,@1112,@1117
