ID,SkillName,SkillDesc
1,瞄准目标,"指定自己周围的1名目标作为<YellowBold>靶子</>。
该技术的施展极为迅速，
因此只要目标位于范围之内，就避无可避。

使目标进入<YellowBold>晕厥</>状态，无法移动。"
2,投斧,"向目标投掷斧子造成<YellowBold>固定伤害</>。
根据投中的人数
<YellowBold>分散伤害量</>。
被斧子击中的目标将会燃起<YellowBold>火苗</>。

<YellowBold>火苗</>在一定时间后爆炸，
<YellowBold>击倒</>目标并造成伤害。
此外，受到伤害的目标脚底将会升起
<YellowBold>火焰</>，造成额外伤害。"
3,大地破裂,给<YellowBold>前方范围</>内所有目标造成伤害。
4,疯狂之剑,"给前方扇形范围内所有目标造成伤害，
被攻击的目标进入<YellowBold>放火</>状态。

进入<YellowBold>放火</>状态的目标在
<RedBold>帕格立欧之火</><YellowBold>大爆炸</>时
<YellowBold>放火每叠加1层受到额外伤害</>。
放火最多可以叠加5层。"
5,破灭,"<RedBold>拉莫格</>向中央移动后，
给<YellowBold>自己周围270度</>范围内造成伤害。
该技术施展1次可以<YellowBold>连续发动4次</>，
每次发动时改变方向。
被破灭击中的目标进入<YellowBold>放火</>状态。

进入<YellowBold>放火</>状态的目标在
<RedBold>帕格立欧之火</><YellowBold>大爆炸</>时
<YellowBold>放火每叠加1层受到额外伤害</>。
放火最多可以叠加5层。"
6,爆炸准备,"<RedBold>拉莫格</>向中央移动后，
召唤<RedBold>帕格立欧之火</>。

召唤出的<RedBold>帕格立欧之火</>向着<RedBold>拉莫格</>
前进，在和<RedBold>拉莫格</>接触的瞬间大爆炸，给整个画面的敌人造成强烈伤害。

此外，给进入<YellowBold>放火</>状态的目标造成与
<YellowBold>放火状态叠加数量相符的额外伤害</>。"
7,@1,@1
8,@2,@2
9,@3,@3
10,@4,@4
11,@5,@5
12,@6,@6
13,@1,@1
14,@2,"向目标投掷斧子造成<YellowBold>固定伤害</>。
根据投中的人数
<YellowBold>分散伤害量</>。
被斧子击中的目标将会燃起<YellowBold>火苗</>。

<YellowBold>火苗</>在一定时间后爆炸，
<YellowBold>击倒</>目标并造成伤害。
此外，受到伤害的目标脚底将会升起
<YellowBold>火焰</>，造成额外伤害。

<YellowBold>-有一定概率连续投掷2次斧子</>
<YellowBold>。</>"
15,@3,@3
16,@4,@4
17,@5,"<RedBold>拉莫格</>向中央移动后，
给<YellowBold>自己周围270度</>范围内造成伤害。
该技术施展1次可以<YellowBold>连续发动4次</>，
每次发动时改变方向。
被破灭击中的目标进入<YellowBold>放火</>状态。

进入<YellowBold>放火</>状态的目标在
<RedBold>帕格立欧之火</><YellowBold>大爆炸</>时
<YellowBold>放火每叠加1层受到额外伤害</>。
放火最多可以叠加5层。

<YellowBold>-根据拉莫格自身的体力</>
<YellowBold>使用更多角度的破灭。</>"
18,@6,"<RedBold>拉莫格</>向中央移动后，
召唤<RedBold>帕格立欧之火</>。

召唤出的<RedBold>帕格立欧之火</>向着<RedBold>拉莫格</>
前进，在和<RedBold>拉莫格</>接触的瞬间大爆炸，给整个画面的敌人造成强烈伤害。

此外，给进入<YellowBold>放火</>状态的目标造成与
<YellowBold>放火状态叠加数量相符的额外伤害</>。

<YellowBold>-召唤2个帕格立欧之火。</>"
19,@1,@1
20,@2,@14
21,@3,@3
22,@4,@4
23,@5,@17
24,@6,@18
25,刺伤,"用剑戳刺敌人，<YellowBold>减少敌人的防御力</>。
最多叠加3层。"
26,血爆,"从敌人的<YellowBold>刺伤</>中吸取血液，<YellowBold>召唤血团</>。
被召唤的<RedBold>血团</>会寻找附近的敌人，引发<YellowBold>自爆</>。"
27,贫血,"通过血液操纵魔法的吸血鬼会随着战斗时间的延长
进入<YellowBold>无防备状态</>，<YellowBold>提高所受伤害</>。"
28,生命掠夺,"吸血鬼<YellowBold>贫血</>时将会<YellowBold>强制从周围吸血</>。
要摆脱这一状态，可以将<YellowBold>吸血鬼之血</>涂在身上，
<YellowBold>欺骗魔法。</>"
29,@25,@25
30,@26,@26
31,@27,@27
32,@28,@28
33,@25,"用剑戳刺敌人，<YellowBold>减少敌人的防御力</>。

<YellowBold>-现在最多可叠加5层。</>"
34,@26,"从敌人的<YellowBold>刺伤</>中吸取血液，<YellowBold>召唤血团</>。
被召唤的<RedBold>血团</>会寻找附近的敌人，引发<YellowBold>自爆</>。

<YellowBold>-自爆同时产生沸腾之血。</>
<YellowBold>-接触到沸腾之血时受到伤害。</>"
35,@27,@27
36,@28,@28
37,血狱,"<YellowBold>生命力降至50%</>时，感到威胁的莱奥纳德会
<YellowBold>召唤大量血团</>，企图同归于尽。"
38,@25,"用剑戳刺敌人，<YellowBold>减少敌人的防御力</>。

<YellowBold>-现在最多可叠加5层。</>"
39,@26,@34
40,@27,@27
41,@28,@28
42,@37,@37
43,吸血鬼化,"使用血之魔法将敌人逐渐变为吸血鬼。
牺牲者的变异分为<YellowBold>3个阶段</>，每个阶段
<YellowBold>攻击力提高</>，<YellowBold>防御力降低</>。"
44,吸血鬼转换,"暴露在<YellowBold>吸血鬼化</>之下<YellowBold>3次</>后，会暂时变为吸血鬼，
<YellowBold>攻击同伴</>。"
45,补血,"通过血液操纵魔法的吸血鬼，一旦战斗时间过长
将为了补充血液<YellowBold>变异为蝙蝠逃跑</>。
<RedBold>蝙蝠</>飞向<BlueBold>奇岩先遣队员</>的尸体，
<YellowBold>吸血3次</>。"
46,血之怒,"<RedBold>蝙蝠</>把吸到的血传递给特里夏。
<RedBold>特里夏</>根据吸血成功的蝙蝠数量，
<YellowBold>恢复相应体力</>，<YellowBold>暂时强化力量。</>"
47,札肯到达,"<YellowBold>战斗开始5分钟后</>召唤魔法完成，
<YellowBold>札肯出现</>。
札肯将会<YellowBold>杀害威胁特里夏的冒险家们</>。"
48,@43,@43
49,@44,@44
50,@45,@45
51,@46,@46
52,@47,@47
53,@43,@43
54,@44,"暴露在<YellowBold>吸血鬼化</>之下<YellowBold>3次</>后，会暂时变为吸血鬼，
<YellowBold>攻击同伴</>。

<YellowBold>-成为吸血鬼后会变得更强。</>"
55,@45,@45
56,@46,@46
57,@47,@47
58,血之激流,"受到威胁的特里夏掀起了一波强过一波的
<YellowBold>血波</>。"
59,@43,@43
60,@44,@54
61,@45,@45
62,@46,@46
63,@47,@47
64,@58,@58
