Id,NpcName,DialogMessage
1001,,
1002,,
2001,,
2002,,
3001,,
3002,港口管理人普赛克,"欢迎您的到来。您是第一次来到说话之岛吗？
若点击这个地方，则会自动进行任务。"
4001,,
4002,佣兵团长道格拉斯,"当任务完成时，
自动进行任务也会终止！
需要再点点一次。"
6001,@4002,"最后，再多加练习吧。
再次点击这个位置
找我对话。"
11001,警卫队长 哈洛德,试着按下背包键。可以在背包里查看获得的道具呢。
11002,,
11003,@11001,"按下自动装备按钮，
即可自动配置最适合的装备。"
11004,,
11005,@11001,"这是对于跟你一样身为新手的冒险家们很有用的功能，
希望你能好好运用。"
11006,,
12001,佩勒奈,"若使用<YellowBold>灵魂弹</>
则可以进行更强力的攻击。"
12002,@12001,若点击这个地方，则可以自动使用灵魂弹呢。
12003,@12001,注意，每使用灵魂弹进行一次攻击就会<YellowBold>消耗一个</>。
12004,@12001,未进行攻击时不会自动使用，请放心。
12005,@12001,若不想自动使用时，再次点击按键即可。
12006,@12001,于商店中可以轻松买到<YellowBold>灵魂弹 </>，可以先买起来放着，等待时机使用。要记住喔！
12007,,
13001,尼亚,告诉您进入每日副本的方法。
13002,@13001,可以在副本菜单里找到每日副本的入口。
13003,@13001,点击。
13004,@13001,有看到各式各样的副本吧？
13005,@13001,虽然目前能进入的副本并不多，但经过成长后，就可以进入到更多副本中了。
13006,@13001,现在请选择每日副本吧。
13007,@13001,于<YellowBold>每日副本</>中，<YellowBold>每天都会有新的魔物</>出没。
13008,@13001,若消灭掉这些家伙，会有机会得到<YellowBold>特别奖励</>喔！
13009,@13001,消灭掉越多厉害的魔物时，越可以获得更珍贵的奖励，因此必须快速变强才行。
13010,@13001,请赶紧按下入场键吧。
13011,,
13012,,
13013,,
13014,@13001,请试着点击Auto键。
13015,,
13016,,
13017,,
13018,@13001,竟然能击败这么强大的怪物，真是了不起呢！
13019,,
13020,@13001,入场次数会<YellowBold>每日重置</>。请别忘了要每天挑战喔！
13021,,
13022,,
13023,@13001,每日副本<YellowBold>就算挑战失败，挑战次数也不会减少。</>请别担心。
13024,@13001,虽然这次失败了，但下次一定会成功的！！！
13025,,
14001,统治者塔尼尔,试着使用主菜单查看已经完成的成就，并领取成就奖励。
14002,@14001,先选择挑战菜单，来确认已经完成的成就。
14003,@14001,很好。现在试着查看成就。
14004,@14001,"这地方可以查看你的<YellowBold>成就</>，
而完成成就能获得<YellowBold>奖励</>。"
14005,@14001,"正好有个已经达成的<YellowBold>成就</>呢。
赶快领取<YellowBold>奖励</>吧。"
14006,@14001,试着按下领取奖励键。
14007,,
14008,@14001,做得很好呢。若立下许多功劳，还会被赋予相符的<YellowBold>称号与能力</>呢。
14009,@14001,可以马上通过这里进行确认。
14010,@14001,目前完成的成就仍不多，因此还无法获取奖励呢。
14011,@14001,若提升成就阶级，不仅角色的能力会增加，还能获得每日补给品作为奖励喔。
14012,@14001,现在了解了吧？成就可以通过<YellowBold>各式各样的方法</>来取得，可别漏掉任何一个啰！
14013,,
15001,杂货商人亚奈斯,可以通过商店来获取特别援助品。
15002,@15001,@13003
15003,@15001,"就是这个商品。
以后还会再获得，好好记住喔。"
15004,@15001,"来！不要犹豫
打开看看吧。"
15005,,
15006,@15001,哇！得到超棒的装备呢。
15007,@15001,"可以通过<YellowBold>提升装备等级</>
让获得的装备变得更强！"
15008,@15001,每天可以获得一次<YellowBold>免费的高级装备箱</>。请不要忘记，记得领取喔！
15009,,
