MissionInfoId,TaskName,TaskDescription
3101,加入血盟或创建,加入血盟或创建{0}次({1} / {2})
3102,血盟签到,血盟签到{0}次({1} / {2})
3103,血盟商店,在血盟商店购买{0}次({1} / {2})
3104,血盟捐赠,向血盟捐赠{0}金币({1} / {2})
3105,向血盟成员问候,向血盟成员问候{0}次({1} / {2})
3201,达成血盟成就,领取血盟成就奖励{0}次({1} / {2})
3202,@3102,@3102
3203,@3103,@3103
3204,@3104,请向血盟捐赠{0}个血之证({1} / {2})
3205,@3105,@3105
3301,@3201,@3201
3302,@3102,@3102
3303,@3103,@3103
3304,@3104,向血盟捐赠{0}个红色星石({1} / {2})
3305,@3105,@3105
3401,@3201,@3201
3402,@3102,@3102
3403,@3103,@3103
3404,@3104,@3104
3405,@3105,@3105
3501,@3201,@3201
3502,@3102,@3102
3503,@3103,@3103
3504,@3104,@3204
3505,@3105,@3105
3601,@3201,@3201
3602,@3102,@3102
3603,@3103,@3103
3604,@3104,@3304
3605,@3105,@3105
2101,升级装备,尝试升级装备{0}次({1} / {2})
2102,尝试强化,尝试强化装备{0}次({1} / {2})
2103,进阶附魂石,进阶附魂石{0}次({1} / {2})
2104,通关装备副本,通关装备副本{0}({1} / {2})
2105,抽取装备,尝试抽取装备{0}次({1} / {2})
2201,@2101,@2101
2202,@2102,@2102
2203,@2103,@2103
2204,@2104,@2104
2205,@2105,@2105
2301,@2101,@2101
2302,@2102,@2102
2303,@2103,@2103
2304,@2104,@2104
2305,@2105,@2105
2401,@2101,@2101
2402,@2102,@2102
2403,合成装备,尝试合成装备{0}次({1} / {2})
2404,@2104,@2104
2405,尝试更改属性,更改装备属性{0}次({1} / {2})
2501,@2101,@2101
2502,@2102,@2102
2503,@2403,@2403
2504,@2104,@2104
2505,@2405,@2405
2601,@2101,@2101
2602,@2102,@2102
2603,@2403,@2403
2604,@2104,@2104
2605,@2405,@2405
