Id,EquipEffectDescription,EquipEffectBuffName,EquipEffectBuffDescription
7000101,血盟披风没有装备效果。,,
7000201,@7000101,,
7000301,@7000101,,
7100101,"消灭怪物和采集时，
所获经验值量增加<Fontblue>{ViewEffectParam1}</>。
(适用地区：区域/孢子秘境)",冒险家披风装备效果,消灭怪物和采集时，所获经验值提高<Fontblue>{ViewEffectParam1}</>。
7100102,@7100101,@7100101,@7100101
7100103,@7100101,@7100101,@7100101
7100104,@7100101,@7100101,@7100101
7100105,@7100101,@7100101,@7100101
7100106,@7100101,@7100101,@7100101
7100107,@7100101,@7100101,@7100101
7100108,@7100101,@7100101,@7100101
7100109,@7100101,@7100101,@7100101
7100110,@7100101,@7100101,@7100101
7100111,@7100101,@7100101,@7100101
7100112,@7100101,@7100101,@7100101
7100113,@7100101,@7100101,@7100101
7100114,@7100101,@7100101,@7100101
7100115,@7100101,@7100101,@7100101
7100116,@7100101,@7100101,@7100101
7100117,@7100101,@7100101,@7100101
7100118,@7100101,@7100101,@7100101
7100119,@7100101,@7100101,@7100101
7100120,@7100101,@7100101,@7100101
7100121,@7100101,@7100101,@7100101
7100122,@7100101,@7100101,@7100101
7100123,@7100101,@7100101,@7100101
7100124,@7100101,@7100101,@7100101
7100125,@7100101,@7100101,@7100101
7100126,@7100101,@7100101,@7100101
7100127,@7100101,@7100101,@7100101
7100128,@7100101,@7100101,@7100101
7100129,@7100101,@7100101,@7100101
7100130,@7100101,@7100101,@7100101
7100201,"消灭血腥魔物时，有<Fontblue>{ViewEffectParam1}</>的概率
额外获得<Fontblue>血结晶</>。
每天最多获得2000个。

（消灭比角色等级低7级以上的血腥魔物时将不会生效，根据对血腥魔物造成伤害量的多少，掉率会有所不同。）
(适用地区：精英副本)",讨伐披风装备效果,消灭血腥魔物时，有<Fontblue>{ViewEffectParam1}</>的概率可额外获得<Fontblue>血结晶</>
7100202,@7100201,@7100201,@7100201
7100203,@7100201,@7100201,@7100201
7100204,@7100201,@7100201,@7100201
7100205,@7100201,@7100201,@7100201
7100206,@7100201,@7100201,@7100201
7100207,@7100201,@7100201,@7100201
7100208,@7100201,@7100201,@7100201
7100209,@7100201,@7100201,@7100201
7100210,@7100201,@7100201,@7100201
7100211,@7100201,@7100201,@7100201
7100212,@7100201,@7100201,@7100201
7100213,@7100201,@7100201,@7100201
7100214,@7100201,@7100201,@7100201
7100215,@7100201,@7100201,@7100201
7100216,@7100201,@7100201,@7100201
7100217,@7100201,@7100201,@7100201
7100218,@7100201,@7100201,@7100201
7100219,@7100201,@7100201,@7100201
7100220,@7100201,@7100201,@7100201
