Id,Name,Description,DescParam
1000100,冒险的开始,赋予开始冒险勇士的第一个称号。,
1000200,捐赠天使,完成成就「我的即我们的({DescParam}阶段)」即会启动。,10
1000300,全勤奖,完成成就「见到依然想念({DescParam}阶段)」即会启动。,10
1000400,爱情与友情之间,完成成就「给我的朋友不可惜({DescParam}阶段)」即会启动。,10
1000500,财阀1世,完成成就「一丁点儿毫无用处({DescParam}阶段)」即会启动。,10
1000600,怪物猎人,完成成就「随机狩猎的猎人({DescParam}阶段)」即会启动。,11
1000800,低阶胜负师,进入竞技场排名前{DescParam}名即会启动。,10000
1000900,力量的追随者,进入战斗力排名前{DescParam}名即会启动。,10000
1001000,修习的探索者,进入等级排名前{DescParam}名即会启动。,10000
1001200,培育达人,完成成就「非饲料({DescParam}阶段)」即会启动。,10
1001300,灵魂猎人,完成成就「很多闪闪发亮的东西({DescParam}阶段)」即会启动。,10
1001400,宠物经营者,完成成就「爱情满溢({DescParam}阶段)」即会启动。,10
1001500,收集者,完成成就「虽非古董商({DescParam}阶段)」即会启动。,10
1001600,炼金术士,完成成就「让我闪闪发光的东西({DescParam}阶段)」即会启动。,10
1001700,双列表,完成成就「胜利的标志({DescParam}阶段)」即会启动。,10
1001800,抽奖达人,完成成就「光凭运气毫无实力({DescParam}阶段)」即会启动。,10
1001900,核心猎人,完成成就「收集战利品({DescParam}阶段)」即会启动。,10
2000200,高阶胜负师,@1000800,5000
2000300,出色的强者,@1000900,5000
2000400,高位的探索者,@1001000,5000
2000600,怪物日记,完成成就'{DescParam}' 即会启动。,吶喊之地地区图鉴
2000700,贵重物品爱好者,完成成就「有看过这种东西吗？({DescParam}阶段)'即会启动。,10
2000900,幸运的家伙,完成成就「幸运与你同在({DescParam}阶段)'即会启动。,10
2001000,驯兽师,完成成就「再凶狠，勇猛一些！({DescParam}阶段)'即会启动。,10
2001100,占领的庇佑,完成成就「战斗后必须({DescParam}阶段)'即会启动。,10
2001200,科学调查官,完成成就「非凡的血({DescParam}阶段)'即会启动。,10
2001300,安全第一！,完成成就「通往安全之路的方法({DescParam}阶段)'即会启动。,10
2001400,变身的鬼才,完成成就「出尔反尔也不容易({DescParam}阶段)'即会启动。,10
2001500,武器大师,完成成就「在传说里才看得到的({DescParam}阶段)'即会启动。,10
2001600,盔甲大师,完成成就「梦寐以求的卷轴({DescParam}阶段)'即会启动。,10
2001800,合成术士,完成成就「装备无限变身({DescParam}阶段)'即会启动。,10
2001900,饰品大师,完成成就「找到了，我的卷轴({DescParam}阶段)'即会启动。,10
2002000,屠杀者,完成成就「消灭传说中的怪物({DescParam}阶段)'即会启动。,10
2002100,进阶达人,完成成就「阶级不同，与众不同({DescParam}阶段)'即会启动。,10
3000200,斗志的胜负师,@1000800,100
3000300,压倒性的强者,@1000900,100
3000500,知识的探索者,@1001000,100
3000900,专家,完成成就「制作特别装备的方法({DescParam}阶段)'即会启动。,10
3001000,突破极限者,完成成就「这是最好的吗？({DescParam}阶段)'即会启动。,10
3100100,要塞指挥官,"占领要塞的血盟的{DescParam}即会启动。
(限维持条件期间内可持有称号。)",副盟主
3100200,要塞守护者,@3100100,血盟成员
4100100,要塞司令官,@3100100,盟主
4101000,10人之胜负者,"进入竞技场排名前{DescParam}名内即会启动。
(限维持条件期间内可持有称号。)",10
4101100,10大绝对强者,"进入战斗力排名前{DescParam}名内即会启动。
(限维持条件期间内可持有称号。)",10
4101200,世界的探索者,"进入等级排名前{DescParam}名内即会启动。
(限维持条件期间内可持有称号。)",10
5100200,决斗的帝王,"达成竞技场排名第{DescParam}即会启动。
(限维持条件期间内可持有称号。)",1
5100300,我是最强的,"达成战斗力排名第{DescParam}即会启动。
(限维持条件期间内可持有称号。)",1
5100400,到达真理的人,"达成等级排名第{DescParam}即会启动。
(限维持条件期间内可持有称号。)",1
30000000,最初开拓者,只有预约玩家可以使用的限量称号。,
30000010,血盟大富翁,为血盟提供大量帮助后可以获得的荣誉称号。,
