Type,Name
0,附着在武器
1,物理攻击力
2,魔法攻击力
3,物理攻击力增加率
4,魔法攻击力增加率
5,普通攻击的攻击力
6,比照队员的攻击力增加率
7,攻击速度增加率
8,增益效果
9,增加暴击伤害机率
14,增加暴击命中率
15,增加暴击抵抗率
16,物理伤害
17,魔法伤害
18,无视防御力
19,目标的HP减少
20,目标的HP减少(%)
21,物理防御力
22,魔法防御力
23,物理防御力增加率
24,魔法防御力增加率
26,回避
27,回避增加率
28,增加回避率
29,命中
30,命中增加率
31,增加命中率
32,伤害量增加率
33,物理伤害量增加率
34,@IncreaseDamagePhyMul
35,对减速目标的伤害量增加率
36,无视防御伤害
37,伤害量减少率
38,物理伤害量减少率
39,魔法伤害量减少率
40,减少固定伤害
41,阻挡机率
42,阻挡伤害减少率
43,持续物理伤害
44,持续魔法伤害
45,以攻击力为基础恢复HP
46,持续伤害治愈
47,地形效果
48,威胁数值增加率
49,HP
50,依照最大HP%数增加HP
51,HP回复量
52,HP吸收率
53,HP吸收（主动吸收的技能）
54,HP吸收（本人或是分配给队员吸收）
55,无敌
56,透明
57,增加装备获得量
58,最大HP
59,最大HP增加率
60,最大MP
61,最大MP增加率
62,移动速度增加率
63,MP
64,依照最大MP的比例增加MP
65,MP消耗减少率
66,减少MP消耗
67,MP回复量
68,一击必杀(能一击杀死敌人)
69,发射体
70,减少技能冷却时间
71,聪明(使用技能时消耗的MP皆为1)
72,灵魂弹攻击Bouns
73,壮壮(被击时损伤皆为1)
74,晕眩
75,嘲弄(仇恨值升到最大)
76,固定目标
77,移动对象
78,拉近目标
79,拉近抵抗率
81,击退抵抗率
83,灵药
84,没有效果
85,技能列表信息标识符号
179,范围增益效果(光晕图腾)
86,经验值
87,经验值获得量增加率
88,金币
89,金币获得量增加率
90,免费钻石
91,付费钻石
92,血盟铸币
93,符文碎片
94,SP
95,扫荡券
96,增加道具掉落率
97,减速抵抗率
98,晕厥，击倒抗率
99,异常状态抵抗率
103,增加技能范围
104,增加技能击打数
100,增加连击到期时间
101,贯穿
102,韧性
105,采集速度增加
106,增加采集数量
10,暴击
11,暴击抵抗
12,暴击增加率
13,暴击抵抗增加率
125,精神支配
133,增加攻击型普通技能伤害
140,技能冷却时间减少率
146,目标的MP减少
147,目标的MP减少 %
148,以攻击力为基础恢复MP
179,根据队员的防御力提高率
151,去除状态异常效果
152,消除对方的增益效果
153,特定HP以下伤害免疫状态
136,HP恢复量增加率
163,最终伤害量增加率
164,最终伤害量独立减少率
165,@NormalSkillDamageMul
174,提高恢复型普通技能恢复量
171,提高晕厥，击倒抗率
170,提高减速抗率
169,提高暴击抵抗
131,提高给怪物造成的伤害量
132,降低怪物打来的伤害量
176,提高给怪物造成的普通技能伤害
177,@NormalSkillMonsterDamageMul
160,"根据npc等级, 种族的伤害增长率"
