Id,Nme,Desc
1,任务的基本,消灭怪物{TaskCount}只数
2,菁英副本专家,进入菁英副本{TaskCount}次
4,装备补给,获得{TaskCount}个装备道具
5,收集战利品,获得怪物核心{TaskCount}个
7,消灭菁英副本怪物！,消灭精灵废墟1楼的怪物{TaskCount}只
8,@1,@1
9,打好魔力管理基本功,使用MP药水{TaskCount}个以上
10,收集搜魂石！,获得{TaskCount}个搜魂石
11,连击高手！,达成{TaskCount}连击
13,@1,@1
14,补给消耗品！,在普通商店里购买道具{TaskCount}次
15,训练体力是基本必备,使用{TaskCount}个HP药水
16,@11,@11
18,连战连胜的疾风,在决斗中达成{TaskCount}连胜
19,@1,@1
20,执行任务卷轴！,完成{TaskCount}次精良任务卷轴
21,提高战斗力,使用灵魂弹{TaskCount}个以上
22,@11,@11
23,无法停止的成长！,装备升级{TaskCount}次
24,为了提升技能！,获得{TaskCount}技能点
25,超能力！,单体伤害达成{TaskCount}
26,@18,@18
28,@1,@1
29,@11,@11
30,@1,@1
31,@2,@2
33,@4,@4
34,@5,@5
36,@7,消灭精灵废墟2楼的怪物{TaskCount}只
37,@1,@1
38,@9,@9
39,@10,@10
40,@11,@11
42,@1,@1
43,@14,@14
44,@15,@15
45,@11,@11
47,@18,@18
48,@1,@1
49,@20,@20
50,@21,@21
51,@11,@11
52,@23,@23
53,@24,@24
54,@25,@25
55,@18,@18
57,@1,@1
58,@11,@11
59,@1,@1
60,@2,@2
62,@4,@4
63,@5,@5
65,@7,消灭蚂蚁洞窟地下1楼的怪物{TaskCount}只
66,@1,@1
67,@9,@9
68,@10,@10
69,@11,@11
71,@1,@1
72,@14,@14
73,@15,@15
74,@11,@11
76,@18,@18
77,@1,@1
78,@20,@20
79,@21,@21
80,@11,@11
81,@23,@23
82,@24,@24
83,@25,@25
84,@18,@18
85,补给血盟遗物箱,获得{TaskCount}个血盟遗物箱
86,@1,@1
88,@1,@1
89,@2,@2
91,@4,@4
92,@5,@5
94,@7,@65
95,@1,@1
96,@9,@9
97,@10,@10
98,@11,@11
100,@1,@1
101,@14,@14
102,@15,@15
103,@11,@11
105,@18,@18
106,@1,@1
107,@20,@20
108,@21,@21
109,@11,@11
110,@23,@23
111,@24,@24
112,@7,@65
113,@18,@18
114,补给血盟遗物箱,获得{TaskCount}个血盟遗物箱
115,@1,@1
117,@1,@1
118,@2,@2
120,@4,@4
121,@5,@5
123,@7,消灭蚂蚁洞窟地下2楼的怪物{TaskCount}只
124,@1,@1
125,@9,@9
126,@10,@10
127,@11,@11
129,@1,@1
130,@14,@14
131,@15,@15
132,@11,@11
134,@18,@18
135,@1,@1
136,@20,@20
137,@21,@21
138,@11,@11
139,@23,@23
140,@24,@24
141,@7,@123
142,@18,@18
143,补给血盟遗物箱,获得{TaskCount}个血盟遗物箱
144,@1,@1
146,@1,@1
147,@2,@2
149,@4,@4
150,@5,@5
151,为了血盟！,获得血之证{TaskCount}个
152,骑宠养成！,获得{TaskCount}个骑宠装备
153,@7,@123
154,@1,@1
155,@9,@9
156,@10,@10
157,@11,@11
158,开始工匠生涯！,在工坊里组合{TaskCount}次
159,@1,@1
160,@14,@14
161,@15,@15
162,@11,@11
164,@18,@18
165,@1,@1
166,@20,@20
167,@21,@21
168,@11,@11
169,@152,升级{TaskCount}次骑宠装备
170,@23,@23
171,@24,@24
172,@7,@123
173,@18,@18
174,补给血盟遗物箱,获得{TaskCount}个血盟遗物箱
175,@1,@1
177,@1,@1
178,@2,@2
180,@4,@4
181,@5,@5
182,为了血盟！,获得血之证{TaskCount}个
183,@152,@152
184,@7,消灭克鲁玛高塔2楼的怪物{TaskCount}只
185,@1,@1
186,@9,@9
187,@10,@10
188,@11,@11
189,开始工匠生涯！,在工坊里组合{TaskCount}次
190,@1,@1
191,@14,@14
192,@15,@15
193,@11,@11
195,@18,@18
196,@1,@1
197,@20,@20
198,@21,@21
199,@11,@11
200,@152,@169
201,@23,@23
202,@24,@24
203,@7,@184
204,@18,@18
205,补给血盟遗物箱,获得{TaskCount}个血盟遗物箱
206,@1,@1
208,@1,@1
209,@2,@2
211,@4,@4
212,@5,@5
213,为了血盟！,获得血之证{TaskCount}个
214,@152,@152
215,@7,消灭克鲁玛高塔3楼的怪物{TaskCount}只
216,@1,@1
217,@9,@9
218,@10,@10
219,@11,@11
220,开始工匠生涯！,在工坊里组合{TaskCount}次
221,@1,@1
222,@14,@14
223,@15,@15
224,@11,@11
226,@18,@18
227,@1,@1
228,@20,@20
229,@21,@21
230,@11,@11
231,@152,@169
232,@23,@23
233,@24,@24
234,@7,@215
235,@18,@18
236,补给血盟遗物箱,获得{TaskCount}个血盟遗物箱
237,@1,@1
239,@1,@1
240,@2,@2
241,血盟据点常客,进入血盟据点{TaskCount}次
242,@4,@4
243,@5,@5
244,为了血盟！,获得血之证{TaskCount}个
245,@152,@152
246,@7,@215
247,@1,@1
248,@9,@9
249,@10,@10
250,@11,@11
251,开始工匠生涯！,在工坊里组合{TaskCount}次
252,@1,@1
253,@14,@14
254,@15,@15
255,@11,@11
257,@18,@18
258,@1,@1
259,@20,@20
260,@21,@21
261,@11,@11
262,@152,@169
263,@23,@23
264,@24,@24
265,@7,@215
266,@18,@18
267,补给血盟遗物箱,获得{TaskCount}个血盟遗物箱
268,@1,@1
269,珍贵的血盟援助,参与{TaskCount}次血盟求援
270,@1,@1
271,@2,@2
272,血盟据点常客,进入血盟据点{TaskCount}次
273,@4,@4
274,@5,@5
275,为了血盟！,获得血之证{TaskCount}个
276,@152,@152
277,@7,消灭象牙塔地下1楼的怪物{TaskCount}只
278,@1,@1
279,@9,@9
280,@10,@10
281,@11,@11
282,开始工匠生涯！,在工坊里组合{TaskCount}次
283,@1,@1
284,@14,@14
285,@15,@15
286,@11,@11
288,@18,@18
289,@1,@1
290,@20,@20
291,@21,@21
292,@11,@11
293,@152,@169
294,@23,@23
295,@24,@24
296,@7,@277
297,@18,@18
298,补给血盟遗物箱,获得{TaskCount}个血盟遗物箱
299,@1,@1
300,珍贵的血盟援助,参与{TaskCount}次血盟求援
301,@1,@1
302,@2,@2
303,血盟据点常客,进入血盟据点{TaskCount}次
304,@4,@4
305,@5,@5
306,为了血盟！,获得血之证{TaskCount}个
307,@152,@152
308,@7,消灭象牙塔地下2楼怪物{TaskCount}只
309,@1,@1
310,@9,@9
311,@10,@10
312,@11,@11
313,开始工匠生涯！,在工坊里组合{TaskCount}次
314,@1,@1
315,@14,@14
316,@15,@15
317,@11,@11
319,@18,@18
320,@1,@1
321,@20,@20
322,@21,@21
323,@11,@11
324,@152,@169
325,@23,@23
326,@24,@24
327,@7,@308
328,@18,@18
329,补给血盟遗物箱,获得{TaskCount}个血盟遗物箱
330,@1,@1
331,珍贵的血盟援助,参与{TaskCount}次血盟求援
332,@1,@1
333,@2,@2
334,血盟据点常客,进入血盟据点{TaskCount}次
335,@4,@4
336,@5,@5
337,为了血盟！,获得血之证{TaskCount}个
338,@152,@152
339,@7,消灭象牙塔地下3楼怪物{TaskCount}只
340,@1,@1
341,@9,@9
342,@10,@10
343,@11,@11
344,开始工匠生涯！,在工坊里组合{TaskCount}次
345,@1,@1
346,@14,@14
347,@15,@15
348,@11,@11
350,@18,@18
351,@1,@1
352,@20,@20
353,@21,@21
354,@11,@11
355,@152,@169
356,@23,@23
357,@24,@24
358,@7,@339
359,@18,@18
360,补给血盟遗物箱,获得{TaskCount}个血盟遗物箱
361,@1,@1
362,珍贵的血盟援助,参与{TaskCount}次血盟求援
363,@1,@1
364,@2,@2
365,血盟据点常客,进入血盟据点{TaskCount}次
366,@4,@4
367,@5,@5
368,为了血盟！,获得血之证{TaskCount}个
369,@152,@152
370,@7,消灭{TaskCount}只秘密森林上层怪物
371,@1,@1
372,@9,@9
373,@10,@10
374,@11,@11
375,开始工匠生涯！,在工坊里组合{TaskCount}次
376,@1,@1
377,@14,@14
378,@15,@15
379,@11,@11
381,@18,@18
382,@1,@1
383,@20,@20
384,@21,@21
385,@11,@11
386,@152,@169
387,@23,@23
388,@24,@24
389,@7,@370
390,@18,@18
391,补给血盟遗物箱,获得{TaskCount}个血盟遗物箱
392,@1,@1
393,珍贵的血盟援助,参与{TaskCount}次血盟求援
394,@1,@1
395,@2,@2
396,血盟据点常客,进入血盟据点{TaskCount}次
397,@4,@4
398,@5,@5
399,为了血盟！,获得血之证{TaskCount}个
400,@152,@152
401,@7,消灭{TaskCount}只秘密森林下层怪物
402,@1,@1
403,@9,@9
404,@10,@10
405,@11,@11
406,开始工匠生涯！,在工坊里组合{TaskCount}次
407,@1,@1
408,@14,@14
409,@15,@15
410,@11,@11
412,@18,@18
413,@1,@1
414,@20,@20
415,@21,@21
416,@11,@11
417,@152,@169
418,@23,@23
419,@24,@24
420,@7,@401
421,@18,@18
422,补给血盟遗物箱,获得{TaskCount}个血盟遗物箱
423,@1,@1
424,珍贵的血盟援助,参与{TaskCount}次血盟求援
425,@1,@1
426,@2,@2
427,血盟据点常客,进入血盟据点{TaskCount}次
428,@4,@4
429,@5,@5
430,为了血盟！,获得血之证{TaskCount}个
431,@152,@152
432,@7,용의 동굴 지하 1층 몬스터 {TaskCount}마리 처치
433,@1,@1
434,@9,@9
435,@10,@10
436,@11,@11
437,开始工匠生涯！,在工坊里组合{TaskCount}次
438,@1,@1
439,@14,@14
440,@15,@15
441,@11,@11
443,@18,@18
444,@1,@1
445,@20,@20
446,@21,@21
447,@11,@11
448,@152,@169
449,@23,@23
450,@24,@24
451,@7,@432
452,@18,@18
453,补给血盟遗物箱,获得{TaskCount}个血盟遗物箱
454,@1,@1
455,珍贵的血盟援助,参与{TaskCount}次血盟求援
456,@1,@1
457,@2,@2
458,血盟据点常客,进入血盟据点{TaskCount}次
459,@4,@4
460,@5,@5
461,为了血盟！,获得血之证{TaskCount}个
462,@152,@152
463,@7,용의 동굴 지하 2층 몬스터 {TaskCount}마리 처치
464,@1,@1
465,@9,@9
466,@10,@10
467,@11,@11
468,开始工匠生涯！,在工坊里组合{TaskCount}次
469,@1,@1
470,@14,@14
471,@15,@15
472,@11,@11
474,@18,@18
475,@1,@1
476,@20,@20
477,@21,@21
478,@11,@11
479,@152,@169
480,@23,@23
481,@24,@24
482,@7,@463
483,@18,@18
484,补给血盟遗物箱,获得{TaskCount}个血盟遗物箱
485,@1,@1
486,珍贵的血盟援助,参与{TaskCount}次血盟求援
