Id,Adventure,Difficulty
1,全部,全部
2,菁英副本,精灵废墟1楼
3,@2,精灵废墟2楼
4,@2,蚂蚁洞窟地下1楼
5,@2,蚂蚁洞窟地下2楼
6,@2,克鲁玛高塔2楼
7,@2,克鲁玛高塔3楼
8,@2,象牙塔地下1楼
9,@2,象牙塔地下2楼
10,采集副本,采集副本
11,装备副本,简单
12,@11,普通
13,@11,困难
14,@11,地狱
15,召唤石副本,@11
16,@15,@12
17,@15,@13
101,首领狩猎,精灵牧者
102,@101,裘迪厄
103,@101,基利欧斯
104,@101,银胡子
105,@101,贝帕勒
106,@101,卡吉勒
107,@101,弗里根
108,@101,西斯
109,@101,阿玛迪斯
111,@101,史坦诺亚
112,@101,玛夏
118,@2,象牙塔地下3楼
124,时空裂痕,疯狂祭坛-简单
125,@124,疯狂祭坛-普通
129,@124,血腥女爵卧室-简单
130,@124,血腥女爵卧室-普通
140,稀有怪物召唤石副本,说话之岛
141,@140,古鲁丁
142,@140,狄恩
143,@140,奇岩
144,@140,欧瑞
145,首领怪物召唤石副本,@141
146,@145,@142
147,@145,@143
148,@145,@144
