Id,GipText
1,<FontBlue>装备品级</>总共有<FontBlue>6个阶段</>
2,普通装备召唤箱<FontBlue>每天可以免费开启3次</>
3,点击<FontBlue>Auto按钮</>，开始<FontBlue>自动狩猎</>怪物吧
4,点击世界地图，可以<FontBlue>前往</><FontBlue>想去的地点</>
5,在世界地图中点击<FontBlue>NPC和怪物</>，可以前往相应地点
6,在<FontBlue>选项-战斗</>中可以设置<FontBlue>药水使用频率</>
7,根据<FontBlue>武器</>，可以<FontBlue>按你想要的方式设置技能</>。
8,学习<FontBlue>稀有技能</>后，<FontBlue>技能栏</>的数量将增加到<FontBlue>最多5个</>
9,<FontBlue>合成</>装备时，完全<FontBlue>继承</><FontBlue>对象装备</>的<FontBlue>种类和职业</>
10,升至<FontBlue>31级</>后，通过转职任务可以进行<FontBlue>转职</>
11,通过<FontBlue>魔纹刻印</>可以<FontBlue>大幅提高能力值</>
12,<FontBlue>魔纹刻印</>可以通过<FontBlue>页面顺序</>进行
13,将<FontBlue>周围魔纹</>都升至<FontBlue>相同等级</>后，就可以提高中间<FontBlue>精魄魔纹</>的<FontBlue>等级</>了
14,<FontBlue>拥有角色们的等级越高</>，就越有可能获得额外能力
15,附魂石只能镶嵌在<FontBlue>颜色相同的槽</>中
16,<FontBlue>道具品级</>越高，可镶嵌的<FontBlue>槽的数量</>越多
17,制作<FontBlue>怪物图鉴</>，可以<FontBlue>提高多种角色的能力值</>
18,<FontBlue>精灵圣殿</><FontBlue>1天可以免费进入1次</>
19,在<FontBlue>角斗场</>中提高<FontBlue>荣誉等级</>，可以获得<FontBlue>额外能力值</>
20,在<FontBlue>角斗场</>中可以获得<FontBlue>每日荣誉点数奖励</>和<FontBlue>排名奖励</>
21,狩猎<FontBlue>孢子秘境</>中的<FontBlue>野獾</>，将会获得<FontBlue>祝福</>，<FontBlue>提高采集速度</>
22,狩猎采集中突然出现的<FontBlue>曼陀罗草</>，可以获得<FontBlue>魔药精髓</>
23,<FontBlue>使用</>由采集到的药草和精髓制作而成的<FontBlue>魔药</>，可以<FontBlue>永久提高</><FontBlue>能力值</>
24,攀登傲慢之塔时，<FontBlue>到达的层数越高</>，通过扫荡获得奖励的<FontBlue>魔纹碎片越多</>
25,在<FontBlue>傲慢之塔</>中<FontBlue>每5层可以获得一次特别奖励</>
26,傲慢之塔<FontBlue>每天可以免费</><FontBlue>挑战3次</>
27,精英狩猎场<FontBlue>狩猎祝福</>期间，<FontBlue>经验值和装备掉落率将会得到提升</>
28,精英狩猎场是<FontBlue>会受到PK惩罚的允许PVP地区</>
29,占领<EM>要塞</>，可获得<EM>大量的利益</>和<EM>名誉</>。
31,狩猎野外首领时，可获得特别奖励。
35,<FontBlue>4级以上血盟</>才可以参与<FontBlue>要塞战</>
41,通过<FontBlue>狩猎区域首领</>可以获得<FontBlue>稀有技能书</>和<FontBlue>高级装备</>
42,<FontBlue>要塞战胜利血盟</>将会获得<FontBlue>有助于地区狩猎的增益</>
44,@29
45,@35
51,<FontBlue>水晶守卫战</>需要在<FontBlue>组队</>后才可以进入
52,通关<FontBlue>更高等级的</>水晶守卫战，可以获得<FontBlue>更优质的装备</>
53,<FontBlue>保护圣物</>不被四面八方的敌人袭击吧
54,<FontBlue>攻击副本中的龙</>，<FontBlue>获得金币</>吧
55,消灭<FontBlue>金币宝箱</>，可以获得<FontBlue>额外金币</>
56,<FontBlue>消灭越多</>怪物，获得的<FontBlue>额外经验值</>也越多
57,获得副本内生成的增益，可以变得更强
58,除自身所属血盟的据点以外，也可以进入<FontBlue>其他血盟的据点</>
59,<FontBlue>升级</><FontBlue>团结水晶</>，可以使全体盟员获得<FontBlue>各种各样的增益效果</>
60,在乱斗场中，<FontBlue>杀戮值</>不增加
61,即使在乱斗场中也可以根据<FontBlue>PK模式的设置</>，进行PK
62,消灭拥有乱斗场<FontBlue>圣殿之力</>的玩家后，可以抢走该玩家的增益
1003,建立血盟，占领要塞和城堡吧！一旦占领成功，将会获得特别福利
1009,在<FontBlue>广阔世界</>中，玩家可以体验<FontBlue>丰富多彩的剧情</>和<FontBlue>任务</>
1011,在宽广的<FontBlue>开放区域</>中，玩家可以体验<FontBlue>实时战斗</>的乐趣
1014,在允许PVP的区域中，可以攻击其他玩家
1015,组建<FontBlue>队伍</>，<FontBlue>共同对抗</><FontBlue>强大的敌人</>吧
1019,<FontBlue>丰富多彩的副本</>正等着大家前来体验
1023,加入<FontBlue>血盟</>后可以体验到<FontBlue>各式各样的内容</>和福利
1024,和其他血盟结成<FontBlue>同盟</>，可以获得更强大的力量
1025,通过<FontBlue>大规模攻城战</>占领城堡，可以展现强大的<FontBlue>血盟之力</>
1026,在<FontBlue>要塞战</>中占领地区后，可以获得<FontBlue>巨大的利益</>和<FontBlue>荣誉</>
72,<FontBlue>自由要塞战</>可以独自参与，也可以组成战队参与。
