Id,ItemName,Desc1,Desc2
4,灵药精髓选择箱,使用后可选择1种灵药精髓。,血盟等级升至{RequiredGuildLevel}级后开放
5,扫荡券选择箱,使用时可选择其中1种扫荡券。,血盟等级升至{RequiredGuildLevel}级后开放
10,召唤石碎片箱,使用时可随机获得多样的坐骑召唤石碎片。,血盟等级升至{RequiredGuildLevel}级后开放
11,强化卷轴箱,可随机获得强化卷轴。,血盟等级升至{RequiredGuildLevel}级后开放
12,进阶石箱,可随机获得进阶石。,血盟等级升至{RequiredGuildLevel}级后开放
26,经验值,获得经验值。,血盟等级升至{RequiredGuildLevel}级后开放
27,高级经验值,获得大量经验值。,血盟等级升至{RequiredGuildLevel}级后开放
30,传送卷轴,用于传送。,血盟等级升至{RequiredGuildLevel}级后开放
31,5个守护宝石碎片,合成碎片，获得守护宝石。,血盟等级升至{RequiredGuildLevel}级后开放
30000103,1个血盟装备箱,可随机获得精良-史诗装备。,
30000104,10+1个血盟装备箱,可随机获得精良-史诗装备。,
30000105,1个血盟强化卷轴箱,@11,
30000106,200个生命药水,使用后恢复少量生命。,
30000107,200个魔力药水,使用后恢复少量魔力。,
30000108,5000个灵魂弹,赋予武器可以提高伤害的神秘力量。,
30000109,1个骑宠成长箱,使用后可以获得骑宠 装备(精良~史诗)，养成石箱(小~大)，骑宠召唤石碎片(黑熊，夏妮女士，库库林，褐鬃狮) 之一。,
30000110,10+1个骑宠成长箱 ,@30000109,
201,增加遗物刻印时间1级,遗物刻印所需时间增加1秒。,
202,增加遗物刻印时间2级,遗物刻印所需时间增加2秒。,
203,增加遗物刻印时间3级,遗物刻印所需时间增加3秒。,
204,增加遗物刻印时间4级,遗物刻印所需时间增加4秒。,
205,增加遗物刻印时间5级,遗物刻印所需时间增加5秒。,
206,增加防御塔耐久度1级,,
207,增加防御塔耐久度2级,防御塔的耐久度增加20000 。,
208,增加防御塔耐久度3级,防御塔的耐久度增加30000 。,
209,增加防御塔耐久度4级,防御塔的耐久度增加40000 。,
210,增加防御塔耐久度5级,防御塔的耐久度增加50000 。,
211,增加陷阱攻击力1级,"额外增加陷阱的攻击力1% 。
陷阱能造成最大 HP%的伤害。",
212,增加陷阱攻击力2级,"额外增加陷阱的攻击力2% 。
陷阱能造成最大 HP%的伤害。",
213,增加陷阱攻击力3级,"额外增加陷阱的攻击力3% 。
陷阱能造成最大 HP%的伤害。",
214,增加陷阱攻击力4级,"额外增加陷阱的攻击力4% 。
陷阱能造成最大 HP%的伤害。",
215,增加陷阱攻击力5级,"额外增加陷阱的攻击力5% 。
陷阱能造成最大 HP%的伤害。",
301,药水效率增加效果,"血盟可获得1小时的盟主增益效果。
增加HP，MP药水的效率20% (攻城战，要塞战除外)",
302,打猎经验值/核心获得增加效果,"血盟可获得1小时的盟主增益效果。
消灭怪物时获得的经验值，怪物核心的机率增加20%",血盟等级升至{RequiredGuildLevel}级后开放
303,打猎金币/道具获得增加效果,"血盟可获得1小时的盟主增益效果。
消灭怪物时获得的金币，道具机率增加20%",血盟等级升至{RequiredGuildLevel}级后开放
158,HP灵药精髓1个,制作HP灵药所需的红色精髓。,"占领凡品以上
要塞时可购买"
159,MP灵药精髓1个,制作MP灵药所需的蓝色精髓。,@158
160,攻击力灵药精髓1个,制作攻击力灵药所需的紫色精髓。,@158
161,防御力灵药精髓1个,制作防御力灵药时需要的黄色精髓。,@158
165,武器进阶石1个,武器进阶至下一个阶级时使用。,@158
166,防具进阶石1个,用于进阶防具至下个阶级。,@158
401,血盟披风染色剂·低级,更改血盟披风颜色时所需的道具。,"占领要塞后
可以购买"
402,血盟披风染色剂·中级,@401,"占领精良级以上
要塞后可以购买"
404,血盟披风纹章染色剂·低级,更改血盟披风纹章的颜色时所需的道具。,@401
405,血盟披风纹章染色剂·中级,@404,@402
810000001,金币获得增益血盟药水Lv.5,1小时内金币获得量提高50%。（仅适用于野外狩猎）,@158
810000002,破旧的遗物盒,"破旧的遗物。
交给据点的遗物管理员鉴定，可以获得奖励。",@158
810000003,精魄掉落增益血盟药水Lv.5,"使用时怪物精魄掉落率提升50%。
效果持续1小时。","占领普通以上
要塞时可购买"
810000004,马夫勒的庇佑,装备强化失败时，不会减少强化值。,"占领精良以上
要塞时可购买"
810000005,祝福的强化卷轴箱,可随机获得祝福的强化卷轴。,@810000003
810000006,卓越特性之石,使用后可强化装备特性的道具。,@810000003
810000007,完美特性之石,使用后可强化装备特性的道具。,@810000004
