Id,ReplaceString1,Name,ReplaceString2,QuestDesc1,QuestDesc2
1,说话之岛东部,{ReplaceString1}侦察,说话之岛东部,消灭{ReplaceString2}怪物,在说话之岛东部消灭{TaskCount}只怪物。
2,说话之岛西部,@1,说话之岛西部,@1,在说话之岛西部消灭{TaskCount}只怪物。
3,古鲁丁街道,@1,古鲁丁街道,@1,请消灭{TaskCount}只古鲁丁街道的怪物。
4,古鲁丁平原,@1,古鲁丁平原,@1,请消灭{TaskCount}只古鲁丁平原的怪物。
5,温达伍德庄园,@1,温达伍德庄园,@1,请消灭{TaskCount}只温达伍德庄园的怪物。
6,荒原,@1,荒原,@1,请消灭{TaskCount}只荒原的怪物。
7,狄恩牧草地,@1,狄恩牧草地,@1,请消灭{TaskCount}只狄恩牧草地的怪物。
8,克鲁玛沼泽,@1,克鲁玛沼泽,@1,请消灭{TaskCount}只克鲁玛沼泽的怪物。
9,斗争的山峰,@1,斗争的山峰,@1,请消灭{TaskCount}只斗争的山峰的怪物。
10,吶喊之地,@1,吶喊之地,@1,请消灭{TaskCount}只吶喊之地的怪物。
11,奇岩自治区,@1,奇岩自治区,@1,请消灭{TaskCount}只奇岩自治区怪物。
12,死亡之雾海岸,@1,死亡之雾海岸,@1,请消灭{TaskCount}只死亡之雾海岸的怪物。
13,恶魔岛,@1,恶魔岛,@1,请消灭{TaskCount}只恶魔岛的怪物。
14,@13,@1,@13,@1,@13
15,死亡小径,@1,死亡小径,@1,请消灭{TaskCount}只死亡小径的怪物。
16,@15,@1,@15,@1,@15
101,精灵废墟1楼,扫荡{ReplaceString1},精灵废墟1楼,@1,请消灭{TaskCount}只精灵废墟1楼怪物。
102,精灵废墟2楼,@101,精灵废墟2楼,@1,请消灭{TaskCount}只精灵废墟2楼怪物。
103,蚂蚁洞窟地下1楼,@101,蚂蚁洞窟地下1楼,@1,请消灭{TaskCount}只蚂蚁洞窟地下1楼怪物。
104,蚂蚁洞窟地下2楼,@101,蚂蚁洞窟地下2楼,@1,请消灭{TaskCount}只蚂蚁洞窟地下2楼怪物。
105,克鲁玛高塔2楼,@101,克鲁玛高塔2楼,@1,请消灭{TaskCount}只克鲁玛高塔2楼怪物。
106,克鲁玛高塔3楼,@101,克鲁玛高塔3楼,@1,请消灭{TaskCount}只克鲁玛高塔3楼怪物。
107,象牙塔地下1楼,@101,象牙塔地下1楼,@1,请消灭{TaskCount}只象牙塔地下1楼怪物。
108,@107,@101,@107,@1,@107
109,象牙塔地下2楼,@101,象牙塔地下2楼,@1,请消灭{TaskCount}只象牙塔地下2楼怪物。
110,@109,@101,@109,@1,@109
111,象牙塔地下3楼,@101,象牙塔地下3楼,@1,请消灭{TaskCount}只象牙塔地下3楼怪物。
112,@111,@101,@111,@1,@111
201,被遗忘的记忆之圣所,{ReplaceString1}勘查,每日副本,@1,在精灵圣殿消灭{TaskCount}只怪物。
202,@201,@201,@201,@1,@201
203,采集副本,@201,采集副本,@1,请消灭{TaskCount}只采集副本的怪物。
204,@203,@201,@203,@1,@203
205,水之神殿,{ReplaceString1}守护,装备副本,@1,请在装备副本消灭{TaskCount}只怪物。
206,@205,@205,@205,@1,@205
207,克瑞索斯的召唤物,{ReplaceString1}抖动,金币副本,@1,请在金币副本消灭{TaskCount}只怪物。
208,@207,@207,@207,@1,@207
209,异界缝隙,{ReplaceString1}征服,经验值副本,@1,请在经验副本消灭{TaskCount}只怪物。
210,@209,@209,@209,@1,@209
211,倍封印的入口,@201,召唤石副本,@1,在召唤石副本消灭{TaskCount}只怪物。
212,@211,@201,@211,@1,@211
301,魔物召唤石（精英）,净化{ReplaceString1},稀有怪物召唤石,@1,使用精英怪物召唤石，在副本中消灭{TaskCount}只怪物。
302,@301,@301,@301,@1,@301
303,魔物召唤石（首领）,@301,首领怪物召唤石,@1,使用首领怪物召唤石，在副本中消灭{TaskCount}只怪物。
351,,虐杀者,,玩家PK,请与其他玩家PK{TaskCount}次。
352,,@351,,@351,@351
401,精灵牧者,消灭{ReplaceString1},@2,消灭{ReplaceString2}区域首领,消灭说话之岛西部的首领精灵牧人{TaskCount}次。
402,裘迪厄,@401,@3,@401,消灭古鲁丁村庄主干道的首领乔迪亚{TaskCount}次。
403,银胡子,@401,@4,@401,消灭古鲁丁平原的首领银须{TaskCount}次。
404,贝帕勒,@401,@5,@401,消灭温达伍德庄园的首领贝法尔{TaskCount}次。
405,卡吉勒,@401,@6,@401,消灭荒原的首领卡吉尔{TaskCount}次。
406,弗里根,@401,@7,@401,消灭狄恩草场的首领普列坤{TaskCount}次。
407,西斯,@401,@8,@401,消灭克鲁玛沼泽的首领希斯{TaskCount}次。
408,阿玛迪斯,@401,@9,@401,消灭斗战山峰的首领阿玛德乌斯{TaskCount}次。
409,史坦诺亚,@401,@11,@401,消灭奇岩领地的首领斯特诺雅{TaskCount}次。
1001,,每天每天都很忙,每日任务,执行{ReplaceString2},请执行{TaskCount}个每日任务。
1002,,每周每周都很忙,每周任务,@1001,请完成{TaskCount}个每周任务。
1011,,供给金币的卷轴,C,{ReplaceString2}以上任务卷轴完成,完成凡品以上任务卷轴{TaskCount}次。
1012,,@1011,B,@1011,完成良品以上任务卷轴{TaskCount}次。
1013,,@1011,A,@1011,完成精良以上任务卷轴{TaskCount}次。
1014,,@1011,S,@1011,完成完美以上任务卷轴{TaskCount}次。
1031,,打了又打,,达成连击,请以连续攻击达成{TaskCount}连击。
1032,,压倒的一击,,达成最大单一攻击伤害,使用单一攻击给敌人造成{TaskCount}000000以上的伤害。
1101,怪物,{ReplaceString1}屠杀者,普通怪物,消灭{ReplaceString2},消灭{TaskCount}只怪物。
1102,菁英怪物,@1101,菁英怪物,@1101,请消灭{TaskCount}只精英怪物。
1103,首领怪物,@1101,首领怪物,@1101,请消灭{TaskCount}只首领怪物。
1104,,转职任务守护天使,基利欧斯,@1101,请消灭基力欧斯{TaskCount}次。
1105,,庭院守护者,庭院守护者,@1101,请在采集副本消灭{TaskCount}次庭院守护者。
1106,@203,{ReplaceString1}狂热分子,曼陀罗草,@1101,在孢子秘境中消灭{TaskCount}次曼陀罗草。
