Id,Description
1,攻击普通怪物时最终伤害量增加[Param]
2,攻击精英怪物时最终伤害量增加[Param]
3,攻击首领怪物时最终伤害量增加[Param]
4,攻击玩家时最终伤害量增加[Param]
5,受到普通怪物造成的最终伤害量减少[Param]
6,受到精英怪物造成的最终伤害量减少[Param]
7,受到首领怪物造成的最终伤害量减少[Param]
8,玩家带来的最终伤害量减少[Param]
9,晕厥，击倒抵抗增幅提高[Param]
10,增加魔法防御力[Param]
11,减速抵抗增幅提高[Param]
12,暴击抵抗增幅提高[Param]
13,增加移动速度[Param]
14,连击持续时间增加[Param]秒
15,使用攻击型普通技能时造成[Param]点额外伤害
16,攻击魔法生物类怪物时最终伤害量额外增加[Param]
17,受到魔法生物类怪物造成的最终伤害量减少[Param]
19,使用攻击型普通技能时给怪物造成[Param]点额外伤害
20,使用恢复型普通技能时恢复量额外增加[Param]
101,攻击普通怪物时造成额外伤害[Param]
102,@101
103,@101
104,攻击首领怪物时造成额外伤害[Param]
105,@104
106,@104
107,减少被玩家攻击时所受的伤害量[Param]
108,@107
109,攻击玩家时造成额外伤害[Param]
110,@109
111,减少被普通怪物攻击时所受的伤害量[Param]
112,@111
113,攻击菁英怪物时造成额外伤害[Param]
114,@113
115,减少被菁英怪物攻击时所受的伤害量[Param]
116,@115
117,减少被首领怪物攻击时所受的伤害量[Param]
118,@117
201,@104
202,@117
203,攻击攻城建筑物时造成额外伤害[Param]
204,@113
205,@104
206,攻击魔法生物型怪物时造成[Param]额外伤害
301,在战场上攻击速度增加[Param]
