Id,Value,ButtonString1,ButtonString2
1,[ChatString],,
2,与服务器中断连结，已重新联机。,,
3,建立了队伍。,,
4,已加入队伍,,
5,<FontGreen>[Name]</>加入了队伍。,,
6,退出了队伍,,
7,<FontGreen>[Name]</>离开了队伍,,
8,被踢出了队伍,,
9,<FontGreen>[Name]</>被踢出了队伍,,
10,已成为队伍的队长。,,
11,<FontGreen>[Name]</>被委任为队长,,
12,已解散队伍,,
13,"<FontGreen>[Name]</>向您邀请加入队伍。
确定要加入吗？ <FontRed>[Seconds]</>秒",拒绝,参与
14,拒绝加入队伍,,
15,"收到加入队伍的申请。
确定要同意吗？ <FontRed>[Seconds]</>秒",@13,同意
16,已取消自动组队。,,
17,"地点：<FontGreen>[DungeonName]</><FontRed>([Difficulty]）</>
<FontBlue>[Name]</>想要开始冒险了。
是否开始准备？<FontRed>[Seconds]</>秒",@13,接受
18,"场所: <FontGreen>[DungeonName]</><FontRed>([Difficulty])</>
 <FontRed>[Seconds]</>秒后进场<FontGreen>[DungeonName]</><FontRed>([Difficulty])</>
请准备战斗",,
19,"地点：<FontGreen>[WorldName]</>
<FontBlue>[Name]</> 向您提出召集。
确定要前往吗？ <FontRed>[Seconds]</>秒",徒步前往,传送前往
20,@19,关闭,入场
21,"地点：<FontGreen>[WorldName]</>
要前往队伍集合地吗？ <FontRed>[Seconds]</>秒",@19,@19
22,@21,@20,@20
23,"<FontYellow>[Battlefield]</>队伍已成立。
<FontGreen>自己</>或是与其它玩家一起<FontGreen>上战场组队</>来参战吧。",,
24,已加入<FontYellow>[Battlefield]</>队伍。,,
25,<FontGreen>[Name]</>已加入<FontYellow>[Battlefield]</>队伍。,,
26,<FontYellow>[Battlefield]</>队伍已解散。,,
27,已退出<FontYellow>[Battlefield]</>队伍。,,
28,<FontGreen>[Name]</>已退出<FontYellow>[Battlefield]</>队伍。,,
29,"<FontGreen>[Name]</>([Power]) 邀请加入战场队伍。
<FontYellow>[Battlefield]</>确定要接收邀请吗 ? <FontRed>[Seconds]</>秒",@13,@15
30,"<FontYellow>[BattlefieldType]</>成功配对
<FontRed>[Seconds]</>秒后进入战场，请准备战斗。",,
31,玩家[Name]邀请你成为好友。,好友,
32,已和玩家[Name]成为好友。,@31,
33,<FontYellow>盟主更改了血盟纹章。</>,,
34,[Name]更改盟员昵称：<FontGreen>[Name2]</>,,
35,玩家<FontGreen>[Param1]</>已登录。,,
36,玩家<FontGreen>[Name]</>向血盟捐赠了<FontGreen>[Count][AssetsType]</>。,,
37,玩家<FontGreen>[Param1]</><FontBlue>加入</>了血盟。,,
38,玩家<FontGreen>[Param1]</><FontBlue>退出</>了血盟。,,
39,玩家<FontGreen>[Name]</>被从血盟中<FontRed>踢出</>了。,,
40,<FontBlue>[GuildName]</>血盟提出了入盟邀请。,@13,@17
41,<FontBlue>[Name]</>拒绝了邀请。,,
42,<FontYellow>血盟收到了新的加入申请。</>,血盟,
43,已加入<FontBlue>[GuildName]</>血盟。,@42,
44,已<FontRed>被拒绝</>加入<FontBlue>[GuildName]</>血盟。,,
45,退出了血盟,,
46,玩家<FontGreen>[Param1]</>的阶级升至为<FontBlue>[Param2]</>。,,
47,玩家<FontGreen>[Param1]</>被任命为新盟主。,,
48,由于前任盟主长期未登录，玩家<FontGreen>[Param1]</>被任命为新盟主。,,
49,玩家[Param1]给玩家<FontGreen>[Param2]</>发放了奖励。,,
