Id,Name,EffectTypeName,Desc
1001,共同击倒,击倒,
1002,@1001,@1001,普通攻击尾刀用
1003,@1001,@1001,
1004,共同无敌,无敌,不会收到伤害。
1005,复活保护增益效果,@1004,不会受到伤害。攻击敌人后，无敌效果将会被解除。
1011,共同晕眩,晕眩,晕眩
10111,疾袭冲击：击倒,@1001,
10122,突袭斩：减速,减速术,移动速度减慢 {1%}%
11211,猛击,增加仇恨值获得量,仇恨值获得量50%增加
112124,复仇,固定目标(PC),强制攻击
112125,@112124,减少攻击力,减少攻击力{1}
112126,@112124,固定目标(NPC),
11213,霸体,霸体：仇恨值增幅，物防/魔防增幅，回避减少,防御力增加{2%}%，所有的攻击仇恨值增加{1%}%，反射伤害{1%}%
11221,审判,减少防御,
11222,怒雷风暴,晕眩,@1011
112231,大灭绝,多重打击：大幅增加同时攻击，增加攻击速度,一次可攻击的敌人数量增加 {1}，攻击速度增加 {2%}%
11231,砂云,盲目,减少命中率 {1%}%
11232,推开：晕眩,@11222,@1011
112331,速度激发,速度激发：大幅增加攻击速度,增加攻击速度 {1%}%
112332,@112331,速度激发：回避增幅,回避增加{1%}%
11242,箭雨,物攻减少,减少攻击力
11243,狙击者,狙击：射程增加，攻击，命中增加，不可移动,攻击力增加{2%}%，命中增加{3}。攻击距离增加，移动速度减慢。
11244,鹰眼,鹰眼：增加暴击，减少防御,暴击增加{1}，伤害增加{2%}%
11251,熔化球,持续伤害,一定时间内的伤害
112531,魔力强化,魔力强化：大幅增加最大MP,MP消耗量增加{1%}%，技能伤害增加{2%}%
11261,神圣惩罚：晕眩,@1001,
11262,修复术,HOT,一定时间内恢复
12211,裁决,固定目标,仇恨获得量增加30%
12212,伊瓦斯格雷斯,减少攻击速度,HP恢复量减少50%
122131,庇护之势,增益状态：暂时伤害免疫,伤害免疫
122132,@122131,增益状态：移动速度增加,移动速度增加{1%}%
12221,波动冲击,波动冲击：移动速度减慢,移动速度减慢{1%}%
122231,战斗节奏,战斗节奏：攻防增加,队员的攻击力增加{1}，防御力增加{3}
122241,猎者之歌,猎人之歌：队伍暴击率,队员们的暴击率{1%}%增加
12231,三分裂,移动速度减慢,"防御力减少{1%}%, 攻击速度减少{3%}%, 移动速度减慢{4%}%"
12232,刀刃飓风,@1011,@1011
12233,平原行走,普雷因沃克：大幅增加攻击速度，移动速度，HP吸收率,攻击速度增加{1%}%，移动速度增加{2%}%，HP吸收率{3%}%
12241,断魂箭,增加暴击率,
12242,二连矢,二连矢：防御力减少,物理防御力减少{1%}%
122431,心眼,心眼：暴击率大增,增加暴击 {1}
122441,双倍移动加速,双倍移动加速：移动速度大幅增加,增加移动速度{1%}%，攻击速度{2%}%
12251,冰锥术：冰结,@11222,
12252,暴风雪,@10122,@10122
122521,@12252,@1011,@1011
122614,梦靥,@10122,移动速度减慢10%
122615,神圣之火,增加减伤,增加所受伤害{1%}%
12263,极大治愈术,治愈术,
122631,恢复精神,精神恢复：队伍冷却时间减少,减少队员技能冷却时间{1#}秒
12264,跟随防御,防御队伍物理/魔法增益效果,增加队员防御力{1%}%
