Keyword,Url,NaverUrl,LocType
MapMove,,,
Chat,http://guide.netmarble.com/revolutionjp#cont/368,,368
PKMode,http://guide.netmarble.com/revolutionjp#cont/397,,397
Inventory,http://guide.netmarble.com/revolutionjp#cont/367,,367
Skill,http://guide.netmarble.com/revolutionjp#cont/417,,417
SkillBook,http://guide.netmarble.com/revolutionjp#view/377,,377
SoulshotCraft,,,
Guild,http://guide.netmarble.com/revolutionjp#cont/364,,364
GuildCreate,http://guide.netmarble.com/revolutionjp#cont/364,,364
GuildEntrance,http://guide.netmarble.com/revolutionjp#cont/364,,364
GuildInfo,http://guide.netmarble.com/revolutionjp#cont/364,,364
GuildInventory,http://guide.netmarble.com/revolutionjp#cont/364,,364
GuildJoin,http://guide.netmarble.com/revolutionjp#cont/364,,364
GuildMain,http://guide.netmarble.com/revolutionjp#cont/364,,364
GuildMember,http://guide.netmarble.com/revolutionjp#cont/364,,364
GuildMemberInfo,http://guide.netmarble.com/revolutionjp#cont/364,,364
GuildQuest,http://guide.netmarble.com/revolutionjp#cont/364,,364
GuildRelationShip,http://guide.netmarble.com/revolutionjp#cont/364,,364
GuildShop,http://guide.netmarble.com/revolutionjp#cont/364,,364
Achievement,http://guide.netmarble.com/revolutionjp#cont/388,,388
ElixirCraft,http://guide.netmarble.com/revolutionjp#cont/362,,362
Friend,http://guide.netmarble.com/revolutionjp#cont/365,,365
CastleSiege,http://guide.netmarble.com/revolutionjp#cont/891,,891
CastleSiegeFestival,http://guide.netmarble.com/revolutionjp#cont/890,,890
FortressSiege,http://guide.netmarble.com/revolutionjp#cont/402,,402
Rune,http://guide.netmarble.com/revolutionjp#cont/363,,363
MonsterBook,http://guide.netmarble.com/revolutionjp#cont/372,,372
Ranking,http://guide.netmarble.com/revolutionjp#cont/373,,373
SoulCrystal,http://guide.netmarble.com/revolutionjp#cont/416,,416
SoulCrystalLevelUp,http://guide.netmarble.com/revolutionjp#cont/416,,416
AuctionHouse,http://guide.netmarble.com/revolutionjp#cont/369,,369
Shop,http://guide.netmarble.com/revolutionjp#cont/370,,370
ShopEquipment,http://guide.netmarble.com/revolutionjp#cont/370,,370
ShopUnbindEquipment,http://guide.netmarble.com/revolutionjp#cont/370,,370
ShopAdena,http://guide.netmarble.com/revolutionjp#cont/370,,370
ShopCash,http://guide.netmarble.com/revolutionjp#cont/370,,370
