Id,GroupId,ConditionType,ConditionNpcRaceType,ConditionNpcGradeList,ConditionRoomTypeList,ConditionParam,EffectGroupId,BoolItemGrowthFilter,ItemAbilitySkillInfoGroupId
1,1,1,14,"Small,Middle,Large",,,1001,1,
2,2,1,14,Elite,,,1002,1,
3,3,1,14,Hero,,,1003,1,
4,4,2,14,,,,1004,1,
5,5,1,14,"Small,Middle,Large",,,1005,0,
6,6,1,14,Elite,,,1006,1,
7,7,1,14,Hero,,,1007,1,
8,8,2,14,,,10000,1008,1,
9,9,8,14,,,10000,1009,0,
10,10,8,14,,,10000,1010,0,
11,11,8,14,,,10000,1011,0,
12,12,8,14,,,10000,1012,0,
13,13,8,14,,,10000,1013,0,
14,14,8,14,,,10000,1014,0,
15,15,8,14,,,,1015,0,
16,16,0,1,,,,1016,1,
17,17,0,1,,,,1017,1,
101,101,1,14,"Small,Middle,Large",,,1101,0,
102,102,1,14,"Small,Middle,Large",,,1102,0,
103,103,1,14,"Small,Middle,Large",,,1103,0,
104,104,1,14,Hero,,,1104,0,
105,105,1,14,Hero,,,1105,0,
106,106,1,14,Hero,,,1106,0,
107,107,2,14,,,10000,1107,0,
108,108,2,14,,,10000,1108,0,
109,109,2,14,,,,1109,0,
110,110,2,14,,,,1110,0,
111,111,1,14,"Small,Middle,Large",,,1111,0,
112,112,1,14,"Small,Middle,Large",,,1112,0,
113,113,1,14,Elite,,,1113,0,
114,114,1,14,Elite,,,1114,0,
115,115,1,14,Elite,,,1115,0,
116,116,1,14,Elite,,,1116,0,
117,117,1,14,Hero,,,1117,0,
118,118,1,14,Hero,,,1118,0,
201,201,1,14,Hero,,,1201,0,
202,202,1,14,Hero,,,1202,0,
203,203,1,14,Structure,,,1203,0,
801,801,1,14,"Small,Middle,Large",,,1801,0,
802,802,1,14,Elite,,,1802,0,
803,803,1,14,Hero,,,1803,0,
804,804,2,14,,,,1804,0,
805,805,1,14,"Small,Middle,Large",,,1805,0,
806,806,1,14,Elite,,,1806,0,
807,807,1,14,Hero,,,1807,0,
808,808,2,14,,,10000,1808,0,
809,809,8,14,,,10000,1809,0,
810,810,8,14,,,10000,1810,0,
811,811,8,14,,,10000,1811,0,
812,812,8,14,,,10000,1812,0,
813,813,8,14,,,10000,1813,0,
814,814,8,14,,,10000,1814,0,
815,815,8,14,,,,1815,0,
816,816,0,1,,,,1816,0,
817,817,0,1,,,,1817,0,
301,301,9,14,,"SiegeWorld,PvpWorld",10000,1301,0,
10001,10001,1,14,"Small,Middle,Large",,,110001,0,
10002,10001,1,14,Elite,,,110002,0,
810001,810001,0,11,,,,1810001,0,
810002,810001,1,14,"Small,Middle,Large",,,1810002,0,
810003,810001,1,14,Hero,,,1810003,0,
810006,810006,0,11,,,,1810006,0,
810011,810011,8,14,,,,1810011,0,
810012,810011,0,12,,,,1810012,0,
810013,810011,0,12,,,,1810013,0,
810021,810021,0,13,,,,1810021,0,
810023,810021,0,13,,,,,0,1810023
810024,810021,8,14,,,,1810024,0,
810022,810022,8,14,,,,1810022,0,
810031,810031,8,14,,,10000,1810031,0,
810032,810032,8,14,,,,1810032,0,
