Id,GroupId,ConditionType,ConditionValue,ContentsLockId,TaskType,Repeat,ShowRateGroup,ShowRate,RequireQuest,CharLevel,PortraitTexture,Duration,Delay,Sound,LimitPeriod,LimitCount,AllowWorld,PvPLimit
100001,100001,6,2,,127,0,,100,1042,1,Erika_02,500,500,Announce_001_1,1,1,World;RegularDungeonWorld,1
100002,100001,6,2,,127,0,,100,1042,1,Erika_03,500,500,Announce_001_2,1,1,World;RegularDungeonWorld,1
100011,100011,5,2,,127,0,,100,1012,1,Erika_02,500,500,Announce_002_1,1,1,World;RegularDungeonWorld,1
100012,100011,5,2,,127,0,,100,1012,1,Erika_03,500,500,Announce_002_2,1,1,World;RegularDungeonWorld,1
100101,100101,10,2,,127,0,,100,1121,1,Erika_02,500,500,Announce_003_1,1,1,World;RegularDungeonWorld,1
100102,100101,10,2,,127,0,,100,1121,1,Erika_03,500,500,Announce_003_2,1,1,World;RegularDungeonWorld,1
100201,100201,9,2,,127,0,,100,2123,1,Erika_02,500,500,Announce_004_1,1,1,World;RegularDungeonWorld,1
100202,100201,9,2,,127,0,,100,2123,1,Erika_03,500,500,Announce_004_3,1,1,World;RegularDungeonWorld,1
100203,100201,9,2,,127,0,,100,2123,1,Erika_01,500,500,Announce_004_4,1,1,World;RegularDungeonWorld,1
100301,100301,4,2,,127,0,,100,3325,1,Erika_02,500,500,Announce_005_1,1,1,World;RegularDungeonWorld,1
100302,100301,4,2,,127,0,,100,3325,1,Erika_03,500,500,Announce_005_2,1,1,World;RegularDungeonWorld,1
100401,100401,1,2,,127,0,,100,1037,1,Erika_02,500,500,Announce_006_1,1,1,World;RegularDungeonWorld,1
100402,100401,1,2,,127,0,,100,1037,1,Erika_03,500,500,Announce_006_3,1,1,World;RegularDungeonWorld,1
100501,100501,7,2,,127,0,,100,2119,1,Erika_02,500,500,Announce_007_1,1,1,World;RegularDungeonWorld,1
100502,100501,7,2,,127,0,,100,2119,1,Erika_03,500,500,Announce_007_2,1,1,World;RegularDungeonWorld,1
100503,100501,7,2,,127,0,,100,2119,1,Erika_01,500,500,Announce_007_3,1,1,World;RegularDungeonWorld,1
100601,100601,11,2,,127,0,,100,1102,1,Erika_02,500,500,Announce_008_1,1,1,World;RegularDungeonWorld,1
100602,100601,11,2,,127,0,,100,1102,1,Erika_03,500,500,Announce_008_2,1,1,World;RegularDungeonWorld,1
100701,100701,8,2,,127,0,,100,1107,1,Erika_02,500,500,Announce_009_1,1,1,World;RegularDungeonWorld,1
100702,100701,8,2,,127,0,,100,1107,1,Erika_03,500,500,Announce_009_2,1,1,World;RegularDungeonWorld,1
200001,200001,3,,,127,0,,,,1,Erika_03,500,500,Announce_101_1,1,1,World;RegularDungeonWorld,1
