笲M@9_aquiredId,AchievementGroupId,Type,GroupType,TaskType,ItemAbilityId,CompleteNotifyType,TaskCount,AchievementIcon,EffectType,EffectParam,EffectType2,EffectParam2,ItemReward,ItemParam,ItemReward2,ItemParam2
10201,,815001020,8,5,255,1,0,8,Icon_ItemAchievement_Weapon,29,352,246,,81000126,1,,
10202,10201,815001020,8,5,255,1,0,16,Icon_ItemAchievement_Weapon,29,352,246,,81000126,1,,
10203,10202,815001020,8,5,255,1,0,24,Icon_ItemAchievement_Weapon,29,603,246,,,,,
10204,10203,815001020,8,5,255,1,0,32,Icon_ItemAchievement_Weapon,29,603,246,,,,,
10205,10204,815001020,8,5,255,1,0,40,Icon_ItemAchievement_Weapon,29,603,246,,,,,
10301,,815001030,8,5,56,1,0,10,Icon_ItemAchievement_01,10,319,246,,81000126,1,,
10302,10301,815001030,8,5,56,1,0,15,Icon_ItemAchievement_01,10,319,246,,81000126,1,,
10303,10302,815001030,8,5,56,1,0,20,Icon_ItemAchievement_01,10,547,246,,,,,
10304,10303,815001030,8,5,56,1,0,25,Icon_ItemAchievement_01,10,547,246,,,,,
10305,10304,815001030,8,5,56,1,0,30,Icon_ItemAchievement_01,10,547,246,,,,,
10401,,815001040,8,5,255,1,0,2,Icon_ItemAchievement_ Ability_01,101,248,246,,81000126,1,,
10402,10401,815001040,8,5,255,1,0,4,Icon_ItemAchievement_ Ability_01,101,248,246,,81000126,1,,
10403,10402,815001040,8,5,255,1,0,6,Icon_ItemAchievement_ Ability_01,101,425,246,,,,,
10404,10403,815001040,8,5,255,1,0,8,Icon_ItemAchievement_ Ability_01,101,425,246,,,,,
10405,10404,815001040,8,5,255,1,0,10,Icon_ItemAchievement_ Ability_01,101,425,246,,,,,
20201,,815002020,8,5,255,2,0,8,Icon_ItemAchievement_Weapon,29,352,246,,81000126,1,,
20202,20201,815002020,8,5,255,2,0,16,Icon_ItemAchievement_Weapon,29,352,246,,81000126,1,,
20203,20202,815002020,8,5,255,2,0,24,Icon_ItemAchievement_Weapon,29,603,246,,,,,
20204,20203,815002020,8,5,255,2,0,32,Icon_ItemAchievement_Weapon,29,603,246,,,,,
20205,20204,815002020,8,5,255,2,0,40,Icon_ItemAchievement_Weapon,29,603,246,,,,,
20301,,815002030,8,5,56,2,0,10,Icon_ItemAchievement_01,10,319,246,,81000126,1,,
20302,20301,815002030,8,5,56,2,0,15,Icon_ItemAchievement_01,10,319,246,,81000126,1,,
20303,20302,815002030,8,5,56,2,0,20,Icon_ItemAchievement_01,10,547,246,,,,,
20304,20303,815002030,8,5,56,2,0,25,Icon_ItemAchievement_01,10,547,246,,,,,
20305,20304,815002030,8,5,56,2,0,30,Icon_ItemAchievement_01,10,547,246,,,,,
20401,,815002040,8,5,255,2,0,2,Icon_ItemAchievement_ Ability_02,101,248,246,,81000126,1,,
20402,20401,815002040,8,5,255,2,0,4,Icon_ItemAchievement_ Ability_02,101,248,246,,81000126,1,,
20403,20402,815002040,8,5,255,2,0,6,Icon_ItemAchievement_ Ability_02,101,425,246,,,,,
20404,20403,815002040,8,5,255,2,0,8,Icon_ItemAchievement_ Ability_02,101,425,246,,,,,
20405,20404,815002040,8,5,255,2,0,10,Icon_ItemAchievement_ Ability_02,101,425,246,,,,,
30201,,815003020,8,5,255,3,0,8,Icon_ItemAchievement_Weapon,29,352,246,,81000126,1,,
30202,30201,815003020,8,5,255,3,0,16,Icon_ItemAchievement_Weapon,29,352,246,,81000126,1,,
30203,30202,815003020,8,5,255,3,0,24,Icon_ItemAchievement_Weapon,29,603,246,,,,,
30204,30203,815003020,8,5,255,3,0,32,Icon_ItemAchievement_Weapon,29,603,246,,,,,
30205,30204,815003020,8,5,255,3,0,40,Icon_ItemAchievement_Weapon,29,603,246,,,,,
30301,,815003030,8,5,56,3,0,10,Icon_ItemAchievement_01,10,319,246,,81000126,1,,
30302,30301,815003030,8,5,56,3,0,15,Icon_ItemAchievement_01,10,319,246,,81000126,1,,
30303,30302,815003030,8,5,56,3,0,20,Icon_ItemAchievement_01,10,547,246,,,,,
30304,30303,815003030,8,5,56,3,0,25,Icon_ItemAchievement_01,10,547,246,,,,,
30305,30304,815003030,8,5,56,3,0,30,Icon_ItemAchievement_01,10,547,246,,,,,
30401,,815003040,8,5,255,3,0,2,Icon_ItemAchievement_ Ability_03,101,248,246,,81000126,1,,
30402,30401,815003040,8,5,255,3,0,4,Icon_ItemAchievement_ Ability_03,101,248,246,,81000126,1,,
30403,30402,815003040,8,5,255,3,0,6,Icon_ItemAchievement_ Ability_03,101,425,246,,,,,
30404,30403,815003040,8,5,255,3,0,8,Icon_ItemAchievement_ Ability_03,101,425,246,,,,,
30405,30404,815003040,8,5,255,3,0,10,Icon_ItemAchievement_ Ability_03,101,425,246,,,,,
40201,,815004020,8,5,255,4,0,8,Icon_ItemAchievement_Weapon,29,352,246,,81000126,1,,
40202,40201,815004020,8,5,255,4,0,16,Icon_ItemAchievement_Weapon,29,352,246,,81000126,1,,
40203,40202,815004020,8,5,255,4,0,24,Icon_ItemAchievement_Weapon,29,603,246,,,,,
40204,40203,815004020,8,5,255,4,0,32,Icon_ItemAchievement_Weapon,29,603,246,,,,,
40205,40204,815004020,8,5,255,4,0,40,Icon_ItemAchievement_Weapon,29,603,246,,,,,
40301,,815004030,8,5,56,4,0,10,Icon_ItemAchievement_01,10,319,246,,81000126,1,,
40302,40301,815004030,8,5,56,4,0,15,Icon_ItemAchievement_01,10,319,246,,81000126,1,,
40303,40302,815004030,8,5,56,4,0,20,Icon_ItemAchievement_01,10,547,246,,,,,
40304,40303,815004030,8,5,56,4,0,25,Icon_ItemAchievement_01,10,547,246,,,,,
40305,40304,815004030,8,5,56,4,0,30,Icon_ItemAchievement_01,10,547,246,,,,,
40401,,815004040,8,5,255,4,0,2,Icon_ItemAchievement_ Ability_04,101,248,246,,81000126,1,,
40402,40401,815004040,8,5,255,4,0,4,Icon_ItemAchievement_ Ability_04,101,248,246,,81000126,1,,
40403,40402,815004040,8,5,255,4,0,6,Icon_ItemAchievement_ Ability_04,101,425,246,,,,,
40404,40403,815004040,8,5,255,4,0,8,Icon_ItemAchievement_ Ability_04,101,425,246,,,,,
40405,40404,815004040,8,5,255,4,0,10,Icon_ItemAchievement_ Ability_04,101,425,246,,,,,
60201,,815006020,8,5,255,16,0,8,Icon_ItemAchievement_Weapon,29,352,246,,81000126,1,,
60202,60201,815006020,8,5,255,16,0,16,Icon_ItemAchievement_Weapon,29,352,246,,81000126,1,,
60203,60202,815006020,8,5,255,16,0,24,Icon_ItemAchievement_Weapon,29,603,246,,,,,
60204,60203,815006020,8,5,255,16,0,32,Icon_ItemAchievement_Weapon,29,603,246,,,,,
60205,60204,815006020,8,5,255,16,0,40,Icon_ItemAchievement_Weapon,29,603,246,,,,,
60301,,815006030,8,5,56,16,0,10,Icon_ItemAchievement_01,10,95,246,,81000126,1,,
60302,60301,815006030,8,5,56,16,0,15,Icon_ItemAchievement_01,10,190,246,,81000126,1,,
60303,60302,815006030,8,5,56,16,0,20,Icon_ItemAchievement_01,10,322,246,,,,,
60304,60303,815006030,8,5,56,16,0,25,Icon_ItemAchievement_01,10,476,246,,,,,
60305,60304,815006030,8,5,56,16,0,30,Icon_ItemAchievement_01,10,733,246,,,,,
60401,,815006040,8,5,255,16,0,2,Icon_ItemAchievement_ Ability_06,10,319,246,,81000126,1,,
60402,60401,815006040,8,5,255,16,0,4,Icon_ItemAchievement_ Ability_06,10,319,246,,81000126,1,,
60403,60402,815006040,8,5,255,16,0,6,Icon_ItemAchievement_ Ability_06,10,547,246,,,,,
60404,60403,815006040,8,5,255,16,0,8,Icon_ItemAchievement_ Ability_06,10,547,246,,,,,
60405,60404,815006040,8,5,255,16,0,10,Icon_ItemAchievement_ Ability_06,10,547,246,,,,,
210201,,815021020,9,5,255,6,0,8,Icon_ItemAchievement_Helmet,26,126,246,,81000126,1,,
210202,210201,815021020,9,5,255,6,0,16,Icon_ItemAchievement_Helmet,26,126,246,,81000126,1,,
210203,210202,815021020,9,5,255,6,0,24,Icon_ItemAchievement_Helmet,26,216,246,,,,,
210204,210203,815021020,9,5,255,6,0,32,Icon_ItemAchievement_Helmet,26,216,246,,,,,
210205,210204,815021020,9,5,255,6,0,40,Icon_ItemAchievement_Helmet,26,216,246,,,,,
210301,,815021030,9,5,56,6,0,10,Icon_ItemAchievement_01,26,126,246,,81000126,1,,
210302,210301,815021030,9,5,56,6,0,15,Icon_ItemAchievement_01,26,126,246,,81000126,1,,
210303,210302,815021030,9,5,56,6,0,20,Icon_ItemAchievement_01,26,216,246,,,,,
210304,210303,815021030,9,5,56,6,0,25,Icon_ItemAchievement_01,26,216,246,,,,,
210305,210304,815021030,9,5,56,6,0,30,Icon_ItemAchievement_01,26,216,246,,,,,
210401,,815021040,9,5,255,6,0,2,Icon_ItemAchievement_ Ability_07,26,126,246,,81000126,1,,
210402,210401,815021040,9,5,255,6,0,4,Icon_ItemAchievement_ Ability_07,26,126,246,,81000126,1,,
210403,210402,815021040,9,5,255,6,0,6,Icon_ItemAchievement_ Ability_07,26,216,246,,,,,
210404,210403,815021040,9,5,255,6,0,8,Icon_ItemAchievement_ Ability_07,26,216,246,,,,,
210405,210404,815021040,9,5,255,6,0,10,Icon_ItemAchievement_ Ability_07,26,216,246,,,,,
220201,,815022020,10,5,255,6,0,8,Icon_ItemAchievement_Armor,58,252,246,,81000126,1,,
220202,220201,815022020,10,5,255,6,0,16,Icon_ItemAchievement_Armor,58,252,246,,81000126,1,,
220203,220202,815022020,10,5,255,6,0,24,Icon_ItemAchievement_Armor,58,432,246,,,,,
220204,220203,815022020,10,5,255,6,0,32,Icon_ItemAchievement_Armor,58,432,246,,,,,
220205,220204,815022020,10,5,255,6,0,40,Icon_ItemAchievement_Armor,58,432,246,,,,,
220301,,815022030,10,5,56,6,0,10,Icon_ItemAchievement_01,58,252,246,,81000126,1,,
220302,220301,815022030,10,5,56,6,0,15,Icon_ItemAchievement_01,58,252,246,,81000126,1,,
220303,220302,815022030,10,5,56,6,0,20,Icon_ItemAchievement_01,58,432,246,,,,,
220304,220303,815022030,10,5,56,6,0,25,Icon_ItemAchievement_01,58,432,246,,,,,
220305,220304,815022030,10,5,56,6,0,30,Icon_ItemAchievement_01,58,432,246,,,,,
220401,,815022040,10,5,255,6,0,2,Icon_ItemAchievement_ Ability_07,58,252,246,,81000126,1,,
220402,220401,815022040,10,5,255,6,0,4,Icon_ItemAchievement_ Ability_07,58,252,246,,81000126,1,,
