Id,Type,RequiredValue,RewardGem,RewardItemInfoId,RewardCount,RewardItemInfoId2,RewardCount2
1,0,1,300,,,,
2,0,2,200,,,,
3,0,3,100,,,,
4,0,4,80,,,,
5,0,5,60,,,,
6,0,10,45,,,,
7,0,50,35,,,,
8,0,100,30,,,,
9,0,100,25,,,,
10,0,1000,20,,,,
11,0,2000,15,,,,
12,0,5000,10,,,,
13,0,7500,5,,,,
14,0,10000,3,,,,
15,1,50,,900016,2,490002,25000
16,1,40,,900016,1,490002,10000
17,1,30,,900015,2,490002,7000
18,1,15,,900015,1,490002,5000
19,1,5,,900015,1,490002,3000
20,2,1,700,,,,
21,2,2,500,,,,
22,2,3,400,,,,
23,2,4,350,,,,
24,2,5,300,,,,
25,2,10,280,,,,
26,2,50,230,,,,
27,2,100,200,,,,
28,2,1000,150,,,,
29,2,3000,80,,,,
30,2,5000,50,,,,
31,2,10000,30,,,,
32,2,15000,20,,,,
33,2,30000,10,,,,
34,2,17,5,,,,
35,2,18,5,,,,
36,2,19,5,,,,
37,2,20,30,,,,
38,2,21,3,,,,
39,2,22,3,,,,
40,2,23,3,,,,
41,2,24,3,,,,
42,2,25,3,,,,
43,2,26,3,,,,
44,2,27,3,,,,
45,2,28,3,,,,
46,2,29,3,,,,
47,2,30,30,,,,
48,2,31,1,,,,
49,2,32,1,,,,
50,2,33,1,,,,
51,2,34,1,,,,
52,2,35,1,,,,
53,2,36,1,,,,
54,2,37,1,,,,
55,2,38,1,,,,
56,2,39,1,,,,
57,2,40,30,,,,
58,2,41,1,,,,
59,2,42,1,,,,
60,2,43,1,,,,
61,2,44,1,,,,
62,2,45,1,,,,
63,2,46,1,,,,
64,2,47,1,,,,
65,2,48,1,,,,
66,2,49,1,,,,
67,2,50,30,,,,
68,2,51,1,,,,
69,2,52,1,,,,
70,2,53,1,,,,
71,2,54,1,,,,
72,2,55,1,,,,
73,2,56,1,,,,
74,2,57,1,,,,
75,2,58,1,,,,
76,2,59,1,,,,
77,2,60,30,,,,
78,2,61,1,,,,
79,2,62,1,,,,
80,2,63,1,,,,
81,2,64,1,,,,
82,2,65,1,,,,
83,2,66,1,,,,
84,2,67,1,,,,
85,2,68,1,,,,
86,2,69,1,,,,
87,2,70,30,,,,
88,2,71,1,,,,
89,2,72,1,,,,
90,2,73,1,,,,
91,2,74,1,,,,
92,2,75,1,,,,
93,2,76,1,,,,
94,2,77,1,,,,
95,2,78,1,,,,
96,2,79,1,,,,
97,2,80,30,,,,
98,2,81,1,,,,
99,2,82,1,,,,
100,2,83,1,,,,
101,2,84,1,,,,
102,2,85,1,,,,
103,2,86,1,,,,
104,2,87,1,,,,
105,2,88,1,,,,
106,2,89,1,,,,
107,2,90,30,,,,
108,2,91,1,,,,
109,2,92,1,,,,
110,2,93,1,,,,
111,2,94,1,,,,
112,2,95,1,,,,
113,2,96,1,,,,
114,2,97,1,,,,
115,2,98,1,,,,
116,2,99,1,,,,
117,2,100,25,,,,
118,2,101,1,,,,
119,2,102,1,,,,
120,2,103,1,,,,
121,2,104,1,,,,
122,2,105,1,,,,
123,2,106,1,,,,
124,2,107,1,,,,
125,2,108,1,,,,
126,2,109,1,,,,
127,2,110,25,,,,
128,2,111,1,,,,
129,2,112,1,,,,
130,2,113,1,,,,
131,2,114,1,,,,
132,2,115,1,,,,
133,2,116,1,,,,
134,2,117,1,,,,
135,2,118,1,,,,
136,2,119,1,,,,
137,2,120,25,,,,
138,2,121,1,,,,
139,2,122,1,,,,
140,2,123,1,,,,
141,2,124,1,,,,
142,2,125,1,,,,
143,2,126,1,,,,
144,2,127,1,,,,
145,2,128,1,,,,
146,2,129,1,,,,
147,2,130,25,,,,
148,2,131,1,,,,
149,2,132,1,,,,
150,2,133,1,,,,
151,2,134,1,,,,
152,2,135,1,,,,
153,2,136,1,,,,
154,2,137,1,,,,
155,2,138,1,,,,
156,2,139,1,,,,
157,2,140,25,,,,
158,2,141,1,,,,
159,2,142,1,,,,
160,2,143,1,,,,
161,2,144,1,,,,
162,2,145,1,,,,
163,2,146,1,,,,
164,2,147,1,,,,
165,2,148,1,,,,
166,2,149,1,,,,
167,2,150,25,,,,
168,2,151,1,,,,
169,2,152,1,,,,
170,2,153,1,,,,
171,2,154,1,,,,
172,2,155,1,,,,
173,2,156,1,,,,
174,2,157,1,,,,
175,2,158,1,,,,
176,2,159,1,,,,
177,2,160,25,,,,
178,2,161,1,,,,
179,2,162,1,,,,
180,2,163,1,,,,
181,2,164,1,,,,
182,2,165,1,,,,
183,2,166,1,,,,
184,2,167,1,,,,
185,2,168,1,,,,
186,2,169,1,,,,
187,2,170,25,,,,
188,2,171,1,,,,
189,2,172,1,,,,
190,2,173,1,,,,
191,2,174,1,,,,
192,2,175,1,,,,
193,2,176,1,,,,
194,2,177,1,,,,
195,2,178,1,,,,
196,2,179,1,,,,
197,2,180,25,,,,
198,2,181,1,,,,
199,2,182,1,,,,
200,2,183,1,,,,
201,2,184,1,,,,
202,2,185,1,,,,
203,2,186,1,,,,
204,2,187,1,,,,
205,2,188,1,,,,
206,2,189,1,,,,
207,2,190,25,,,,
208,2,191,1,,,,
209,2,192,1,,,,
210,2,193,1,,,,
211,2,194,1,,,,
212,2,195,1,,,,
213,2,196,1,,,,
214,2,197,1,,,,
215,2,198,1,,,,
216,2,199,1,,,,
217,2,200,20,,,,
218,2,201,1,,,,
219,2,202,1,,,,
220,2,203,1,,,,
221,2,204,1,,,,
222,2,205,1,,,,
223,2,206,1,,,,
224,2,207,1,,,,
225,2,208,1,,,,
226,2,209,1,,,,
227,2,210,20,,,,
228,2,211,1,,,,
229,2,212,1,,,,
230,2,213,1,,,,
231,2,214,1,,,,
232,2,215,1,,,,
233,2,216,1,,,,
234,2,217,1,,,,
235,2,218,1,,,,
236,2,219,1,,,,
237,2,220,20,,,,
238,2,221,1,,,,
239,2,222,1,,,,
240,2,223,1,,,,
241,2,224,1,,,,
242,2,225,1,,,,
243,2,226,1,,,,
244,2,227,1,,,,
245,2,228,1,,,,
246,2,229,1,,,,
247,2,230,20,,,,
248,2,231,1,,,,
249,2,232,1,,,,
250,2,233,1,,,,
251,2,234,1,,,,
252,2,235,1,,,,
253,2,236,1,,,,
254,2,237,1,,,,
255,2,238,1,,,,
256,2,239,1,,,,
257,2,240,20,,,,
258,2,241,1,,,,
259,2,242,1,,,,
260,2,243,1,,,,
261,2,244,1,,,,
262,2,245,1,,,,
263,2,246,1,,,,
264,2,247,1,,,,
265,2,248,1,,,,
266,2,249,1,,,,
267,2,250,20,,,,
268,2,251,1,,,,
269,2,252,1,,,,
270,2,253,1,,,,
