Id,Keyword,ConditionType,ConditionValue,ConditionSubValue,ShowInProgressBar,SortNum,ContentIcon,BadgeType,ClientString
1,FORGE,2,1011,0,1,1,UI_Btn_EquipmentEnhancement,23,
2,SOULSHOT,2,1017,0,1,2,UI_Icon_Soulshot2,237,
3,DUNGEON,2,1025,0,0,,UI_Btn_Dungeon,34,
4,DAILY_DUNGEON,2,1025,0,1,3,UI_Btn_Dungeon,132,
5,HEROIC,2,1036,0,1,5,UI_Btn_Achievement,28,
8,GACHA_PREMIUM,2,1041,0,1,6,UI_Btn_DiaShop,107,
10,PVP,2,1106,0,1,8,UI_Btn_BattleField,150,
12,COMPOSITION,2,1111,0,1,9,UI_Btn_EquipmentEnhancement,123,
13,ENCHANT,2,1115,0,1,14,UI_Btn_EquipmentEnhancement,124,
14,GUILD,0,10,,0,,UI_Btn_Guild,54,
15,INFINITY_DUNGEON,2,1120,0,1,10,UI_Btn_Dungeon,133,
16,RUNE,2,1120,5,1,11,UI_Btn_Rune,8,
17,UPGRADE,2,1125,0,1,12,UI_Btn_EquipmentEnhancement,122,
18,DAILY_ACTIVITY,2,1132,0,0,,UI_Btn_Mission,113,
19,MISSION_REQUEST,2,2005,0,0,,UI_Btn_QuestProgress,237,
20,REQUEST_WEEKLY,2,2010,0,0,,UI_Btn_QuestProgress,237,
21,SOUL_CRYSTAL,2,2118,0,1,15,UI_Btn_JewelCraft,24,
22,ELITE_DUNGEON_0,2,2102,0,1,13,UI_Btn_Dungeon,135,
23,ELITE_DUNGEON_1,2,2102,0,0,,UI_Btn_Dungeon,237,
24,MONSTER_BOOK,2,2122,3,1,16,UI_Btn_MonsterBook,29,
25,UNIQUE_SKILL,2,2126,0,1,17,UI_Btn_Skill,237,
27,AUCTION_HOUSE,0,10,0,0,,UI_Btn_AuctionHouse,40,
28,ELIXIR,2,3324,6,1,18,UI_Btn_MiscCraft,237,
29,COLLECT_DUNGEON,2,3326,0,1,19,UI_Btn_Dungeon,134,
30,AUTO_COMBAT,2,1025,0,1,4,UI_Btn_AutoCombat3,237,
40,CHARACTER_TITLE,2,1036,0,0,,UI_Btn_CharacterTitle,169,
101,DAILY_DUNGEON_NORMAL,2,1025,,0,,UI_Btn_Dungeon,237,
102,ELITE_DUNGEON_2,0,20,,0,,UI_Btn_Dungeon,237,
103,CLASS_TRANSFER,0,31,,0,,UI_Btn_Class,237,
104,DAILY_DUNGEON_HARD,2,1025,,0,,UI_Btn_Dungeon,237,
105,ELITE_DUNGEON_3,0,30,,0,,UI_Btn_Dungeon,237,
106,ELITE_DUNGEON_4,0,45,,0,,UI_Btn_Dungeon,237,
107,DAILY_DUNGEON_EXPERT,2,1025,,0,,UI_Btn_Dungeon,237,
108,ELITE_DUNGEON_5,0,65,,0,,UI_Btn_Dungeon,237,
109,ELITE_DUNGEON_6,0,90,,0,,UI_Btn_Dungeon,237,
110,ELITE_DUNGEON_7,0,128,,0,,UI_Btn_Dungeon,237,
111,ELITE_DUNGEON_8,0,140,,0,,UI_Btn_Dungeon,237,
112,EXP_DUNGEON,2,4312,0,1,22,UI_Btn_Dungeon,237,
113,ADENA_DUNGEON,2,4298,0,1,21,UI_Btn_Dungeon,237,
114,EQUIP_DUNGEON,2,3099,0,1,20,UI_Btn_Dungeon,237,
115,SUMMON_STONE_DUNGEON,2,6121,,0,,UI_Btn_Dungeon,237,
116,GUILD_DUNGEON_1,3,2,,0,,UI_Btn_Dungeon,237,
117,GUILD_DUNGEON_2,4,90101,,0,,UI_Btn_Dungeon,237,
118,FORTRESS_SIEGE,0,10,,0,,UI_Btn_BattleField,237,
119,CASTLE_SIEGE,5,10,,0,,UI_Btn_BattleField,237,
120,SKILL_LEVELUP,2,1101,0,1,7,UI_Btn_Skill,37,
121,REFINEMENT_DUNGEON,5,0,,0,,UI_Btn_Dungeon,237,
122,NECKLACE_UNLOCK,7,2,,0,,UI_Btn_Class,237,NECKLACE_UNLOCK_CLICK
123,GUILD_DUNGEON_3,4,90301,,0,,UI_Btn_Dungeon,237,
126,AGIT,3,5,,0,,UI_Btn_Guild,237,
127,ELITE_DUNGEON_9,0,162,,0,,UI_Btn_Dungeon,237,
301,EARRING_SLOT_1,0,60,,0,,UI_icon_menutab_accessory,237,EARRING_SLOT_1_UNLOCK_CLICK
303,RING_SLOT_1,0,40,,0,,UI_icon_menutab_accessory,237,RING_SLOT_1_UNLOCK_CLICK
129,RIDING_PET,6,33,50,0,,UI_Btn_Pet,237,
401,AGIT_CONTENT_JP,3,5,,0,,,237,
20001,PARTY_DUNGEON_1,0,60,,0,,UI_Btn_Party_Dungeon,237,
20002,PARTY_DUNGEON_2,0,90,,0,,UI_Btn_Party_Dungeon,237,
20003,PARTY_DUNGEON_3,0,75,,0,,UI_Btn_Party_Dungeon,237,시공의 균열 : 창조의 신전
