MArketType,ShopId,CurrencyType,Cost,DisplayCost,OriginCost,ProductId,d1
1,2001,3,120,120,,,1회 한정! 30 + 30 다이아
1,2002,3,480,480,,,1회 한정! 130 + 130 다이아
1,2003,3,960,960,,,1회 한정! 280 + 280 다이아
1,2004,3,120,120,,,30 다이아
1,2005,3,480,480,,,120+10 다이아
1,2006,3,960,960,,,240+40 다이아
1,2010,3,2400,"2,400",,,600+150 다이아
1,2007,3,3200,"3,200",,,800+250 다이아
1,2008,3,4800,"4,800",,,"1,200+500 다이아"
1,2009,3,9800,"9,800",,,"2,450+1,150 다이아"
1,7001,3,480,,,,매일 받는 다이아 꾸러미(14일)
1,7002,3,960,,,,매일 받는 다이아 꾸러미(28일)
1,7003,3,960,960,,,매일 받는 다이아 꾸러미(28일)
1,9001,3,2900,"2,900",,,프리미엄 스타팅 패키지
1,9008,3,3200,"3,200",,,주니어 모험가 패키지
1,9009,3,9800,"9,800",,,시니어 모험가 패키지
1,9010,3,9800,"9,800",,,베테랑 모험가 패키지
1,9019,3,960,960,,,스킬 포인트 패키지
1,12011,3,3200,"3,200",,,주니어 모험가 패키지
1,12012,3,9800,"9,800",,,시니어 모험가 패키지
1,12013,3,9800,"9,800",,,베테랑 모험가 패키지
1,12014,3,9800,"9,800",,,엘리트 모험가 패키지
1,12015,3,9800,"9,800",,,노블리스 모험가 패키지
1,9020,3,4800,"4,800",,,프리미엄 집혼석 패키지I
1,9021,3,9800,"9,800",,,프리미엄 집혼석 패키지II
1,9022,3,3200,"3,200",,,프리미엄 집혼석 패키지III
1,12021,3,4800,"4,800",,,프리미엄_집혼석_1
1,8011,3,3200,"3,200",,,성장 선물 꾸러미 II
1,8003,3,3200,"3,200",,,SR등급 수집 꾸러미
1,8004,3,3200,"3,200",,,시나리오 꾸러미 I
1,8014,3,3200,"3,200",,,시나리오 꾸러미2
1,9051,3,9800,"9,800",,,스페셜 승급석 선택상자 패키지
1,9052,3,9800,"9,800",,,축복받은 강화주문서 패키지
1,9053,3,9800,"9,800",,,엘리트 모험가 패키지
1,9054,3,4800,"4,800",,,프리미엄 인벤토리 패키지
1,9501,3,4800,"4,800",,,장비성장 보조 패키지
1,9502,3,9800,"9,800",,,강화의 부름 패키지
1,9503,3,9800,"9,800",,,액세서리 소환 패키지
1,9601,3,4800,"4,800",,,프리미엄 집혼석 패키지I
1,9604,3,960,960,,,스킬 포인트 패키지
1,11001,3,960,960,,,매일 받는 아데나 꾸러미(28일)
1,9605,3,9800,"9,800",,,탑승펫 소환석 패키지
1,9606,3,9800,"9,800",,,탑승펫 장비 소환 패키지
1,9607,3,11000,"11,000",,,C급 보상 패키지
1,9608,3,11000,"11,000",,,D급 보상 패키지
1,9609,3,5500,"5,500",,,화이트데이 축복 패키지(비사용)
1,9610,3,5500,"5,500",,,탑승펫 육성석 패키지
1,9611,3,9800,"9,800",,,노블리스 모험가 패키지
1,999999,3,,,,,휴면 유저 프로모션
1,999998,3,,,,,이탈 유저 프로모션
1,9613,3,3300,"3,300",,,3등급 특별 패키지
1,9614,3,3300,"3,300",,,4등급 특별 패키지
1,9615,3,5500,"5,500",,,5등급 특별 패키지
1,9616,3,5500,"5,500",,,6등급 특별 패키지
1,9617,3,11000,"11,000",,,7등급 특별 패키지
1,12101,3,120,120,,,신년 복주머니 120엔
1,12102,3,120,120,,,스폐셜 패키지 2
1,12103,3,480,480,,,혈맹 기원 패키지
1,12104,3,480,480,,,화이트데이 기념 혈맹 패키지
1,12105,3,960,960,,,축복받은 강화주문서 라이트 패키지
1,12106,3,960,960,,,연마제 라이트 패키지
1,12107,3,2400,"2,400",,,갈기사자 육성 패키지
1,12108,3,2400,"2,400",,,스폐셜 패키지 8
1,12109,3,2900,"2,900",,,스페셜 아데나 패키지
1,12110,3,2900,"2,900",,,스폐셜 패키지 10
1,12111,3,3200,"3,200",,,기간한정 탑승펫 패키지
1,12112,3,3200,"3,200",,,기간한정 레드다이아 패키지
1,12113,3,4800,"4,800",,,초특가 다이아 패키지 1
1,12114,3,4800,"4,800",,,스페셜 장비 세트
1,12115,3,9800,"9,800",,,초특가 다이아 패키지 2
1,12116,3,9800,"9,800",,,축복받은 강화주문서 패키지
1,12217,3,120,120,,,스폐셜 패키지 17
1,12218,3,120,120,,,스폐셜 패키지 18
1,12219,3,120,120,,,스폐셜 패키지 19
1,12220,3,480,480,,,스폐셜 패키지 20
1,12221,3,480,480,,,스폐셜 패키지 21
1,12222,3,480,480,,,스폐셜 패키지 22
1,12223,3,960,960,,,승급석 라이트 패키지
1,12224,3,960,960,,,[기간한정] 보스 방어구 강화 라이트 팩
1,12225,3,960,960,,,발렌타인 기념 혈맹 패키지
1,12226,3,960,960,,,엘릭서 스페셜 패키지
1,12227,3,2400,"2,400",,,할로윈 기념 탑승펫 육성 패키지
1,12228,3,2400,"2,400",,,스폐셜 패키지 28
1,12229,3,2400,"2,400",,,스폐셜 패키지 29
1,12230,3,2900,"2,900",,,스폐셜 패키지 30
1,12231,3,2900,"2,900",,,스폐셜 패키지 31
1,12232,3,2900,"2,900",,,스폐셜 패키지 32
1,12233,3,3200,"3,200",,,발렌타인 무기 강화팩
1,12234,3,3200,"3,200",,,[노멀/보스/엘리트] 축복받은 강화주문서 패키지
1,12235,3,3200,"3,200",,,스폐셜 패키지 35
1,12238,3,4800,"4,800",,,할로윈 장신구 육성 패키지
1,12239,3,4800,"4,800",,,[기간한정] 쿠쿠린 패키지
1,12240,3,9800,"9,800",,,할로윈 탑승펫 마법의 빗자루 팩
1,12243,3,9800,"9,800",,,[기간한정] 保釋 패키지
1,12244,3,9800,"9,800",,,[기간한정] 보스 방어구 강화 팩
1,12245,3,960,960,,,프라임 패키지
1,999997,3,4800,"4,800",,,[테스트] 혈맹의 힘 패키지
1,12248,3,960,960,,,[노멀/엘리트/보스] 강화 보조 패키지
1,12249,3,960,960,,,[기간한정] 다이아 240+240
1,12250,3,9800,"9,800",,,[기간한정] 굣상 패키지
1,12251,3,9800,"9,800",,,[기간한정] 콜라보 무기 성장 패키지 1
1,12252,3,9800,"9,800",,,[기간한정] 콜라보 무기 성장 패키지 2
1,12253,3,9800,"9,800",,,[기간한정] 콜라보 무기 성장 패키지 3
1,12254,3,4800,"4,800",,,[기간한정] 보스장비기본 팩
1,12255,3,4800,"4,800",,,콜라보 집혼석 패키지
1,12256,3,4800,"4,800",,,레드다이아 슈퍼팩
1,12257,3,4800,"4,800",,,갈기사자 소환 패키지
1,12258,3,3200,"3,200",,,[기간한정] 루돌프 팩
1,12259,3,3200,"3,200",,,고급 보급품 패키지
1,12260,3,2900,"2,900",,,스페셜 패키지 57
1,12261,3,2400,"2,400",,,스페셜 패키지 58
1,12264,3,3200,"3,200",,,기간한정 탑승펫 장비 패키지
1,12265,3,2400,"2,400",,,기간한정! 탑승펫 육성 패키지
1,12268,3,3200,"3,200",,,[기간한정] 탑승펫 장비 패키지
1,12269,3,2400,"2,400",,,기간한정 탑승펫 육성 패키지
1,12270,3,3200,"3,200",,,[기간한정] 레드다이아 팩
1,12271,3,2900,"2,900",,,스페셜 아데나 패키지
1,12272,3,9800,"9,800",,,장신구 특별소환 패키지
1,12273,3,9800,"9,800",,,스페셜 패키지 60
1,12274,3,9800,"9,800",,,스페셜 패키지 61
1,12275,3,9800,"9,800",,,스페셜 패키지 62
1,12276,3,9800,"9,800",,,스페셜 패키지 63
1,12277,3,4800,"4,800",,,강화보조 패키지2
1,12278,3,4800,"4,800",,,스페셜 패키지 65
1,12279,3,3200,"3,200",,,스페셜 패키지 66
1,12280,3,3200,"3,200",,,[기간한정] 레드다이아 팩
1,12281,3,2900,"2,900",,,스페셜 아데나 패키지
1,12282,3,4800,"4,800",,,[기간한정] 신규탑승펫 쿠쿠린 팩
1,12283,3,120,120,,,스페셜 패키지 67
1,12284,3,960,960,,,스페셜 패키지 68
1,12285,3,960,960,,,스페셜 패키지 69
1,12286,3,3200,"3,200",,,스페셜 패키지 70
1,12287,3,3200,"3,200",,,스페셜 패키지 71
1,12288,3,3200,"3,200",,,스페셜 패키지 72
1,12289,3,4800,"4,800",,,스페셜 패키지 73
1,12290,3,4800,"4,800",,,스페셜 패키지 74
1,12291,3,9800,"9,800",,,스페셜 패키지 75
1,12292,3,9800,"9,800",,,스페셜 패키지 76
1,12293,3,2900,"2,900",,,스페셜 아데나 패키지
1,12294,3,3200,"3,200",,,고급 보급품 패키지
1,12295,3,4800,"4,800",,,고급 연마제 패키지
1,12296,3,960,960,,,연마제 라이트 패키지
