Id,DisplayOrder,MarketId,HighendEffect,TableInfoldList,ConditionFortressGrade,ItemType,ItemId,UnBindType,CostType,CostPropertyType,Cost,ProductValue,RequiredGuildLevel,GradeLimit,PurchaseLimit,PurchaseLimitValue,PurchaseLimitAddValueType,PurchaseLimitAddValueStartLevel,PurchaseLimitAddValue,RewardGuildCoin,IconTexture,PromotionType
1,100,0,0,,8,6,490008,0,3,0,15,1,1,0,2,10,1,0,,0,Icon_Box_Exp_02,6
2,400,0,0,,8,100,910214,0,3,0,16,1,3,0,2,2,1,0,,0,Icon_Gacha_HerbPotion,6
3,500,0,0,,8,100,900012,0,3,0,64,1,5,0,3,3,1,0,,0,Icon_GachaItem_SoulCrystal,6
4,600,0,0,,8,100,490020,0,3,0,64,1,5,0,3,1,1,0,,0,Icon_Box_Rune_02,6
5,200,0,0,,8,6,490009,0,3,0,70,1,1,0,2,1,1,0,,0,Icon_Box_Exp_03,6
6,700,0,0,,8,100,911174,0,3,0,16,1,10,0,2,1,1,0,,0,Icon_Box_EquipLevelMaterial,6
7,800,0,0,,8,100,911005,0,3,0,32,1,13,0,2,2,1,0,,0,Item_Box_SummonStone_01,6
8,900,0,0,,8,100,900010,0,3,0,20,1,15,0,3,3,1,0,,0,Icon_Gacha_EnchantScroll,6
9,1100,0,0,,8,100,900008,0,3,0,64,1,30,0,4,3,1,0,,0,Icon_Shop_Gacha_Equipment_01,6
10,1200,0,0,,8,100,900007,0,3,0,48,1,30,0,4,3,1,0,,0,Icon_Shop_Gacha_Material_01,6
18,300,0,0,,8,100,449999,0,3,0,5,5,1,0,2,6,1,0,,0,UI_Icon_TeleportScroll,6
51,100,1,0,,8,100,900017,0,11,0,120,1,1,0,2,5,1,0,,3,Icon_Shop_Gacha_Material_01,6
52,200,1,0,,8,100,900017,0,11,0,1200,11,1,0,2,5,1,0,,30,Icon_Shop_Gacha_Material_01,6
53,300,1,0,,8,100,900018,0,11,0,120,1,1,0,2,5,1,0,,3,Icon_Shop_Gacha_Equipment_01,6
54,400,1,0,,8,100,900018,0,11,0,1200,11,1,0,2,5,1,0,,30,Icon_Shop_Gacha_Equipment_01,6
61,500,1,0,,8,100,900010,0,11,0,70,1,1,0,2,10,1,0,,2,Icon_Gacha_EnchantScroll,6
62,600,1,0,,8,100,449999,0,11,0,100,5,1,0,2,5,1,0,,2,UI_Icon_TeleportScroll,6
