Id,ManagerGrade,QuestType,GroupType,TaskType,TaskCondition,TaskCount,TaskContentType,NpcAutoMoveID,ContentsLockId,Help,RewardContribution,Reward1Type,Reward1ItemInfold,Reward1Count,Reward2Type,Reward2ItemInfold,Reward2Count,Reward3Type,Reward3ItemInfold,Reward3Count,GuildRewardType1,GuildRewardItemInfold1,GuildRewardCount1,GuildRewardType2,GuildRewardItemInfold2,GuildRewardCount2
1,1,1,6,81,1,50,127,800001,,0,,6,500001,15,6,500002,10,6,500003,10,7,,,7,,
2,2,1,6,81,2,50,127,800002,,0,,6,500001,15,6,440001,50,6,400001,1500,7,,,7,,
3,1,1,6,81,3,75,127,800003,,0,,6,500002,10,6,440001,50,6,400001,1500,7,,,7,,
4,2,1,6,81,4,75,127,800004,,0,,6,500003,10,6,440001,50,6,400001,1500,7,,,7,,
5,1,1,6,81,5,75,127,800005,,0,,6,500003,10,6,440001,50,6,400001,1500,7,,,7,,
6,2,1,6,81,6,75,127,800006,,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
7,1,1,6,81,7,100,127,800007,,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
8,2,1,6,81,8,100,127,800008,,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
9,1,1,6,81,9,100,127,800009,,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
10,2,1,6,81,10,100,127,800010,,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
11,1,1,6,81,11,125,127,800011,,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
12,2,1,6,81,12,125,127,800012,,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
13,1,1,6,81,13,125,127,800013,,0,,6,500001,15,6,500002,10,6,400001,1500,7,,,7,,
14,2,1,6,81,13,200,127,800013,,0,,6,500002,10,6,500003,10,6,400001,1500,7,,,7,,
15,1,1,6,81,14,125,127,800014,,0,,6,500001,15,6,500002,10,6,500003,10,7,,,7,,
16,2,1,6,81,14,200,127,800014,,0,,6,500001,15,6,440001,50,6,400001,1500,7,,,7,,
101,1,1,7,81,200,50,6,801001,23,0,,6,500001,15,6,500002,10,6,500003,10,7,,,7,,
102,2,1,7,81,201,50,6,801002,102,0,,6,500001,15,6,440001,50,6,400001,1500,7,,,7,,
103,1,1,7,81,202,75,6,801003,105,0,,6,500002,10,6,440001,50,6,400001,1500,7,,,7,,
104,2,1,7,81,203,75,6,801004,106,0,,6,500003,10,6,440001,50,6,400001,1500,7,,,7,,
105,1,1,7,81,204,100,6,801005,108,0,,6,500003,10,6,440001,50,6,400001,1500,7,,,7,,
106,2,1,7,81,205,100,6,801006,109,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
107,1,1,7,81,206,125,6,801007,110,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
108,2,1,7,81,206,200,6,801007,110,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
109,1,1,7,81,207,125,6,801008,111,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
110,2,1,7,81,207,200,6,801008,111,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
111,1,1,7,81,208,125,6,801009,127,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
112,2,1,7,81,208,200,6,801009,127,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
201,1,1,8,81,11000,15,7,,4,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
202,3,1,8,81,11000,30,7,,4,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
203,3,1,8,81,13000,2,5,,29,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
204,1,1,8,81,13000,5,5,,29,0,,1,,10000,6,440001,50,6,400001,1500,7,,,7,,
