Id,Param1,ItemList,Set2OptionInfoId,Set3OptionInfoId,Set4OptionInfoId,Set5OptionInfoId
101,N,"210010,220010,230010,240010",2100102,2100103,2100104,
102,HN,"210011,220011,230011,240011",2100112,2100113,2100114,
103,R,"210012,220012,230012,240012",2100122,2100123,2100124,
104,HR,"210013,220013,230013,240013",2100132,2100133,2100134,
105,SR,"210014,220014,230014,240014",2100142,2100143,2100144,
106,UR,"210015,220015,230015,240015",2100152,2100153,2100154,
201,N,"210020,220020,230020,240020",2100202,2100203,2100204,
202,HN,"210021,220021,230021,240021",2100212,2100213,2100214,
203,R,"210022,220022,230022,240022",2100222,2100223,2100224,
204,HR,"210023,220023,230023,240023",2100232,2100233,2100234,
205,SR,"210024,220024,230024,240024",2100242,2100243,2100244,
206,UR,"210025,220025,230025,240025",2100252,2100253,2100254,
301,N,"210030,220030,230030,240030",2100302,2100303,2100304,
302,HN,"210031,220031,230031,240031",2100312,2100313,2100314,
303,R,"210032,220032,230032,240032",2100322,2100323,2100324,
304,HR,"210033,220033,230033,240033",2100332,2100333,2100334,
305,SR,"210034,220034,230034,240034",2100342,2100343,2100344,
306,UR,"210035,220035,230035,240035",2100352,2100353,2100354,
401,N,"210040,220040,230040,240040",2100402,2100403,2100404,
402,HN,"210041,220041,230041,240041",2100412,2100413,2100414,
403,R,"210042,220042,230042,240042",2100422,2100423,2100424,
404,HR,"210043,220043,230043,240043",2100432,2100433,2100434,
405,SR,"210044,220044,230044,240044",2100442,2100443,2100444,
406,UR,"210045,220045,230045,240045",2100452,2100453,2100454,
501,N,"210050,220050,230050,240050",2100502,2100503,2100504,
502,HN,"210051,220051,230051,240051",2100512,2100513,2100514,
503,R,"210052,220052,230052,240052",2100522,2100523,2100524,
504,HR,"210053,220053,230053,240053",2100532,2100533,2100534,
505,SR,"210054,220054,230054,240054",2100542,2100543,2100544,
506,UR,"210055,220055,230055,240055",2100552,2100553,2100554,
601,N,"210060,220060,230060,240060",2100602,2100603,2100604,
602,HN,"210061,220061,230061,240061",2100612,2100613,2100614,
603,R,"210062,220062,230062,240062",2100622,2100623,2100624,
604,HR,"210063,220063,230063,240063",2100632,2100633,2100634,
605,SR,"210064,220064,230064,240064",2100642,2100643,2100644,
606,UR,"210065,220065,230065,240065",2100652,2100653,2100654,
704,HR,"210073,220073,230073,240073",2100732,2100733,2100734,
705,SR,"210074,220074,230074,240074",2100742,2100743,2100744,
706,UR,"210075,220075,230075,240075",2100752,2100753,2100754,
804,HR,"210083,220083,230083,240083",2100832,2100833,2100834,
805,SR,"210084,220084,230084,240084",2100842,2100843,2100844,
806,UR,"210085,220085,230085,240085",2100852,2100853,2100854,
904,HR,"210093,220093,230093,240093",2100932,2100933,2100934,
905,SR,"210094,220094,230094,240094",2100942,2100943,2100944,
906,UR,"210095,220095,230095,240095",2100952,2100953,2100954,
1001,N,"310001,320001,330001",3100010,3100011,3100012,3100013
1002,HN,"310002,320002,330002",3100020,3100021,3100022,3100023
1003,R,"310003,320003,330003",3100030,3100031,3100032,3100033
1004,HR,"310004,320004,330004",3100040,3100041,3100042,3100043
1005,SR,"310005,320005,330005",3100050,3100051,3100052,3100053
1006,UR,"310006,320006,330006",3100060,3100061,3100062,3100063
1101,N,"310011,320011,330011",3100110,3100111,3100112,3100113
1102,HN,"310012,320012,330012",3100120,3100121,3100122,3100123
1103,R,"310013,320013,330013",3100130,3100131,3100132,3100133
1104,HR,"310014,320014,330014",3100140,3100141,3100142,3100143
1105,SR,"310015,320015,330015",3100150,3100151,3100152,3100153
1106,UR,"310016,320016,330016",3100160,3100161,3100162,3100163
1201,N,"310021,320021,330021",3100210,3100211,3100212,3100213
1202,HN,"310022,320022,330022",3100220,3100221,3100222,3100223
1203,R,"310023,320023,330023",3100230,3100231,3100232,3100233
1204,HR,"310024,320024,330024",3100240,3100241,3100242,3100243
1205,SR,"310025,320025,330025",3100250,3100251,3100252,3100253
1206,UR,"310026,320026,330026",3100260,3100261,3100262,3100263
1301,N,"310031,320031,330031",3100310,3100311,3100312,3100313
1302,HN,"310032,320032,330032",3100320,3100321,3100322,3100323
1303,R,"310033,320033,330033",3100330,3100331,3100332,3100333
1304,HR,"310034,320034,330034",3100340,3100341,3100342,3100343
1305,SR,"310035,320035,330035",3100350,3100351,3100352,3100353
1306,UR,"310036,320036,330036",3100360,3100361,3100362,3100363
1401,N,"310041,320041,330041",3100410,3100411,3100412,3100413
1402,HN,"310042,320042,330042",3100420,3100421,3100422,3100423
1403,R,"310043,320043,330043",3100430,3100431,3100432,3100433
1404,HR,"310044,320044,330044",3100440,3100441,3100442,3100443
1405,SR,"310045,320045,330045",3100450,3100451,3100452,3100453
1406,UR,"310046,320046,330046",3100460,3100461,3100462,3100463
1501,N,"310051,320051,330051",3100510,3100511,3100512,3100513
1502,HN,"310052,320052,330052",3100520,3100521,3100522,3100523
1503,R,"310053,320053,330053",3100530,3100531,3100532,3100533
1504,HR,"310054,320054,330054",3100540,3100541,3100542,3100543
1505,SR,"310055,320055,330055",3100550,3100551,3100552,3100553
1506,UR,"310056,320056,330056",3100560,3100561,3100562,3100563
1604,HR,"210103,220103,230103,240103",2101032,2101033,2101034,
1605,SR,"210104,220104,230104,240104",2101042,2101043,2101044,
1606,UR,"210105,220105,230105,240105",2101052,2101053,2101054,
1704,HR,"210113,220113,230113,240113",2101132,2101133,2101134,
1705,SR,"210114,220114,230114,240114",2101142,2101143,2101144,
1706,UR,"210115,220115,230115,240115",2101152,2101153,2101154,
1804,HR,"210123,220123,230123,240123",2101232,2101233,2101234,
1805,SR,"210124,220124,230124,240124",2101242,2101243,2101244,
1806,UR,"210125,220125,230125,240125",2101252,2101253,2101254,
1904,HR,"8110064,8120064,8130064",81100640,81100641,81100642,81100643
1905,SR,"8110065,8120065,8130065",81100650,81100651,81100652,81100653
1906,UR,"8110066,8120066,8130066",81100660,81100661,81100662,81100663
2004,HR,"8110074,8120074,8130074",81100740,81100741,81100742,81100743
2005,SR,"8110075,8120075,8130075",81100750,81100751,81100752,81100753
2006,UR,"8110076,8120076,8130076",81100760,81100761,81100762,81100763
