Level,ItemId,Icon
5,492011,Icon_Box_Dia_04
10,8492102,Icon_Box_Adena_01
15,492002,Icon_Box_Adena_01
20,492012,Icon_Box_Dia_04
25,492033,Icon_Box_Honor_01
26,492003,Icon_Box_Adena_01
27,492003,Icon_Box_Adena_01
28,492003,Icon_Box_Adena_01
29,492022,Icon_Box_Achievement_01
30,910254,Icon_Shop_Gacha_Weapon_01
31,492003,Icon_Box_Adena_01
32,492003,Icon_Box_Adena_01
33,492003,Icon_Box_Adena_01
34,492003,Icon_Box_Adena_01
35,910124,Icon_GachaItem_AccA
36,492003,Icon_Box_Adena_01
37,492003,Icon_Box_Adena_01
38,492003,Icon_Box_Adena_01
39,492003,Icon_Box_Adena_01
40,492031,Icon_Box_Honor_01
41,492003,Icon_Box_Adena_01
42,492003,Icon_Box_Adena_01
43,492003,Icon_Box_Adena_01
44,492003,Icon_Box_Adena_01
45,492021,Icon_Box_Achievement_01
46,492003,Icon_Box_Adena_01
47,492003,Icon_Box_Adena_01
48,492003,Icon_Box_Adena_01
49,492003,Icon_Box_Adena_01
50,492014,Icon_Box_Dia_04
51,492003,Icon_Box_Adena_01
52,492003,Icon_Box_Adena_01
53,492003,Icon_Box_Adena_01
54,492003,Icon_Box_Adena_01
55,492031,Icon_Box_Honor_01
56,492003,Icon_Box_Adena_01
57,492003,Icon_Box_Adena_01
58,492003,Icon_Box_Adena_01
59,492003,Icon_Box_Adena_01
60,492021,Icon_Box_Achievement_01
61,492004,Icon_Box_Adena_01
62,492004,Icon_Box_Adena_01
63,492004,Icon_Box_Adena_01
64,492004,Icon_Box_Adena_01
65,492015,Icon_Box_Dia_04
66,492004,Icon_Box_Adena_01
67,492004,Icon_Box_Adena_01
68,492004,Icon_Box_Adena_01
69,492004,Icon_Box_Adena_01
70,492032,Icon_Box_Honor_01
71,492004,Icon_Box_Adena_01
72,492004,Icon_Box_Adena_01
73,492004,Icon_Box_Adena_01
74,492004,Icon_Box_Adena_01
75,492022,Icon_Box_Achievement_01
76,492004,Icon_Box_Adena_01
77,492004,Icon_Box_Adena_01
78,492004,Icon_Box_Adena_01
79,492004,Icon_Box_Adena_01
80,492016,Icon_Box_Dia_04
81,492005,Icon_Box_Adena_01
82,492005,Icon_Box_Adena_01
83,492005,Icon_Box_Adena_01
84,492005,Icon_Box_Adena_01
85,492032,Icon_Box_Honor_01
86,492005,Icon_Box_Adena_01
87,492005,Icon_Box_Adena_01
88,492005,Icon_Box_Adena_01
89,492005,Icon_Box_Adena_01
90,492022,Icon_Box_Achievement_01
91,492005,Icon_Box_Adena_01
92,492005,Icon_Box_Adena_01
93,492005,Icon_Box_Adena_01
94,492005,Icon_Box_Adena_01
95,492017,Icon_Box_Dia_04
96,492005,Icon_Box_Adena_01
97,492005,Icon_Box_Adena_01
98,492005,Icon_Box_Adena_01
99,492005,Icon_Box_Adena_01
100,492033,Icon_Box_Honor_01
101,492006,Icon_Box_Adena_01
102,492006,Icon_Box_Adena_01
103,492006,Icon_Box_Adena_01
104,492006,Icon_Box_Adena_01
105,492023,Icon_Box_Achievement_01
106,492006,Icon_Box_Adena_01
107,492006,Icon_Box_Adena_01
108,492006,Icon_Box_Adena_01
109,492006,Icon_Box_Adena_01
110,492018,Icon_Box_Dia_04
111,492006,Icon_Box_Adena_01
112,492006,Icon_Box_Adena_01
