Grade,OccupationPeriod,Day,RewardType,RewardItemInfo,RewardCount,UnBindType
1,1,1,6,8100046,1,0
1,1,2,6,8100046,1,0
1,1,3,6,8100046,1,0
1,1,4,6,8100046,1,0
1,1,5,6,8100046,1,0
1,1,6,6,8100046,1,0
1,1,7,6,8100046,1,0
2,1,1,6,8100047,1,0
2,1,2,6,8100047,1,0
2,1,3,6,8100047,1,0
2,1,4,6,8100047,1,0
2,1,5,6,8100047,1,0
2,1,6,6,8100047,1,0
2,1,7,6,8100047,1,0
3,1,1,6,8100048,1,0
3,1,2,6,8100048,1,0
3,1,3,6,8100048,1,0
3,1,4,6,8100048,1,0
3,1,5,6,8100048,1,0
3,1,6,6,8100048,1,0
3,1,7,6,8100048,1,0
4,1,1,6,8100049,1,0
4,1,2,6,8100049,1,0
4,1,3,6,8100049,1,0
4,1,4,6,8100049,1,0
4,1,5,6,8100049,1,0
4,1,6,6,8100049,1,0
4,1,7,6,8100049,1,0
