Id,ShopServerType,ShopType,TabType,HighendEffect,LimitMinLevel,LimitMaxLevel,MasteryMinLevel,MasteryMaxLevel,NetmarbleSItemId,Display,DisplayOrder,DisplayType,DisplayTypeValue,IsGotcha,CostType,CostValue,PurchaseFree,PurchaseFreeTime,PurchaseLimit,PurchaseLimitValue,LimitPeriodStart,LimitPeriodEnd,LeagueLimit,SupportVersion,IconTexture,IconTexture2,PromotionType,RecommendPackage,FlatRatePeriod,RetentionPeriod,HelpKeyword
1001,All,1,6,,,,,,,0,100,12,,0,1,100,0,,0,,,,,1.0.1,Icon_Shop_Adena_01,,2,0,,,
1002,All,1,6,,,,,,,0,200,12,,0,1,200,0,,0,,,,,,Icon_Shop_Adena_02,,2,0,,,
1003,All,1,6,,,,,,,0,300,12,,0,1,400,0,,0,,,,,,Icon_Shop_Adena_03,,2,0,,,
1004,All,1,6,,,,,,,0,400,12,,0,1,800,0,,0,,,,,,Icon_Shop_Adena_04,,2,0,,,
1005,All,1,6,1,,,,,,0,500,12,,0,1,1600,0,,0,,,,,,Icon_Shop_Adena_05,,2,0,,,
1006,All,1,6,1,,,,,,0,600,12,,0,1,3200,0,,0,,,,,,Icon_Shop_Adena_06,,2,0,,,
2001,All,1,5,1,,,,,revolution_jp_dia_1a,1,100,12,,0,4,120,0,,4,1,,,,,Icon_Shop_Dia_01,,4,0,,,
2002,All,1,5,1,,,,,revolution_jp_dia_2a,1,200,12,,0,4,480,0,,4,1,,,,,Icon_Shop_Dia_02,,4,0,,,
2003,All,1,5,1,,,,,revolution_jp_dia_3a,1,300,12,,0,4,960,0,,4,1,,,,,Icon_Shop_Dia_03,,4,0,,,
2004,All,1,5,,,,,,revolution_jp_dia_1,0,400,12,,0,4,120,0,,0,,,,,,Icon_Shop_Dia_01,,2,0,,,
2005,All,1,5,,,,,,revolution_jp_dia_2,0,500,12,,0,4,480,0,,0,,,,,,Icon_Shop_Dia_02,,2,0,,,
2006,All,1,5,,,,,,revolution_jp_dia_3,0,600,12,,0,4,960,0,,0,,,,,,Icon_Shop_Dia_03,,2,0,,,
