GroupId,SubId,DungeonInfoId,NpcInfoId,RecommendLv,RecommendPower,RecommendPeople,MainReward1,MainReward2,MainReward3
100,100001,20001,110001,13,9500,1,470011,,
100,100002,20002,110002,13,9500,2,470012,,
100,100003,20003,110003,13,9500,2,470013,,
100,100004,20004,110004,13,9500,1,470014,,
100,100005,20005,110005,13,9500,1,470015,,
100,100006,20006,110006,20,15600,1,470021,,
100,100007,20007,110007,18,13300,1,470022,,
100,100008,20008,110008,20,15600,1,470023,,
100,100009,20009,110009,20,15600,2,470024,,
100,100010,20010,110010,20,15600,2,472001,,
100,100011,20011,110011,20,15600,2,472002,,
100,100012,20012,110012,25,24200,2,472003,,
100,100013,20013,110013,27,29100,3,472011,,
100,100014,20014,110014,29,34200,3,472012,,
100,100015,20015,110015,31,43100,3,472013,,
100,100016,20016,110016,35,62100,3,472014,,
101,101001,20017,110101,21,16900,1,470031,,
101,101002,20018,110102,21,16900,1,470032,,
101,101003,20019,110103,22,18900,1,470033,,
101,101004,20020,110104,24,22300,1,470034,,
101,101005,20021,110105,25,24200,2,470035,,
101,101006,20022,110106,26,26200,2,470036,,
101,101007,20023,110107,31,43100,2,470041,,
101,101008,20024,110108,32,50800,2,470042,,
101,101009,20025,110109,30,37000,2,470043,,
101,101010,20026,110110,36,67900,1,470044,,
101,101011,20027,110111,36,67900,2,470045,,
101,101012,20028,110112,38,73300,1,470046,,
101,101013,20029,110113,38,73300,1,470051,,
101,101014,20030,110114,41,83000,2,470052,,
101,101015,20031,110115,44,93900,2,470053,,
101,101016,20032,110116,46,99900,1,470054,,
101,101017,20033,110117,48,105600,1,470055,,
101,101018,20034,110118,48,105600,1,470056,,
101,101019,20035,110119,50,112900,2,470061,,
101,101020,20036,110120,52,119100,2,470062,,
101,101021,20037,110121,52,119100,2,470063,,
101,101022,20038,110122,54,124600,2,470064,,
101,101023,20039,110123,54,124600,2,470065,,
101,101024,20040,110124,58,134600,2,470066,,
101,101025,20041,110125,58,134600,2,470067,,
101,101026,20042,110126,40,80200,3,472021,,
101,101027,20043,110127,54,124600,3,472022,,
101,101028,20044,110128,78,184000,3,472031,,
101,101029,20045,110129,84,197100,3,472032,,
102,102001,20046,110201,62,146000,1,470071,,
102,102002,20047,110202,62,146000,1,470072,,
102,102003,20048,110203,70,165000,1,470073,,
102,102004,20049,110204,62,146000,2,470074,,
102,102005,20050,110205,66,155600,2,470075,,
102,102006,20051,110206,62,146000,2,470076,,
102,102007,20052,110207,66,155600,2,470077,,
102,102008,20053,110208,78,184000,1,470081,,
102,102009,20054,110209,78,184000,1,470082,,
102,102010,20055,110210,84,197100,1,470083,,
102,102011,20056,110211,84,197100,1,470084,,
102,102012,20057,110212,90,208700,2,470085,,
102,102013,20058,110213,90,208700,1,470091,,
102,102014,20059,110214,90,208700,2,470092,,
102,102015,20060,110215,94,217700,2,470093,,
102,102016,20061,110216,90,208700,2,470094,,
102,102017,20062,110217,100,232300,1,470095,,
102,102018,20063,110218,104,241900,1,470101,,
102,102019,20064,110219,104,241900,1,470102,,
