Id,Type,Priority,FormatKey1,FormatKey2,FormatKey3,FormatKey4
1,1,1,BROADCAST_CHARACTER_LEVELUP,,BROADCAST_CHARACTER_LEVELUP_GUILD,
2,2,1,BROADCAST_INFINITYFLOOR_CLEAR,,BROADCAST_INFINITYFLOOR_CLEAR_GUILD,
3,9,1,BROADCAST_ACQUIRE_ITEMGRADE,BROADCAST_ACQUIRE_ITEMGRADE_MONSTER,BROADCAST_ACQUIRE_ITEMGRADE_GUILD,BROADCAST_ACQUIRE_ITEMGRADE_MONSTER_GUILD
4,10,1,BROADCAST_ACQUIRE_ITEMGRADE,BROADCAST_ACQUIRE_ITEMGRADE_MONSTER,BROADCAST_ACQUIRE_ITEMGRADE_GUILD,BROADCAST_ACQUIRE_ITEMGRADE_MONSTER_GUILD
5,11,1,BROADCAST_ITEM_ENCHANT_SUCCESS,,BROADCAST_ITEM_ENCHANT_SUCCESS_GUILD,
6,12,1,BROADCAST_ITEM_ENCHANT_FAIL,,BROADCAST_ITEM_ENCHANT_FAIL_GUILD,
7,13,1,BROADCAST_ITEM_LIMITBREAK_COUNT,,BROADCAST_ITEM_LIMITBREAK_COUNT_GUILD,
8,20,1,BROADCAST_ACHIEVEMENT_LEVEL,,BROADCAST_ACHIEVEMENT_LEVEL_GUILD,
9,21,1,BROADCAST_PVP_HONOR_RANK,,BROADCAST_PVP_HONOR_RANK_GUILD,
10,22,1,BROADCAST_PVP_WIN_RANK,,BROADCAST_PVP_WIN_RANK_GUILD,
11,23,1,BROADCAST_SHOPREWARD_DAILYCHARGE,,BROADCAST_SHOPREWARD_DAILYCHARGE_GUILD,
12,24,1,BROADCAST_SHOPREWARD_DAILYCONSUME,,BROADCAST_SHOPREWARD_DAILYCONSUME_GUILD,
13,25,1,BROADCAST_CLASS_TRANSFER,,BROADCAST_CLASS_TRANSFER_GUILD,
14,3,1,BROADCAST_FIRST_GUILD_LEVELUP,,,
15,30,5,BROADCAST_CASTLESIEGE_ATTACK_WIN,,,
16,31,5,BROADCAST_CASTLESIEGE_DEFENCE_WIN,,,
