Id,TabType,TemplateName,TaskType,TaskCondition,GradeGroupId,MoveContentType,IconTexture,CategoryType,Keyword
101001,2,,1,10000,1,127,Texture/UI_Btn_Character,-1,
201001,0,,2,1098,1,65,Texture/UI_Btn_BattleField,0,Inventory
201002,0,,2,1260,1,65,Texture/UI_Btn_BattleField,0,Inventory
201003,0,,2,1488,1,65,Texture/UI_Btn_BattleField,0,Inventory
201004,0,,2,1746,1,65,Texture/UI_Btn_BattleField,0,Inventory
201005,0,,2,2072,1,65,Texture/UI_Btn_BattleField,0,Inventory
201006,0,,2,2454,1,65,Texture/UI_Btn_BattleField,0,Inventory
201007,0,,2,2916,1,65,Texture/UI_Btn_BattleField,0,Inventory
201008,0,,2,3426,1,65,Texture/UI_Btn_BattleField,0,Inventory
201009,0,,2,4028,1,65,Texture/UI_Btn_BattleField,0,Inventory
201010,0,,2,4700,1,65,Texture/UI_Btn_BattleField,0,Inventory
201011,0,,2,5450,1,65,Texture/UI_Btn_BattleField,0,Inventory
201012,0,,2,6296,1,65,Texture/UI_Btn_BattleField,0,Inventory
201013,0,,2,7242,1,65,Texture/UI_Btn_BattleField,0,Inventory
201014,0,,2,8286,1,65,Texture/UI_Btn_BattleField,0,Inventory
201015,0,,2,8486,1,65,Texture/UI_Btn_BattleField,0,Inventory
201016,0,,2,8656,1,65,Texture/UI_Btn_BattleField,0,Inventory
201017,0,,2,9056,1,65,Texture/UI_Btn_BattleField,0,Inventory
201018,0,,2,9456,1,65,Texture/UI_Btn_BattleField,0,Inventory
201019,0,,2,10336,1,65,Texture/UI_Btn_BattleField,0,Inventory
201020,0,,2,11606,1,65,Texture/UI_Btn_BattleField,0,Inventory
201021,0,,2,12988,1,65,Texture/UI_Btn_BattleField,0,Inventory
201022,0,,2,14496,1,65,Texture/UI_Btn_BattleField,0,Inventory
201023,0,,2,16150,1,65,Texture/UI_Btn_BattleField,0,Inventory
201024,0,,2,17936,1,65,Texture/UI_Btn_BattleField,0,Inventory
201025,0,,2,19872,1,65,Texture/UI_Btn_BattleField,0,Inventory
201026,0,,2,21960,1,65,Texture/UI_Btn_BattleField,0,Inventory
201027,0,,2,24224,1,65,Texture/UI_Btn_BattleField,0,Inventory
201028,0,,2,26660,1,65,Texture/UI_Btn_BattleField,0,Inventory
201029,0,,2,29276,1,65,Texture/UI_Btn_BattleField,0,Inventory
201030,0,,2,32090,1,65,Texture/UI_Btn_BattleField,0,Inventory
201031,0,,2,35112,1,65,Texture/UI_Btn_BattleField,0,Inventory
201032,0,,2,38342,1,65,Texture/UI_Btn_BattleField,0,Inventory
201033,0,,2,41792,1,65,Texture/UI_Btn_BattleField,0,Inventory
201034,0,,2,45472,1,65,Texture/UI_Btn_BattleField,0,Inventory
201035,0,,2,49408,1,65,Texture/UI_Btn_BattleField,0,Inventory
201036,0,,2,53590,1,65,Texture/UI_Btn_BattleField,0,Inventory
201037,0,,2,58036,1,65,Texture/UI_Btn_BattleField,0,Inventory
201038,0,,2,62760,1,65,Texture/UI_Btn_BattleField,0,Inventory
201039,0,,2,67776,1,65,Texture/UI_Btn_BattleField,0,Inventory
201040,0,,2,73092,1,65,Texture/UI_Btn_BattleField,0,Inventory
201041,0,,2,78694,1,65,Texture/UI_Btn_BattleField,0,Inventory
201042,0,,2,84016,1,65,Texture/UI_Btn_BattleField,0,Inventory
201043,0,,2,89606,1,65,Texture/UI_Btn_BattleField,0,Inventory
201044,0,,2,95476,1,65,Texture/UI_Btn_BattleField,0,Inventory
201045,0,,2,101614,1,65,Texture/UI_Btn_BattleField,0,Inventory
201046,0,,2,108038,1,65,Texture/UI_Btn_BattleField,0,Inventory
201047,0,,2,114742,1,65,Texture/UI_Btn_BattleField,0,Inventory
201048,0,,2,121756,1,65,Texture/UI_Btn_BattleField,0,Inventory
201049,0,,2,129062,1,65,Texture/UI_Btn_BattleField,0,Inventory
201050,0,,2,136692,1,65,Texture/UI_Btn_BattleField,0,Inventory
201051,0,,2,144644,1,65,Texture/UI_Btn_BattleField,0,Inventory
201052,0,,2,152932,1,65,Texture/UI_Btn_BattleField,0,Inventory
201053,0,,2,161552,1,65,Texture/UI_Btn_BattleField,0,Inventory
201054,0,,2,170516,1,65,Texture/UI_Btn_BattleField,0,Inventory
201055,0,,2,179840,1,65,Texture/UI_Btn_BattleField,0,Inventory
201056,0,,2,189520,1,65,Texture/UI_Btn_BattleField,0,Inventory
201057,0,,2,199586,1,65,Texture/UI_Btn_BattleField,0,Inventory
201058,0,,2,210020,1,65,Texture/UI_Btn_BattleField,0,Inventory
201059,0,,2,220844,1,65,Texture/UI_Btn_BattleField,0,Inventory
201060,0,,2,232058,1,65,Texture/UI_Btn_BattleField,0,Inventory
201061,0,,2,243686,1,65,Texture/UI_Btn_BattleField,0,Inventory
201062,0,,2,255722,1,65,Texture/UI_Btn_BattleField,0,Inventory
201063,0,,2,268184,1,65,Texture/UI_Btn_BattleField,0,Inventory
201064,0,,2,281074,1,65,Texture/UI_Btn_BattleField,0,Inventory
201065,0,,2,294406,1,65,Texture/UI_Btn_BattleField,0,Inventory
201066,0,,2,308184,1,65,Texture/UI_Btn_BattleField,0,Inventory
201067,0,,2,322414,1,65,Texture/UI_Btn_BattleField,0,Inventory
201068,0,,2,337116,1,65,Texture/UI_Btn_BattleField,0,Inventory
201069,0,,2,352298,1,65,Texture/UI_Btn_BattleField,0,Inventory
201070,0,,2,367952,1,65,Texture/UI_Btn_BattleField,0,Inventory
201071,0,,2,384106,1,65,Texture/UI_Btn_BattleField,0,Inventory
201072,0,,2,400748,1,65,Texture/UI_Btn_BattleField,0,Inventory
201073,0,,2,417920,1,65,Texture/UI_Btn_BattleField,0,Inventory
201074,0,,2,435598,1,65,Texture/UI_Btn_BattleField,0,Inventory
201075,0,,2,453804,1,65,Texture/UI_Btn_BattleField,0,Inventory
201076,0,,2,472558,1,65,Texture/UI_Btn_BattleField,0,Inventory
201077,0,,2,491844,1,65,Texture/UI_Btn_BattleField,0,Inventory
201078,0,,2,511700,1,65,Texture/UI_Btn_BattleField,0,Inventory
201079,0,,2,532102,1,65,Texture/UI_Btn_BattleField,0,Inventory
201080,0,,2,553100,1,65,Texture/UI_Btn_BattleField,0,Inventory
201081,0,,2,574664,1,65,Texture/UI_Btn_BattleField,0,Inventory
201082,0,,2,596830,1,65,Texture/UI_Btn_BattleField,0,Inventory
201083,0,,2,619604,1,65,Texture/UI_Btn_BattleField,0,Inventory
201084,0,,2,642974,1,65,Texture/UI_Btn_BattleField,0,Inventory
201085,0,,2,666980,1,65,Texture/UI_Btn_BattleField,0,Inventory
201086,0,,2,691604,1,65,Texture/UI_Btn_BattleField,0,Inventory
201087,0,,2,716872,1,65,Texture/UI_Btn_BattleField,0,Inventory
201088,0,,2,742790,1,65,Texture/UI_Btn_BattleField,0,Inventory
201089,0,,2,769376,1,65,Texture/UI_Btn_BattleField,0,Inventory
201090,0,,2,796620,1,65,Texture/UI_Btn_BattleField,0,Inventory
201091,0,,2,824540,1,65,Texture/UI_Btn_BattleField,0,Inventory
201092,0,,2,853162,1,65,Texture/UI_Btn_BattleField,0,Inventory
201093,0,,2,882472,1,65,Texture/UI_Btn_BattleField,0,Inventory
201094,0,,2,912494,1,65,Texture/UI_Btn_BattleField,0,Inventory
201095,0,,2,943232,1,65,Texture/UI_Btn_BattleField,0,Inventory
201096,0,,2,974696,1,65,Texture/UI_Btn_BattleField,0,Inventory
201097,0,,2,1006906,1,65,Texture/UI_Btn_BattleField,0,Inventory
201098,0,,2,1039856,1,65,Texture/UI_Btn_BattleField,0,Inventory
201099,0,,2,1073558,1,65,Texture/UI_Btn_BattleField,0,Inventory
201100,0,,2,1108028,1,65,Texture/UI_Btn_BattleField,0,Inventory
203000,0,,4,8,1,60,Texture/UI_Btn_EquipmentEnhancement,0,EquipmentEnchant
203001,0,,4,10,1,60,Texture/UI_Btn_EquipmentEnhancement,0,EquipmentEnchant
203002,0,,4,12,1,60,Texture/UI_Btn_EquipmentEnhancement,0,EquipmentEnchant
203003,0,,4,14,1,60,Texture/UI_Btn_EquipmentEnhancement,0,EquipmentEnchant
203004,0,,4,16,1,60,Texture/UI_Btn_EquipmentEnhancement,0,EquipmentEnchant
