Id,MarketId
50105,CgkI3tGrtrQFEAIQBQ
51201,CgkI3tGrtrQFEAIQAw
21401,CgkI3tGrtrQFEAIQBg
50301,CgkI3tGrtrQFEAIQBw
21101,CgkI3tGrtrQFEAIQCA
41701,CgkI3tGrtrQFEAIQCQ
21201,CgkI3tGrtrQFEAIQCg
20701,CgkI3tGrtrQFEAIQCw
11401,CgkI3tGrtrQFEAIQDA
12004,CgkI3tGrtrQFEAIQDQ
10801,CgkI3tGrtrQFEAIQDg
11001,CgkI3tGrtrQFEAIQDw
41303,CgkI3tGrtrQFEAIQEA
30701,CgkI3tGrtrQFEAIQEQ
21601,CgkI3tGrtrQFEAIQEg
11501,CgkI3tGrtrQFEAIQEw
20101,CgkI3tGrtrQFEAIQFA
21501,CgkI3tGrtrQFEAIQFQ
10701,CgkI3tGrtrQFEAIQFg
50801,CgkI3tGrtrQFEAIQFw
