Id,GroupId,ItemId,LimitAchievementId,DiscountPeriodStart,DiscountPeriodEnd,LimitQuantityCount,DiscountType,DiscountValue,FixHair
3000001,2000002,2000002,,,,,3,,0
3000002,2000003,2000003,,,,,3,,0
3000003,2000004,2000004,,,,,1,20,0
3000004,2000005,2000005,,,,,2,30,1
3000005,2000006,2000006,,,,,3,,0
3000006,2000007,2000007,,,,,3,,1
3000007,2000008,2000008,,,,,3,,1
3000008,2000009,2000009,,,,,3,,0
3000009,81000087,81000087,,,,,3,,1
3000010,81000091,81000091,,,,,3,,0
3000011,81000129,81000129,,,,,3,,0
