Level,ContentsType,RewardType1,RewardCount1,RewardCount2
1,0,5,360,510
1,0,1,350,500
2,0,5,460,660
2,0,1,350,500
3,0,5,520,740
3,0,1,350,500
4,0,5,570,810
4,0,1,350,500
5,0,5,720,1030
5,0,1,350,500
6,0,5,880,1250
6,0,1,350,500
7,0,5,1180,1690
7,0,1,350,500
8,0,5,1650,2350
8,0,1,350,500
9,0,5,2210,3160
9,0,1,350,500
10,0,5,3080,4400
10,0,1,350,500
11,0,5,4410,6300
11,0,1,350,500
12,0,5,5530,7900
12,0,1,350,500
13,0,5,1330,1900
13,0,1,350,500
14,0,5,1470,2100
14,0,1,350,500
15,0,5,1820,2600
15,0,1,350,500
16,0,5,2240,3200
16,0,1,350,500
17,0,5,2660,3800
17,0,1,350,500
18,0,5,3220,4600
18,0,1,350,500
19,0,5,3780,5400
19,0,1,350,500
20,0,5,4410,6300
20,0,1,350,500
21,0,5,4900,7000
21,0,1,350,500
22,0,5,5530,7900
22,0,1,350,500
23,0,5,6020,8600
23,0,1,350,500
24,0,5,6510,9300
24,0,1,350,500
25,0,5,6860,9800
25,0,1,350,500
26,0,5,6930,9900
26,0,1,350,500
27,0,5,6860,9800
27,0,1,350,500
28,0,5,6510,9300
28,0,1,350,500
29,0,5,7630,10900
29,0,1,350,500
30,0,5,8890,12700
30,0,1,350,500
31,0,5,9170,13100
31,0,1,350,500
32,0,5,9800,14000
32,0,1,350,500
33,0,5,10150,14500
33,0,1,350,500
34,0,5,10360,14800
34,0,1,350,500
35,0,5,10360,14800
35,0,1,530,750
36,0,5,10990,15700
36,0,1,530,750
37,0,5,11480,16400
37,0,1,530,750
38,0,5,11550,16500
38,0,1,530,750
39,0,5,11970,17100
39,0,1,530,750
40,0,5,12320,17600
40,0,1,530,750
41,0,5,12600,18000
41,0,1,530,750
42,0,5,12810,18300
42,0,1,530,750
43,0,5,13090,18700
43,0,1,530,750
44,0,5,13090,18700
44,0,1,530,750
45,0,5,13230,18900
45,0,1,530,750
46,0,5,13370,19100
46,0,1,530,750
47,0,5,13370,19100
47,0,1,530,750
48,0,5,13440,19200
48,0,1,530,750
49,0,5,13510,19300
49,0,1,530,750
50,0,5,13580,19400
50,0,1,530,750
51,0,5,13580,19400
51,0,1,530,750
52,0,5,13650,19500
52,0,1,530,750
53,0,5,13650,19500
53,0,1,530,750
54,0,5,13650,19500
54,0,1,530,750
55,0,5,13650,19500
55,0,1,530,750
56,0,5,13650,19500
56,0,1,530,750
57,0,5,13650,19500
57,0,1,530,750
58,0,5,13650,19500
58,0,1,530,750
59,0,5,13650,19500
59,0,1,530,750
60,0,5,13650,19500
60,0,1,530,750
61,0,5,13650,19500
61,0,1,530,750
62,0,5,13650,19500
62,0,1,530,750
63,0,5,13650,19500
63,0,1,530,750
64,0,5,13650,19500
64,0,1,530,750
65,0,5,13650,19500
65,0,1,530,750
66,0,5,13650,19500
66,0,1,530,750
67,0,5,13650,19500
67,0,1,530,750
68,0,5,13650,19500
68,0,1,530,750
69,0,5,13720,19600
69,0,1,530,750
70,0,5,13720,19600
70,0,1,530,750
71,0,5,13720,19600
71,0,1,530,750
72,0,5,13720,19600
72,0,1,530,750
73,0,5,13720,19600
73,0,1,530,750
74,0,5,13790,19700
74,0,1,530,750
75,0,5,13790,19700
75,0,1,530,750
76,0,5,13860,19800
76,0,1,530,750
77,0,5,13860,19800
77,0,1,530,750
78,0,5,13930,19900
78,0,1,530,750
79,0,5,14000,20000
79,0,1,530,750
80,0,5,14070,20100
80,0,1,530,750
81,0,5,14140,20200
81,0,1,530,750
82,0,5,14210,20300
82,0,1,530,750
83,0,5,14210,20300
83,0,1,530,750
84,0,5,14210,20300
84,0,1,530,750
85,0,5,14280,20400
85,0,1,530,750
86,0,5,14350,20500
86,0,1,530,750
87,0,5,14420,20600
87,0,1,530,750
88,0,5,14560,20800
88,0,1,530,750
89,0,5,14700,21000
89,0,1,530,750
90,0,5,14840,21200
90,0,1,530,750
91,0,5,15050,21500
91,0,1,530,750
92,0,5,15260,21800
92,0,1,530,750
93,0,5,15470,22100
93,0,1,530,750
94,0,5,15750,22500
94,0,1,700,1000
95,0,5,16030,22900
95,0,1,700,1000
96,0,5,16380,23400
96,0,1,700,1000
97,0,5,16730,23900
97,0,1,700,1000
98,0,5,17150,24500
98,0,1,700,1000
99,0,5,17570,25100
99,0,1,700,1000
100,0,5,18060,25800
100,0,1,700,1000
101,0,5,18550,26500
101,0,1,700,1000
102,0,5,19110,27300
102,0,1,700,1000
103,0,5,19670,28100
103,0,1,700,1000
104,0,5,20300,29000
104,0,1,700,1000
105,0,5,21000,30000
105,0,1,700,1000
106,0,5,21700,31000
106,0,1,700,1000
107,0,5,22470,32100
107,0,1,700,1000
108,0,5,23310,33300
108,0,1,700,1000
109,0,5,24150,34500
109,0,1,700,1000
110,0,5,24990,35700
110,0,1,700,1000
111,0,5,25760,36800
111,0,1,700,1000
112,0,5,26460,37800
112,0,1,700,1000
113,0,5,27020,38600
113,0,1,700,1000
114,0,5,27580,39400
114,0,1,700,1000
115,0,5,28070,40100
115,0,1,700,1000
116,0,5,28420,40600
116,0,1,700,1000
117,0,5,28770,41100
117,0,1,700,1000
118,0,5,29050,41500
118,0,1,700,1000
119,0,5,29330,41900
119,0,1,700,1000
120,0,5,29540,42200
120,0,1,700,1000
121,0,5,29680,42400
121,0,1,700,1000
122,0,5,29750,42500
122,0,1,700,1000
123,0,5,29820,42600
123,0,1,700,1000
124,0,5,29820,42600
124,0,1,700,1000
125,0,5,30170,43100
125,0,1,700,1000
126,0,5,30380,43400
126,0,1,700,1000
127,0,5,30660,43800
127,0,1,700,1000
128,0,5,30870,44100
128,0,1,700,1000
129,0,5,31080,44400
129,0,1,700,1000
130,0,5,31290,44700
130,0,1,700,1000
131,0,5,31430,44900
131,0,1,700,1000
132,0,5,31570,45100
132,0,1,700,1000
133,0,5,31710,45300
133,0,1,700,1000
134,0,5,31780,45400
134,0,1,700,1000
135,0,5,31920,45600
