ID,DungeonID,BossNo,Portrait,RaceIcon,SkillGroupID,PosX,PosY,Type,RaceType
1,100001,1,Icon_MonsterCore_Boranta,Icon_Ability_MagicalCreature,30011,-4300,11290,6,14
2,100001,2,Icon_MonsterCore_Ramog,Icon_Ability_MagicalCreature,30012,2520,1550,6,14
3,100002,1,Icon_MonsterCore_Boranta,Icon_Ability_MagicalCreature,30021,-4300,11290,6,14
4,100002,2,Icon_MonsterCore_Ramog,Icon_Ability_MagicalCreature,30022,2520,1550,6,14
5,100003,1,Icon_MonsterCore_Boranta,Icon_Ability_MagicalCreature,30031,-4300,11290,6,14
6,100003,2,Icon_MonsterCore_Ramog,Icon_Ability_MagicalCreature,30032,2520,1550,6,14
7,100004,1,Icon_MonsterCore_Boranta,Icon_Ability_MagicalCreature,30041,-4300,11290,6,14
8,100004,2,Icon_MonsterCore_Ramog,Icon_Ability_MagicalCreature,30042,2520,1550,6,14
9,100101,1,Icon_MonsterCore_Leonard,Icon_Ability_MagicalCreature,30111,19633,-4839,6,14
10,100101,2,Icon_MonsterCore_Trisha,Icon_Ability_MagicalCreature,30112,27506,-11881,6,14
11,100102,1,Icon_MonsterCore_Leonard,Icon_Ability_MagicalCreature,30121,19633,-4839,6,14
12,100102,2,Icon_MonsterCore_Trisha,Icon_Ability_MagicalCreature,30122,27506,-11881,6,14
13,100103,1,Icon_MonsterCore_Leonard,Icon_Ability_MagicalCreature,30131,19633,-4839,6,14
14,100103,2,Icon_MonsterCore_Trisha,Icon_Ability_MagicalCreature,30132,27506,-11881,6,14
15,100104,1,Icon_MonsterCore_Leonard,Icon_Ability_MagicalCreature,30141,19633,-4839,6,14
16,100104,2,Icon_MonsterCore_Trisha,Icon_Ability_MagicalCreature,30142,27506,-11881,6,14
17,100200,1,Icon_MonsterCore_Dike,Icon_Ability_MagicalCreature,30211,9316,-1440,4,1
18,100200,2,Icon_MonsterCore_Hagios,Icon_Ability_MagicalCreature,30212,30457,4562,4,1
19,100201,1,Icon_MonsterCore_Dike,Icon_Ability_MagicalCreature,30221,9316,-1440,4,1
20,100201,2,Icon_MonsterCore_Hagios,Icon_Ability_MagicalCreature,30222,30457,4562,4,1
21,100202,1,Icon_MonsterCore_Dike,Icon_Ability_MagicalCreature,30231,9316,-1440,4,1
22,100202,2,Icon_MonsterCore_Hagios,Icon_Ability_MagicalCreature,30232,30457,4562,4,1
23,100203,1,Icon_MonsterCore_Dike,Icon_Ability_MagicalCreature,30241,9316,-1440,4,1
24,100203,2,Icon_MonsterCore_Hagios,Icon_Ability_MagicalCreature,30242,30457,4562,4,1
25,100203,1,Icon_MonsterCore_Dike,Icon_Ability_MagicalCreature,30241,9316,-1440,4,1
26,100203,2,Icon_MonsterCore_Hagios,Icon_Ability_MagicalCreature,30242,30457,4562,4,1
27,100105,1,Icon_MonsterCore_Leonard,Icon_Ability_MagicalCreature,30151,19633,-4839,4,1
28,100105,2,Icon_MonsterCore_Trisha,Icon_Ability_MagicalCreature,30152,27506,-11881,4,1
29,150001,1,Icon_MonsterCore_MonsterStrike_Lucifer,Icon_Ability_MagicalCreature,50011,-6780,1160,4,1
30,150001,2,Icon_MonsterCore_MonsterStrike_Miroku,Icon_Ability_MagicalCreature,50012,8240,-4140,4,1
31,150002,1,Icon_MonsterCore_MonsterStrike_Lucifer,Icon_Ability_MagicalCreature,50021,-6780,1160,4,1
32,150002,2,Icon_MonsterCore_MonsterStrike_Miroku,Icon_Ability_MagicalCreature,50022,8240,-4140,4,1
33,150003,1,Icon_MonsterCore_MonsterStrike_Lucifer,Icon_Ability_MagicalCreature,50031,-6780,1160,4,1
34,150003,2,Icon_MonsterCore_MonsterStrike_Miroku,Icon_Ability_MagicalCreature,50032,8240,-4140,4,1
35,150004,1,Icon_MonsterCore_MonsterStrike_Lucifer,Icon_Ability_MagicalCreature,50041,-6780,1160,4,1
36,150004,2,Icon_MonsterCore_MonsterStrike_Miroku,Icon_Ability_MagicalCreature,50042,8240,-4140,4,1
37,150005,1,Icon_MonsterCore_MonsterStrike_Lucifer,Icon_Ability_MagicalCreature,50051,-6780,1160,4,1
38,150005,2,Icon_MonsterCore_MonsterStrike_Miroku,Icon_Ability_MagicalCreature,50052,8240,-4140,4,1
