Id,Group,WorldId,RewardType,EffectType,RewardQuantity,RewardIndex,PromotePoint,RewardProgress,RewardIcon,TotalLevel
10101,1,1,6,1,5,1001100,10,20,Icon_Asset_SkillPoint_01,50
10102,1,1,6,1,5,1001100,20,40,Icon_SoulShot_01,50
10103,1,1,6,1,5,1001100,30,60,Icon_HpPotion_01,50
10104,1,1,6,1,5,1001100,40,80,Icon_MpPotion_01,50
10105,1,1,6,1,5,1001100,50,100,Icon_GachaItem_Herb,50
10201,2,2,6,1,5,1001100,12,20,Icon_GachaItem_Soulcrystal,50
10202,2,2,6,1,5,1001100,24,40,Icon_Box_Rune_03,50
10203,2,2,6,1,5,1001100,36,60,Icon_Gacha_HerbPotion,50
10204,2,2,6,1,5,1001100,48,80,Item_GemStoneRed_01,50
10205,2,2,6,1,5,1001100,60,100,UI_Icon_TeleportScroll,50
10301,3,200,6,1,10,1001100,14,20,UI_Icon_LoudSpeaker,30
10302,3,200,6,1,10,1001100,28,40,Icon_Box_Dia_04,30
10303,3,200,6,1,10,1001100,42,60,Icon_Asset_SkillPoint_01,30
10304,3,200,6,1,10,1001100,56,80,Icon_SoulShot_01,30
10305,3,200,6,1,10,1001100,70,100,Icon_HpPotion_01,30
10401,4,201,6,1,10,1001100,17,20,Icon_MpPotion_01,50
10402,4,201,6,1,10,1001100,34,40,Icon_GachaItem_Herb,50
10403,4,201,6,1,10,1001100,51,60,Icon_GachaItem_Soulcrystal,50
10404,4,201,6,1,10,1001100,68,80,Icon_Box_Rune_03,50
10405,4,201,6,1,10,1001100,85,100,Icon_Gacha_HerbPotion,50
10501,5,3,6,1,10,1001101,19,20,Item_GemStoneRed_01,70
10502,5,3,6,1,10,1001101,38,40,UI_Icon_TeleportScroll,70
10503,5,3,6,1,10,1001101,57,60,UI_Icon_LoudSpeaker,70
10504,5,3,6,1,10,1001101,76,80,Icon_Box_Dia_04,70
10505,5,3,6,1,10,1001101,95,100,Icon_Asset_SkillPoint_01,70
10601,6,4,6,1,10,1001101,24,20,Icon_SoulShot_01,70
10602,6,4,6,1,10,1001101,48,40,Icon_HpPotion_01,70
10603,6,4,6,1,10,1001101,72,60,Icon_MpPotion_01,70
10604,6,4,6,1,10,1001101,96,80,Icon_GachaItem_Herb,70
10605,6,4,6,1,10,1001101,120,100,Icon_GachaItem_Soulcrystal,70
10701,7,5,6,1,10,1001101,29,20,Icon_Box_Rune_03,70
10702,7,5,6,1,10,1001101,58,40,Icon_Gacha_HerbPotion,70
10703,7,5,6,1,10,1001101,87,60,Item_GemStoneRed_01,70
10704,7,5,6,1,10,1001101,116,80,UI_Icon_TeleportScroll,70
10705,7,5,6,1,10,1001101,145,100,UI_Icon_LoudSpeaker,70
10801,8,6,6,1,10,1001101,34,20,Icon_Box_Dia_04,80
10802,8,6,6,1,10,1001101,68,40,Icon_Asset_SkillPoint_01,80
10803,8,6,6,1,10,1001101,102,60,Icon_SoulShot_01,80
10804,8,6,6,1,10,1001101,136,80,Icon_HpPotion_01,80
10805,8,6,6,1,10,1001101,170,100,Icon_MpPotion_01,80
10901,9,202,6,1,15,1001101,39,20,Icon_GachaItem_Herb,20
10902,9,202,6,1,15,1001101,78,40,Icon_GachaItem_Soulcrystal,20
10903,9,202,6,1,15,1001101,117,60,Icon_Box_Rune_03,20
10904,9,202,6,1,15,1001101,156,80,Icon_Gacha_HerbPotion,20
10905,9,202,6,1,15,1001101,195,100,Item_GemStoneRed_01,20
11001,10,203,6,1,15,1001101,43,20,UI_Icon_TeleportScroll,20
11002,10,203,6,1,15,1001101,86,40,UI_Icon_LoudSpeaker,20
11003,10,203,6,1,15,1001101,129,60,Icon_Box_Dia_04,20
11004,10,203,6,1,15,1001101,172,80,Icon_Asset_SkillPoint_01,20
11005,10,203,6,1,15,1001101,215,100,Icon_SoulShot_01,20
