Id,MissionType,RequireCompleteCount,QuestActChapterProgress,RewardType,RewardItemInfoId,RewardCount,RewardIcon
1,0,6,,1,,5000,Icon_Asset_Adena_01
2,0,12,,6,911174,1,Icon_Box_EquipLevelMaterial
3,1,10,1,6,920201,1,Icon_SummonGem_02
3,1,10,12,6,920202,1,Icon_SummonGem_02
3,1,10,19,6,920203,1,Icon_SummonGem_02
3,1,10,29,6,920204,1,Icon_SummonGem_02
3,1,10,39,6,920205,1,Icon_SummonGem_02
3,1,10,49,6,920206,1,Icon_SummonGem_02
3,1,10,59,6,920207,1,Icon_SummonGem_02
3,1,10,68,6,920208,1,Icon_SummonGem_02
3,1,10,77,6,920209,1,Icon_SummonGem_02
3,1,10,85,6,920210,1,Icon_SummonGem_02
3,1,10,94,6,920211,1,Icon_SummonGem_02
3,1,10,104,6,920212,1,Icon_SummonGem_02
3,1,10,115,6,920213,1,Icon_SummonGem_02
3,1,10,124,6,920214,1,Icon_SummonGem_02
3,1,10,134,6,920215,1,Icon_SummonGem_02
3,1,10,144,6,920216,1,Icon_SummonGem_02
3,1,10,154,6,920217,1,Icon_SummonGem_02
4,1,20,1,6,920201,1,Icon_SummonGem_02
4,1,20,12,6,920202,1,Icon_SummonGem_02
4,1,20,19,6,920203,1,Icon_SummonGem_02
4,1,20,29,6,920204,1,Icon_SummonGem_02
4,1,20,39,6,920205,1,Icon_SummonGem_02
4,1,20,49,6,920206,1,Icon_SummonGem_02
4,1,20,59,6,920207,1,Icon_SummonGem_02
4,1,20,68,6,920208,1,Icon_SummonGem_02
4,1,20,77,6,920209,1,Icon_SummonGem_02
4,1,20,85,6,920210,1,Icon_SummonGem_02
4,1,20,94,6,920211,1,Icon_SummonGem_02
4,1,20,104,6,920212,1,Icon_SummonGem_02
4,1,20,115,6,920213,1,Icon_SummonGem_02
4,1,20,124,6,920214,1,Icon_SummonGem_02
4,1,20,134,6,920215,1,Icon_SummonGem_02
4,1,20,144,6,920216,1,Icon_SummonGem_02
4,1,20,154,6,920217,1,Icon_SummonGem_02
5,1,30,1,6,920201,1,Icon_SummonGem_02
5,1,30,12,6,920202,1,Icon_SummonGem_02
5,1,30,19,6,920203,1,Icon_SummonGem_02
5,1,30,29,6,920204,1,Icon_SummonGem_02
5,1,30,39,6,920205,1,Icon_SummonGem_02
5,1,30,49,6,920206,1,Icon_SummonGem_02
5,1,30,59,6,920207,1,Icon_SummonGem_02
5,1,30,68,6,920208,1,Icon_SummonGem_02
5,1,30,77,6,920209,1,Icon_SummonGem_02
5,1,30,85,6,920210,1,Icon_SummonGem_02
5,1,30,94,6,920211,1,Icon_SummonGem_02
5,1,30,104,6,920212,1,Icon_SummonGem_02
5,1,30,115,6,920213,1,Icon_SummonGem_02
5,1,30,124,6,920214,1,Icon_SummonGem_02
5,1,30,134,6,920215,1,Icon_SummonGem_02
5,1,30,144,6,920216,1,Icon_SummonGem_02
5,1,30,154,6,920217,1,Icon_SummonGem_02
6,1,40,1,6,920201,1,Icon_SummonGem_02
6,1,40,12,6,920202,1,Icon_SummonGem_02
6,1,40,19,6,920203,1,Icon_SummonGem_02
6,1,40,29,6,920204,1,Icon_SummonGem_02
6,1,40,39,6,920205,1,Icon_SummonGem_02
6,1,40,49,6,920206,1,Icon_SummonGem_02
6,1,40,59,6,920207,1,Icon_SummonGem_02
6,1,40,68,6,920208,1,Icon_SummonGem_02
6,1,40,77,6,920209,1,Icon_SummonGem_02
6,1,40,85,6,920210,1,Icon_SummonGem_02
6,1,40,94,6,920211,1,Icon_SummonGem_02
6,1,40,104,6,920212,1,Icon_SummonGem_02
6,1,40,115,6,920213,1,Icon_SummonGem_02
6,1,40,124,6,920214,1,Icon_SummonGem_02
6,1,40,134,6,920215,1,Icon_SummonGem_02
6,1,40,144,6,920216,1,Icon_SummonGem_02
6,1,40,154,6,920217,1,Icon_SummonGem_02
7,1,50,1,6,920201,1,Icon_SummonGem_02
7,1,50,12,6,920202,1,Icon_SummonGem_02
7,1,50,19,6,920203,1,Icon_SummonGem_02
7,1,50,29,6,920204,1,Icon_SummonGem_02
7,1,50,39,6,920205,1,Icon_SummonGem_02
7,1,50,49,6,920206,1,Icon_SummonGem_02
7,1,50,59,6,920207,1,Icon_SummonGem_02
7,1,50,68,6,920208,1,Icon_SummonGem_02
7,1,50,77,6,920209,1,Icon_SummonGem_02
7,1,50,85,6,920210,1,Icon_SummonGem_02
7,1,50,94,6,920211,1,Icon_SummonGem_02
7,1,50,104,6,920212,1,Icon_SummonGem_02
7,1,50,115,6,920213,1,Icon_SummonGem_02
7,1,50,124,6,920214,1,Icon_SummonGem_02
7,1,50,134,6,920215,1,Icon_SummonGem_02
7,1,50,144,6,920216,1,Icon_SummonGem_02
7,1,50,154,6,920217,1,Icon_SummonGem_02
8,1,60,1,6,920201,1,Icon_SummonGem_02
8,1,60,12,6,920202,1,Icon_SummonGem_02
8,1,60,19,6,920203,1,Icon_SummonGem_02
8,1,60,29,6,920204,1,Icon_SummonGem_02
8,1,60,39,6,920205,1,Icon_SummonGem_02
8,1,60,49,6,920206,1,Icon_SummonGem_02
8,1,60,59,6,920207,1,Icon_SummonGem_02
8,1,60,68,6,920208,1,Icon_SummonGem_02
8,1,60,77,6,920209,1,Icon_SummonGem_02
8,1,60,85,6,920210,1,Icon_SummonGem_02
8,1,60,94,6,920211,1,Icon_SummonGem_02
8,1,60,104,6,920212,1,Icon_SummonGem_02
8,1,60,115,6,920213,1,Icon_SummonGem_02
8,1,60,124,6,920214,1,Icon_SummonGem_02
8,1,60,134,6,920215,1,Icon_SummonGem_02
8,1,60,144,6,920216,1,Icon_SummonGem_02
8,1,60,154,6,920217,1,Icon_SummonGem_02
