Id,TitleNameColor,GainDetialCondition,TitleBackgroundPath
1001,B455D2FF,1,UI_BG_Deco_BlurHud_Blue
1002,B455D2FF,2,UI_BG_Deco_BlurHud_Blue
1003,B455D2FF,3,UI_BG_Deco_BlurHud_Blue
1004,B455D2FF,4,UI_BG_Deco_BlurHud_Blue
2001,FFD74BFF,1001,UI_BG_Deco_BlurHud_Blue
2002,FFD74BFF,1002,UI_BG_Deco_BlurHud_Blue
2003,FFD74BFF,1003,UI_BG_Deco_BlurHud_Blue
2004,FFD74BFF,1004,UI_BG_Deco_BlurHud_Blue
2005,FFD74BFF,2001,UI_BG_Deco_BlurHud_Blue
2006,FFD74BFF,2002,UI_BG_Deco_BlurHud_Blue
2007,FFD74BFF,2003,UI_BG_Deco_BlurHud_Blue
2008,FFD74BFF,2004,UI_BG_Deco_BlurHud_Blue
2009,FFD74BFF,3001,UI_BG_Deco_BlurHud_Blue
2010,FFD74BFF,3002,UI_BG_Deco_BlurHud_Blue
2011,FFD74BFF,3003,UI_BG_Deco_BlurHud_Blue
2012,FFD74BFF,3004,UI_BG_Deco_BlurHud_Blue
2013,FFD74BFF,3005,UI_BG_Deco_BlurHud_Blue
2014,FFD74BFF,4001,UI_BG_Deco_BlurHud_Blue
2015,FFD74BFF,4002,UI_BG_Deco_BlurHud_Blue
2016,FFD74BFF,4003,UI_BG_Deco_BlurHud_Blue
2017,FFD74BFF,5001,UI_BG_Deco_BlurHud_Blue
2018,FFD74BFF,5002,UI_BG_Deco_BlurHud_Blue
2019,FFD74BFF,5003,UI_BG_Deco_BlurHud_Blue
2020,FFD74BFF,5004,UI_BG_Deco_BlurHud_Blue
2021,FFD74BFF,5005,UI_BG_Deco_BlurHud_Blue
2022,FFD74BFF,5006,UI_BG_Deco_BlurHud_Blue
2023,FFD74BFF,5007,UI_BG_Deco_BlurHud_Blue
2024,FFD74BFF,5008,UI_BG_Deco_BlurHud_Blue
