Id,GroupId,RequiredId,TaskType,TaskCount,RewardBloodCrystal,RewardAdena,RewardItemInfoId,RewardCount,RewardCountDesc,RewardIcon,AchievementIcon
101011,1,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
101012,1,101011,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
101013,1,101012,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
101014,1,101013,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
101015,1,101014,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
101016,1,101015,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
101017,1,101016,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
101018,1,101017,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
101019,1,101018,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
101021,2,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
101022,2,101021,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
101023,2,101022,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
101024,2,101023,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
101025,2,101024,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
101026,2,101025,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
101027,2,101026,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
101028,2,101027,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
101029,2,101028,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
101031,3,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
101032,3,101031,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
101033,3,101032,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
101034,3,101033,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
101035,3,101034,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
101036,3,101035,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
101037,3,101036,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
101038,3,101037,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
101039,3,101038,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
101041,4,,164,262500,15,1000,911191,3,,Icon_SoulShot_01,
101042,4,101041,164,980000,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
101043,4,101042,164,1925000,50,3000,911191,5,,Icon_SoulShot_01,
101044,4,101043,164,3675000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
101045,4,101044,164,5950000,75,6000,911191,7,,Icon_SoulShot_01,
101046,4,101045,164,8750000,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
101047,4,101046,164,13125000,110,10000,911191,10,,Icon_SoulShot_01,
101048,4,101047,164,18375000,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
101049,4,101048,164,24500000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
102011,5,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
102012,5,102011,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
102013,5,102012,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
102014,5,102013,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
102015,5,102014,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
102016,5,102015,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
102017,5,102016,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
102018,5,102017,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
102019,5,102018,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
102021,6,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
102022,6,102021,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
102023,6,102022,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
102024,6,102023,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
102025,6,102024,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
102026,6,102025,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
102027,6,102026,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
102028,6,102027,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
102029,6,102028,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
104011,7,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
104012,7,104011,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
104013,7,104012,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
