Id,Difficulty,Score,ClearRank,RankRewardItemID1,RankRewardItemCount1,RankRewardItemID2,RankRewardItemCount2,RankRewardItemID3,RankRewardItemCount3
1,0,0,1,911234,2,,,,
2,0,10001,2,911234,3,,,,
3,0,20001,3,911234,4,,,,
4,0,30001,4,911234,5,,,,
5,0,40001,5,911234,6,,,,
6,0,50001,6,911234,7,,,,
7,1,0,1,911234,5,,,,
8,1,10001,2,911234,6,,,,
9,1,20001,3,911234,7,,,,
10,1,30001,4,911234,8,,,,
11,1,40001,5,911234,9,,,,
12,1,50001,6,911234,10,,,,
13,2,0,1,911234,7,,,,
14,2,10001,2,911234,8,,,,
15,2,20001,3,911234,9,,,,
16,2,30001,4,911234,10,,,,
17,2,40001,5,911234,11,,,,
18,2,50001,6,911234,12,,,,
19,3,0,1,911234,10,,,,
20,3,10001,2,911234,11,,,,
21,3,20001,3,911234,12,,,,
22,3,30001,4,911234,13,,,,
23,3,40001,5,911234,14,,,,
24,3,50001,6,911234,15,,,,
