Difficulty,Level,Exp_C,Exp_B,Exp_A,Exp_S,Exp_SS,Exp_SSS,Adena_C,Adena_B,Adena_A,Adena_S,Adena_SS,Adena_SSS
0,1,10,20,30,40,50,60,70,80,90,100,110,120
0,2,20,30,40,50,60,70,80,90,100,110,120,130
0,3,30,40,50,60,70,80,90,100,110,120,130,140
0,4,40,50,60,70,80,90,100,110,120,130,140,150
0,5,50,60,70,80,90,100,110,120,130,140,150,160
0,6,60,70,80,90,100,110,120,130,140,150,160,170
0,7,70,80,90,100,110,120,130,140,150,160,170,180
0,8,80,90,100,110,120,130,140,150,160,170,180,190
0,9,90,100,110,120,130,140,150,160,170,180,190,200
0,10,100,110,120,130,140,150,160,170,180,190,200,210
0,11,110,120,130,140,150,160,170,180,190,200,210,220
0,12,120,130,140,150,160,170,180,190,200,210,220,230
0,13,130,140,150,160,170,180,190,200,210,220,230,240
0,14,140,150,160,170,180,190,200,210,220,230,240,250
0,15,150,160,170,180,190,200,210,220,230,240,250,260
0,16,160,170,180,190,200,210,220,230,240,250,260,270
0,17,170,180,190,200,210,220,230,240,250,260,270,280
0,18,180,190,200,210,220,230,240,250,260,270,280,290
0,19,190,200,210,220,230,240,250,260,270,280,290,300
0,20,200,210,220,230,240,250,260,270,280,290,300,310
0,21,210,220,230,240,250,260,270,280,290,300,310,320
0,22,220,230,240,250,260,270,280,290,300,310,320,330
0,23,230,240,250,260,270,280,290,300,310,320,330,340
0,24,240,250,260,270,280,290,300,310,320,330,340,350
0,25,250,260,270,280,290,300,310,320,330,340,350,360
0,26,260,270,280,290,300,310,320,330,340,350,360,370
0,27,270,280,290,300,310,320,330,340,350,360,370,380
0,28,280,290,300,310,320,330,340,350,360,370,380,390
0,29,290,300,310,320,330,340,350,360,370,380,390,400
0,30,300,310,320,330,340,350,360,370,380,390,400,410
0,31,310,320,330,340,350,360,370,380,390,400,410,420
0,32,320,330,340,350,360,370,380,390,400,410,420,430
0,33,330,340,350,360,370,380,390,400,410,420,430,440
0,34,340,350,360,370,380,390,400,410,420,430,440,450
0,35,350,360,370,380,390,400,410,420,430,440,450,460
0,36,360,370,380,390,400,410,420,430,440,450,460,470
0,37,370,380,390,400,410,420,430,440,450,460,470,480
0,38,380,390,400,410,420,430,440,450,460,470,480,490
0,39,390,400,410,420,430,440,450,460,470,480,490,500
0,40,400,410,420,430,440,450,460,470,480,490,500,510
0,41,410,420,430,440,450,460,470,480,490,500,510,520
0,42,420,430,440,450,460,470,480,490,500,510,520,530
0,43,430,440,450,460,470,480,490,500,510,520,530,540
0,44,440,450,460,470,480,490,500,510,520,530,540,550
0,45,450,460,470,480,490,500,510,520,530,540,550,560
0,46,460,470,480,490,500,510,520,530,540,550,560,570
0,47,470,480,490,500,510,520,530,540,550,560,570,580
0,48,480,490,500,510,520,530,540,550,560,570,580,590
0,49,490,500,510,520,530,540,550,560,570,580,590,600
0,50,500,510,520,530,540,550,560,570,580,590,600,610
0,51,510,520,530,540,550,560,570,580,590,600,610,620
0,52,520,530,540,550,560,570,580,590,600,610,620,630
0,53,530,540,550,560,570,580,590,600,610,620,630,640
0,54,540,550,560,570,580,590,600,610,620,630,640,650
0,55,550,560,570,580,590,600,610,620,630,640,650,660
0,56,560,570,580,590,600,610,620,630,640,650,660,670
0,57,570,580,590,600,610,620,630,640,650,660,670,680
0,58,580,590,600,610,620,630,640,650,660,670,680,690
0,59,590,600,610,620,630,640,650,660,670,680,690,700
0,60,600,610,620,630,640,650,660,670,680,690,700,710
0,61,610,620,630,640,650,660,670,680,690,700,710,720
0,62,620,630,640,650,660,670,680,690,700,710,720,730
0,63,630,640,650,660,670,680,690,700,710,720,730,740
0,64,640,650,660,670,680,690,700,710,720,730,740,750
0,65,650,660,670,680,690,700,710,720,730,740,750,760
0,66,660,670,680,690,700,710,720,730,740,750,760,770
0,67,670,680,690,700,710,720,730,740,750,760,770,780
0,68,680,690,700,710,720,730,740,750,760,770,780,790
0,69,690,700,710,720,730,740,750,760,770,780,790,800
0,70,700,710,720,730,740,750,760,770,780,790,800,810
0,71,710,720,730,740,750,760,770,780,790,800,810,820
0,72,720,730,740,750,760,770,780,790,800,810,820,830
0,73,730,740,750,760,770,780,790,800,810,820,830,840
0,74,740,750,760,770,780,790,800,810,820,830,840,850
0,75,750,760,770,780,790,800,810,820,830,840,850,860
0,76,760,770,780,790,800,810,820,830,840,850,860,870
0,77,770,780,790,800,810,820,830,840,850,860,870,880
0,78,780,790,800,810,820,830,840,850,860,870,880,890
0,79,790,800,810,820,830,840,850,860,870,880,890,900
0,80,800,810,820,830,840,850,860,870,880,890,900,910
0,81,810,820,830,840,850,860,870,880,890,900,910,920
0,82,820,830,840,850,860,870,880,890,900,910,920,930
0,83,830,840,850,860,870,880,890,900,910,920,930,940
0,84,840,850,860,870,880,890,900,910,920,930,940,950
0,85,850,860,870,880,890,900,910,920,930,940,950,960
0,86,860,870,880,890,900,910,920,930,940,950,960,970
0,87,870,880,890,900,910,920,930,940,950,960,970,980
0,88,880,890,900,910,920,930,940,950,960,970,980,990
0,89,890,900,910,920,930,940,950,960,970,980,990,1000
0,90,900,910,920,930,940,950,960,970,980,990,1000,1010
0,91,910,920,930,940,950,960,970,980,990,1000,1010,1020
0,92,920,930,940,950,960,970,980,990,1000,1010,1020,1030
0,93,930,940,950,960,970,980,990,1000,1010,1020,1030,1040
0,94,940,950,960,970,980,990,1000,1010,1020,1030,1040,1050
0,95,950,960,970,980,990,1000,1010,1020,1030,1040,1050,1060
0,96,960,970,980,990,1000,1010,1020,1030,1040,1050,1060,1070
0,97,970,980,990,1000,1010,1020,1030,1040,1050,1060,1070,1080
0,98,980,990,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090
0,99,990,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100
0,100,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110
0,101,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120
0,102,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130
0,103,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140
0,104,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150
0,105,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160
0,106,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170
0,107,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180
0,108,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190
0,109,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200
0,110,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210
0,111,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220
0,112,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230
0,113,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240
0,114,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250
0,115,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260
0,116,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260,1270
0,117,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260,1270,1280
0,118,1180,1190,1200,1210,1220,1230,1240,1250,1260,1270,1280,1290
0,119,1190,1200,1210,1220,1230,1240,1250,1260,1270,1280,1290,1300
0,120,1200,1210,1220,1230,1240,1250,1260,1270,1280,1290,1300,1310
0,121,1210,1220,1230,1240,1250,1260,1270,1280,1290,1300,1310,1320
0,122,1220,1230,1240,1250,1260,1270,1280,1290,1300,1310,1320,1330
0,123,1230,1240,1250,1260,1270,1280,1290,1300,1310,1320,1330,1340
0,124,1240,1250,1260,1270,1280,1290,1300,1310,1320,1330,1340,1350
0,125,1250,1260,1270,1280,1290,1300,1310,1320,1330,1340,1350,1360
0,126,1260,1270,1280,1290,1300,1310,1320,1330,1340,1350,1360,1370
0,127,1270,1280,1290,1300,1310,1320,1330,1340,1350,1360,1370,1380
0,128,1280,1290,1300,1310,1320,1330,1340,1350,1360,1370,1380,1390
0,129,1290,1300,1310,1320,1330,1340,1350,1360,1370,1380,1390,1400
0,130,1300,1310,1320,1330,1340,1350,1360,1370,1380,1390,1400,1410
0,131,1310,1320,1330,1340,1350,1360,1370,1380,1390,1400,1410,1420
0,132,1320,1330,1340,1350,1360,1370,1380,1390,1400,1410,1420,1430
0,133,1330,1340,1350,1360,1370,1380,1390,1400,1410,1420,1430,1440
0,134,1340,1350,1360,1370,1380,1390,1400,1410,1420,1430,1440,1450
