GroupId,MissionInfoId,Grade,TaskId,TaskCount,RewardItemType,RewardItemInfoId,RewardItemCount
1,1101,1,101,5,6,911178,1
1,1102,1,102,1,6,900010,2
1,1103,1,117,1,1,,30000
1,1104,1,114,1,6,490033,50
1,1105,1,105,2,6,910253,1
1,1106,1,118,50,2,,50
1,1201,2,101,10,6,911178,2
1,1202,2,102,3,6,900010,3
1,1203,2,117,2,1,,60000
1,1204,2,114,2,6,490033,100
1,1205,2,105,4,6,910253,1
1,1206,2,118,100,2,,100
1,1301,3,101,20,6,911178,3
1,1302,3,102,6,6,900010,4
1,1303,3,117,3,1,,90000
1,1304,3,114,4,6,490033,150
1,1305,3,106,2,6,910253,2
1,1306,3,118,200,2,,150
1,1401,4,101,25,6,911178,4
1,1402,4,102,10,6,900010,5
1,1403,4,117,4,1,,120000
1,1404,4,114,6,6,490033,200
1,1405,4,106,4,6,910253,2
1,1406,4,118,400,2,,200
1,1501,5,101,30,6,911178,5
1,1502,5,102,15,6,900010,6
1,1503,5,117,5,1,,150000
1,1504,5,114,8,6,490033,250
1,1505,5,107,2,6,910253,3
1,1506,5,118,600,2,,250
1,1601,6,101,40,6,911178,6
1,1602,6,102,20,6,900010,7
1,1603,6,117,6,1,,180000
1,1604,6,115,2,6,490033,300
1,1605,6,107,4,6,910253,3
1,1606,6,118,800,2,,300
