id,AnimationPath,UseControlAction
1,SocialAction_Letsgo,0
2,SocialAction_Victory,0
3,SocialAction_Hello,0
4,SocialAction_Laugh,0
5,SocialAction_Sad,0
6,SocialAction_HighFive,0
7,SocialAction_Clap,0
8,SocialAction_Frastration,0
9,SocialAction_Angry,0
10,SocialAction_Dance01,0
1001,SummonMonster,0
10001,SocialAction_PVPVictory,0
10002,SocialAction_PVPFrastration,0
10003,SocialAction_PVPVictory,0
10004,SocialAction_PVPFrastration,0
10005,SocialAction_PVPVictory,0
10006,SocialAction_PVPFrastration,0
10007,SocialAction_PVPVictory,0
10008,SocialAction_PVPFrastration,0
100001,SocialAction_Hello,1
100002,SocialAction_Laugh,1
100003,SocialAction_Victory,1
100004,SocialAction_Clap,1
100005,SocialAction_Dance01,1
