Id,GipType,ContentsLockKeyword,Texture
1,0,,LoadingImage/01.jpg
2,0,,LoadingImage/02.jpg
3,0,AUTO_COMBAT,LoadingImage/03.jpg
4,0,,LoadingImage/04.jpg
5,0,,LoadingImage/05.jpg
6,1,,LoadingImage/06.jpg
7,1,,LoadingImage/07.jpg
8,1,,LoadingImage/08.jpg
9,1,,LoadingImage/09.jpg
10,1,,LoadingImage/10.jpg
11,1,,LoadingImage/11.jpg
12,2,,LoadingImage/12.jpg
13,2,,LoadingImage/13.jpg
14,2,,LoadingImage/14.jpg
15,2,,LoadingImage/15.jpg
16,2,,LoadingImage/16.jpg
17,2,,LoadingImage/17.jpg
18,4,,LoadingImage/35.jpg
19,5,,LoadingImage/36.jpg
20,5,,LoadingImage/37.jpg
21,6,,LoadingImage/38.jpg
22,6,,LoadingImage/39.jpg
23,6,,LoadingImage/40.jpg
24,7,,LoadingImage/41.jpg
25,7,,LoadingImage/42.jpg
26,7,,LoadingImage/43.jpg
27,8,,LoadingImage/44.jpg
28,8,,LoadingImage/45.jpg
31,12,,LoadingImage/18.jpg
32,12,,LoadingImage/19.jpg
33,12,,LoadingImage/20.jpg
34,12,,LoadingImage/21.jpg
40,13,,LoadingImage/27.jpg
41,13,,LoadingImage/28.jpg
51,16,,LoadingImage/49.jpg
52,16,,LoadingImage/50.jpg
53,16,,LoadingImage/51.jpg
54,18,,LoadingImage/52.jpg
55,18,,LoadingImage/53.jpg
56,17,,LoadingImage/54.jpg
57,17,,LoadingImage/55.jpg
58,19,,LoadingImage/58.jpg
59,19,,LoadingImage/59.jpg
67,19,,LoadingImage/67.jpg
68,19,,LoadingImage/68.jpg
69,19,,LoadingImage/69.jpg
70,19,,LoadingImage/70.jpg
