Id,Difficulty,ClearRank,RankRewardItemID1,RankRewardItemCount1,RankRewardItemID2,RankRewardItemCount2,RankRewardItemID3,RankRewardItemCount3,RewardExp,RewardAdena
1,0,1,911179,1,,,,,0,0
2,0,2,911179,1,,,,,0,0
3,0,3,911179,2,,,,,0,0
4,0,4,911179,1,,,,,0,0
5,0,5,911179,2,,,,,0,0
6,0,6,911179,3,,,,,0,0
7,1,1,911179,1,,,,,0,0
8,1,2,911179,1,,,,,0,0
9,1,3,911179,2,,,,,0,0
10,1,4,911179,1,,,,,0,0
11,1,5,911179,2,,,,,0,0
12,1,6,911179,3,,,,,0,0
13,2,1,911179,1,,,,,0,0
14,2,2,911179,1,,,,,0,0
15,2,3,911179,2,,,,,0,0
16,2,4,911179,1,,,,,0,0
17,2,5,911179,2,,,,,0,0
18,2,6,911179,3,,,,,0,0
19,3,1,911179,1,,,,,0,0
20,3,2,911179,1,,,,,0,0
21,3,3,911179,2,,,,,0,0
22,3,4,911179,1,,,,,0,0
23,3,5,911179,2,,,,,0,0
24,3,6,911179,3,,,,,0,0
