EventId,EventGroupId,DiceRewardType,BoardId,RewardItemType,RewardItemInfoId,RewardItemCount
1,1,1,1,0,,
2,1,1,2,6,400001,200
3,1,1,3,6,400002,30
4,1,1,4,6,490005,50
5,1,1,5,6,452001,1
6,1,1,6,6,440011,10
7,1,1,7,6,440001,10
8,1,1,8,6,910220,1
9,1,1,9,6,480007,1
10,1,1,10,1,,5000
11,1,1,11,6,452002,1
12,1,1,12,6,910220,1
13,1,1,13,6,910302,1
14,1,1,14,6,490005,20
15,1,1,15,1,,5000
16,1,1,16,6,400001,200
17,1,1,17,6,440001,10
18,1,1,18,6,452003,1
19,1,1,19,6,480008,1
20,1,1,20,6,440011,10
21,1,1,21,6,490005,50
22,1,1,22,6,490049,20
23,1,1,23,1,,5000
24,1,1,24,6,910220,1
25,1,1,25,6,900012,1
26,1,1,26,6,910220,1
27,1,1,27,6,480009,1
28,1,1,28,6,452004,1
101,100,100,1,6,490030,2
102,100,100,2,1,,50000
103,100,100,3,6,910220,3
104,100,100,4,6,900009,5
105,100,100,5,6,400000,1
106,100,100,6,1,,50000
107,100,100,7,6,910220,3
108,100,100,8,1,,50000
109,100,100,9,6,900009,5
110,100,100,10,2,,500
111,100,100,11,1,,70000
112,100,100,12,6,910217,5
113,100,100,13,1,,100000
114,100,100,14,6,910237,3
115,100,100,15,6,400000,2
201,2,1,1,0,,
202,2,1,2,6,400001,200
203,2,1,3,6,400002,30
204,2,1,4,6,490005,100
205,2,1,5,6,440001,7
206,2,1,6,6,440011,7
207,2,1,7,6,490111,1
208,2,1,8,6,490049,20
209,2,1,9,1,,5000
210,2,1,10,6,490066,20
211,2,1,11,6,910302,1
212,2,1,12,6,1001201,2
213,2,1,13,6,910007,2
214,2,1,14,6,1001202,2
215,2,1,15,6,490066,20
216,2,1,16,6,400001,200
217,2,1,17,6,490131,1
218,2,1,18,6,490005,100
219,2,1,19,6,440001,7
220,2,1,20,6,440011,7
221,2,1,21,6,490005,100
222,2,1,22,6,490049,20
223,2,1,23,1,,5000
224,2,1,24,6,490066,20
225,2,1,25,6,900012,1
226,2,1,26,6,1001202,2
227,2,1,27,6,490101,1
228,2,1,28,6,910222,1
229,200,100,1,6,490033,200
230,200,100,2,1,,20000
231,200,100,3,6,900007,3
232,200,100,4,6,911010,3
233,200,100,5,6,400000,1
234,200,100,6,1,,30000
235,200,100,7,6,910222,1
236,200,100,8,1,,50000
237,200,100,9,6,400101,1
238,200,100,10,2,,500
239,200,100,11,1,,50000
240,200,100,12,6,910219,1
241,200,100,13,1,,100000
242,200,100,14,6,900011,3
243,200,100,15,6,400000,1
301,3,1,1,0,,
302,3,1,2,6,400001,200
303,3,1,3,6,400002,30
304,3,1,4,6,490005,50
305,3,1,5,6,452001,1
306,3,1,6,6,440001,10
307,3,1,7,6,440011,10
308,3,1,8,6,910220,1
309,3,1,9,6,480007,1
310,3,1,10,1,,5000
311,3,1,11,6,452002,1
312,3,1,12,6,910220,1
313,3,1,13,6,910302,1
314,3,1,14,6,490005,20
315,3,1,15,1,,5000
316,3,1,16,6,400001,200
317,3,1,17,6,440001,10
