Id,NameEN,Grade,Type,InteractionType,ScaleFactor,VisibleLevel,Level,BasicAttackSkillInfoIdList,CreateSkillInfoId,IgnoreHitAnim,Aggressive,Movable,Rotatable,IsMonster,SpawnAnim,DisableSpawnVFX,SpawnVFX,HitFX,HitSocket,HitSound,BP_Name,IconTexture,IconTexture_discovered,QuestOnly,AppearanceScenePlay,IsBoss,MonsterCoreItemInfoId,RaceType,RaceIconPath,JobIconPath,CutSceneType,UseMatineeActor,MonsterType,MonsterGrade,InteractionVoiceID,QuestFinishVoiceID,IconTexture2,IconTitle,MinimapMark
19,HealingFountain,5,6,24,1,0,70,,401,0,0,0,0,0,,0,,,,,BP_HealingFountain, Icon_MonsterCore_Sample,1,0,0,0,,14,Icon_Ability_None,,,1,5,7,0,0,,,0
31,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,1,0,0,0,,14,Icon_Ability_None,,,1,5,7,0,0,,,0
32,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,1,0,0,0,,14,Icon_Ability_None,,,1,5,7,0,0,,,0
33,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,1,0,0,0,,14,Icon_Ability_None,,,1,5,7,0,0,,,0
34,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,1,0,0,0,,14,Icon_Ability_None,,,1,5,7,0,0,,,0
35,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,1,0,0,0,,14,Icon_Ability_None,,,1,5,7,0,0,,,0
36,CastleSiege_DefenseTower,5,2,24,1,0,70,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,1,0,0,0,,14,Icon_Ability_None,,,1,5,7,0,0,,,0
101,CastleSiege_GuardTower,5,4,24,1,0,116,80009,,0,1,0,0,1,,0,,,,,BP_CastleSiege_GuardTower, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
102,CastleSiege_GuardTower,5,4,24,1,0,116,80009,,0,1,0,0,1,,0,,,,,BP_CastleSiege_GuardTower, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
103,CastleSiege_GuardTower,5,4,24,1,0,116,80009,,0,1,0,0,1,,0,,,,,BP_CastleSiege_GuardTower, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
104,CastleSiege_CastleGate,5,3,24,1,0,116,,451,0,0,0,0,1,,0,,,,,BP_CastleSiege_CastleGate, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
105,CastleSiege_CastleGate,5,3,24,1,0,116,,451,0,0,0,0,1,,0,,,,,BP_CastleSiege_CastleGate, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
106,CastleSiege_CastleGate,5,3,24,1,0,116,,451,0,0,0,0,1,,0,,,,,BP_CastleSiege_CastleGate, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
107,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
108,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
109,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
110,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
115,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
116,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
117,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
118,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
119,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
120,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
121,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
122,CastleSiege_DefenseTower,5,2,24,1,0,116,80008,,0,1,0,0,1,,0,,,,,BP_CastleSiege_DefenseTower, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
123,CastleSiege_Trap,5,5,24,1,0,116,80002,,0,1,0,0,1,,0,,,,,BP_CastleSiegeTrap, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
124,CastleSiege_Trap,5,5,24,1,0,116,80002,,0,1,0,0,1,,0,,,,,BP_CastleSiegeTrap, Icon_MonsterCore_Sample,,0,0,0,,14,Icon_Ability_None,,,0,5,7,0,0,,,0
201,Noble_01,0,14,10,1,0,290,,,0,0,0,1,0,,0,,,,,BP_Noble_01,Noble_01,1,0,0,0,,0,Icon_Ability_Human,,,0,5,7,33,34,,,0
202,Fernel,0,14,24,1,0,290,,,0,0,0,1,0,,0,,,,,BP_Fernel, Icon_MonsterCore_Sample,1,0,0,0,,0,Icon_Ability_Human,,,0,5,7,105,106,,,0
203,SmeltingMerchant,0,14,24,1,0,290,,,0,0,0,1,0,,0,,,,,BP_SmeltingMerchant,SmeltingMerchant_01,1,0,0,0,,0,Icon_Ability_Human,,,0,5,7,51,52,,,0
204,WarehouseKeeper_W_01,0,14,11,1,0,290,,,0,0,0,1,0,,0,,,,,BP_WarehouseKeeper_W_01, Icon_MonsterCore_Sample,1,0,0,0,,14,Icon_Ability_None,,,0,5,7,120,121,,,0
205,CatTheCat,1,14,24,1,0,290,152101,,0,0,0,1,0,,0,,,,,BP_CatTheCat,CatTheCat_01,1,0,0,0,,0,Icon_Ability_Human,,,0,5,7,9,10,,,0
