Rank,StatType,StatValue
0,0,0
0,1,0
0,16,0
0,17,0
0,44,0
0,46,0
0,81,0
1,0,40
1,1,40
1,16,40
1,17,40
1,44,60
1,46,60
1,81,40
2,0,80
2,1,80
2,16,100
2,17,100
2,44,130
2,46,130
2,81,100
3,0,170
3,1,170
3,16,200
3,17,200
3,44,260
3,46,260
3,81,210
4,0,280
4,1,280
4,16,330
4,17,330
4,44,430
4,46,430
4,81,350
5,0,410
5,1,410
5,16,480
5,17,480
5,44,620
5,46,620
5,81,520
6,0,560
6,1,560
6,16,650
6,17,650
6,44,850
6,46,850
6,81,720
7,0,730
7,1,730
7,16,840
7,17,840
7,44,1100
7,46,1100
7,81,930
8,0,910
8,1,910
8,16,1050
8,17,1050
8,44,1360
8,46,1360
8,81,1160
9,0,1100
9,1,1100
9,16,1270
9,17,1270
9,44,1650
9,46,1650
9,81,1410
10,0,1300
10,1,1300
10,16,1500
10,17,1500
10,44,1960
10,46,1960
10,81,1670
11,0,1520
11,1,1520
11,16,1750
11,17,1750
11,44,2290
11,46,2290
11,81,1950
12,0,1750
12,1,1750
12,16,2020
12,17,2020
12,44,2630
12,46,2630
12,81,2240
13,0,1990
13,1,1990
13,16,2290
13,17,2290
13,44,2990
13,46,2990
13,81,2550
14,0,2240
14,1,2240
14,16,2580
14,17,2580
14,44,3360
14,46,3360
14,81,2870
15,0,2500
15,1,2500
15,16,2870
15,17,2870
15,44,3750
15,46,3750
15,81,3210
16,0,2760
16,1,2760
16,16,3180
16,17,3180
16,44,4150
16,46,4150
16,81,3550
17,0,3040
17,1,3040
17,16,3500
17,17,3500
17,44,4570
17,46,4570
17,81,3910
18,0,3330
18,1,3330
18,16,3830
18,17,3830
18,44,5000
18,46,5000
18,81,4280
19,0,3620
19,1,3620
19,16,4170
19,17,4170
19,44,5440
19,46,5440
19,81,4660
20,0,3920
20,1,3920
20,16,4520
20,17,4520
20,44,5900
20,46,5900
20,81,5040
21,0,4240
21,1,4240
21,16,4880
21,17,4880
21,44,6370
21,46,6370
21,81,5450
22,0,4550
22,1,4550
22,16,5240
22,17,5240
22,44,6840
22,46,6840
22,81,5860
23,0,4880
23,1,4880
23,16,5620
23,17,5620
23,44,7330
23,46,7330
23,81,6280
24,0,5210
24,1,5210
24,16,6000
24,17,6000
24,44,7840
24,46,7840
24,81,6710
25,0,5560
25,1,5560
25,16,6390
25,17,6390
25,44,8350
25,46,8350
25,81,7150
26,0,5900
26,1,5900
26,16,6800
26,17,6800
26,44,8870
26,46,8870
26,81,7590
27,0,6260
27,1,6260
27,16,7200
27,17,7200
27,44,9410
27,46,9410
27,81,8050
28,0,6620
28,1,6620
28,16,7620
28,17,7620
28,44,9950
28,46,9950
28,81,8520
29,0,6990
29,1,6990
29,16,8050
29,17,8050
29,44,10510
29,46,10510
29,81,8990
30,0,7370
30,1,7370
30,16,8480
30,17,8480
30,44,11070
30,46,11070
30,81,9480
31,0,7750
31,1,7750
31,16,8920
31,17,8920
31,44,11640
31,46,11640
31,81,9970
32,0,8140
32,1,8140
32,16,9370
32,17,9370
32,44,12230
32,46,12230
32,81,10470
33,0,8530
33,1,8530
33,16,9820
33,17,9820
33,44,12820
33,46,12820
33,81,10980
34,0,8940
34,1,8940
34,16,10280
34,17,10280
34,44,13420
34,46,13420
34,81,11500
35,0,9340
35,1,9340
35,16,10750
35,17,10750
35,44,14040
35,46,14040
35,81,12020
36,0,9760
36,1,9760
36,16,11230
36,17,11230
36,44,14660
36,46,14660
36,81,12550
37,0,10180
37,1,10180
37,16,11710
37,17,11710
37,44,15290
37,46,15290
37,81,13090
38,0,10600
38,1,10600
38,16,12200
38,17,12200
38,44,15930
38,46,15930
38,81,13640
39,0,11030
39,1,11030
39,16,12700
39,17,12700
39,44,16570
39,46,16570
39,81,14200
40,0,11470
40,1,11470
40,16,13200
40,17,13200
40,44,17230
40,46,17230
40,81,14760
41,0,11910
41,1,11910
41,16,13710
41,17,13710
41,44,17900
41,46,17900
41,81,15330
42,0,12360
42,1,12360
42,16,14220
42,17,14220
42,44,18570
42,46,18570
42,81,15910
43,0,12810
43,1,12810
43,16,14740
43,17,14740
43,44,19250
43,46,19250
43,81,16490
44,0,13270
44,1,13270
44,16,15270
44,17,15270
44,44,19940
44,46,19940
44,81,17080
45,0,13740
45,1,13740
45,16,15810
45,17,15810
45,44,20640
45,46,20640
45,81,17680
46,0,14210
46,1,14210
46,16,16350
46,17,16350
46,44,21340
46,46,21340
46,81,18280
47,0,14680
47,1,14680
47,16,16890
47,17,16890
47,44,22060
47,46,22060
47,81,18890
48,0,15160
48,1,15160
48,16,17450
48,17,17450
48,44,22780
48,46,22780
48,81,19510
49,0,15650
49,1,15650
49,16,18000
49,17,18000
49,44,23510
49,46,23510
49,81,20140
50,0,16140
50,1,16140
50,16,18570
50,17,18570
50,44,24240
50,46,24240
50,81,20770
