Id,PartyTagType,Purpose,EnterRestrictionId
1,10,,
2,3,200,22
3,3,201,22
4,3,202,22
5,3,203,22
6,3,204,22
7,3,205,22
8,3,206,22
9,3,207,22
10,2,50000,29
11,4,9009,114
12,4,9010,114
13,4,9011,114
14,4,9012,114
15,8,9013,115
16,8,9014,115
17,8,9015,115
101,1,20298,
102,1,20398,
103,1,20471,
104,1,20498,
105,1,20598,
106,1,20698,
107,1,20798,
108,1,20898,
109,1,20998,
111,1,21198,
118,3,208,22
124,9,100001,20001
125,9,100002,20001
126,9,100003,20001
129,9,100101,20002
130,9,100102,20002
133,9,100200,20003
134,9,100201,20003
