Leve,RewardExp,RewardAdena
1,3000,1500
2,3900,1500
3,4500,1500
4,4800,1500
5,6300,1500
6,7500,1500
7,10200,1500
8,14100,1500
9,18900,1500
10,26400,1500
11,37800,1500
12,47400,1500
13,11400,1500
14,12300,1500
15,15300,1500
16,18900,1500
17,23100,1500
18,27600,1500
19,32400,1500
20,37500,1500
21,42000,1500
22,47100,1500
23,51900,1500
24,55800,1500
25,58800,1500
26,59400,1500
27,59100,1500
28,55800,1500
29,65400,1500
30,76500,1500
31,78600,1500
32,83700,1500
33,87000,1500
34,88800,1500
35,88800,2250
36,93900,2250
37,98400,2250
38,99000,2250
39,102300,2250
40,105300,2250
41,108000,2250
42,110100,2250
43,111900,2250
44,111900,2250
45,113400,2250
46,114300,2250
47,114300,2250
48,115200,2250
49,115800,2250
50,116100,2250
51,116400,2250
52,116700,2250
53,117000,2250
54,117000,2250
55,117000,2250
56,117300,2250
57,117300,2250
58,117300,2250
59,117300,2250
60,117300,2250
61,39100,2250
62,39100,2250
63,39100,2250
64,39100,2250
65,39100,2250
66,39100,2250
67,39100,2250
68,39100,2250
69,39100,2250
70,39100,2250
71,39200,2250
72,39200,2250
73,39300,2250
74,39300,2250
75,39400,2250
76,39500,2250
77,39700,2250
78,39800,2250
79,40000,2250
80,40200,2250
81,40500,2250
82,40500,2250
83,40600,2250
84,40700,2250
85,40800,2250
86,41000,2250
87,41300,2250
88,41600,2250
89,42000,2250
90,42400,2250
91,43000,2250
92,43600,2250
93,44200,2250
94,45000,3000
95,45900,3000
96,46800,3000
97,47800,3000
98,49000,3000
99,50200,3000
100,51500,3000
101,53000,3000
102,54600,3000
103,56200,3000
104,58000,3000
105,60000,3000
106,62000,3000
107,64200,3000
108,66500,3000
109,69000,3000
110,71400,3000
111,73600,3000
112,75500,3000
113,77200,3000
114,78800,3000
115,80100,3000
116,81300,3000
117,82300,3000
118,83100,3000
119,83800,3000
120,84300,3000
121,84700,3000
122,85000,3000
123,85200,3000
124,85300,3000
125,86100,3000
126,86900,3000
127,87600,3000
128,88200,3000
129,88800,3000
130,89300,3000
131,89800,3000
132,90200,3000
133,90500,3000
134,90900,3000
135,91100,3000
136,91400,3000
137,91600,3000
138,91800,3000
139,91900,3000
140,92100,3000
141,92200,3000
142,92300,3000
143,92300,3000
144,92400,3000
145,92500,3000
146,92500,3000
147,92500,3000
148,92500,3000
149,92600,3000
150,92600,3000
151,92600,3000
152,92600,3000
153,92600,3000
154,92600,3000
155,92600,3000
