ActChapterId,RewardType,RewardParam,RewardCount
6,1, ,10000
11,2, ,10
14,6,910006,1
18,2, ,20
22,1, ,20000
25,6,910004,1
28,2, ,20
32,1, ,20000
35,6,910006,1
38,2, ,30
42,1, ,20000
45,6,400000,2
48,2, ,30
52,1, ,30000
55,6,910004,1
58,2, ,40
61,1, ,30000
64,6,910006,1
67,2, ,50
70,1, ,50000
73,6,490030,1
76,2, ,60
79,1, ,50000
82,6,400000,5
84,2, ,70
87,1, ,50000
90,6,900011,1
93,2, ,80
96,1, ,50000
99,6,910006,1
103,2, ,90
107,1, ,50000
111,6,490030,2
114,2, ,100
117,1, ,50000
120,6,400000,5
123,2, ,110
127,1, ,50000
130,6,900011,1
133,2, ,120
