GroupId,ItemInfoId,MinItemCount,MaxItemCount
100,500301,1,1
100,500302,1,1
100,500303,1,1
100,500304,1,1
100,440001,5,5
100,440011,5,5
100,400001,50,50
100,449999,1,1
100,480001,1,1
100,480002,1,1
100,480003,1,1
100,480004,1,1
100,480005,1,1
100,480006,1,1
100,480007,1,1
100,480008,1,1
100,480009,1,1
100,1000101,1,1
100,1001101,1,2
200,500401,1,1
200,500402,1,1
200,500403,1,1
200,500404,1,1
200,440001,7,7
200,440011,7,7
200,400001,100,100
200,449999,1,1
200,480001,1,1
200,480002,1,1
200,480003,1,1
200,480004,1,1
200,480005,1,1
200,480006,1,1
200,480007,1,1
200,480008,1,1
200,480009,1,1
200,1000101,1,1
200,1001101,1,3
300,500301,1,1
300,500302,1,1
300,500303,1,1
300,500304,1,1
300,440001,5,5
300,440011,5,5
300,400001,50,50
300,449999,1,1
300,480001,1,1
300,480002,1,1
300,480003,1,1
300,480004,1,1
300,480005,1,1
300,480006,1,1
300,480007,1,1
300,480008,1,1
300,480009,1,1
300,1000101,1,1
300,1001101,1,2
400,500401,1,1
400,500402,1,1
400,500403,1,1
400,500404,1,1
400,440001,7,7
400,440011,7,7
400,400001,100,100
400,449999,1,1
400,480001,1,1
400,480002,1,1
400,480003,1,1
400,480004,1,1
400,480005,1,1
400,480006,1,1
400,480007,1,1
400,480008,1,1
400,480009,1,1
400,1000101,1,1
400,1001101,1,3
500,500501,1,1
500,500502,1,1
500,500503,1,1
500,500504,1,1
500,440001,10,10
500,440011,10,10
500,400001,120,120
500,449999,1,1
500,480001,1,1
500,480002,1,1
500,480003,1,1
500,480004,1,1
500,480005,1,1
500,480006,1,1
500,480007,1,1
500,480008,1,1
500,480009,1,1
500,480010,1,1
500,480011,1,1
500,480012,1,1
500,1000101,1,1
500,1001101,2,3
600,500601,1,1
600,500602,1,1
600,500603,1,1
600,500604,1,1
600,440001,12,12
600,440011,12,12
600,400001,150,150
600,449999,1,1
600,480004,1,1
600,480005,1,1
600,480006,1,1
600,480007,1,1
600,480008,1,1
600,480009,1,1
600,480010,1,1
600,480011,1,1
600,480012,1,1
600,1000101,1,1
600,1001101,3,3
700,500701,1,1
700,500702,1,1
700,500703,1,1
700,500704,1,1
700,440001,15,15
700,440011,15,15
700,400001,170,170
700,449999,1,1
700,480004,1,1
700,480005,1,1
700,480006,1,1
700,480007,1,1
700,480008,1,1
700,480009,1,1
700,480010,1,1
700,480011,1,1
700,480012,1,1
700,1000102,1,1
700,1001102,1,2
800,500801,1,1
