Index,Id,BoxType,BoxItemInfoId,MinItemCount,MaxItemCount
1,910002,2,440001,1,1
7,910003,0,440001,1,1
16,910004,0,410001,1,1
17,910004,0,410002,1,1
18,910004,0,410003,1,1
19,910005,0,410011,1,1
20,910005,0,410012,1,1
21,910005,0,410013,1,1
22,910006,0,420001,1,1
23,910006,0,420002,1,1
24,910006,0,420003,1,1
25,910007,0,450001,1,1
26,910007,0,450002,1,1
27,910007,0,450003,1,1
28,910007,0,450004,1,1
29,910008,0,452001,1,1
30,910008,0,452002,1,1
31,910008,0,452003,1,1
32,910008,0,452004,1,1
33,910012,2,450001,1,1
34,910012,2,450002,1,1
35,910012,2,450003,1,1
36,910012,2,450004,1,1
37,910012,2,452001,1,2
38,910012,2,452002,1,2
39,910012,2,452003,1,2
40,910012,2,452004,1,2
41,910012,2,450001,1,1
42,910012,2,450002,1,1
43,910012,2,450003,1,1
44,910012,2,450004,1,1
45,910309,1,490049,1,1
46,910309,1,490049,3,3
47,910309,1,490049,5,5
48,910309,1,490049,7,7
49,910309,1,490049,10,10
50,910309,1,490049,12,12
51,910309,1,490049,15,15
52,910309,1,490049,20,20
53,910309,1,490049,30,30
54,910309,1,490049,50,50
55,910101,1,110010,1,1
56,910101,1,110020,1,1
57,910101,1,110030,1,1
58,910101,1,120010,1,1
59,910101,1,120020,1,1
60,910101,1,120030,1,1
61,910101,1,130010,1,1
62,910101,1,130020,1,1
63,910101,1,130030,1,1
64,910101,1,140010,1,1
65,910101,1,140020,1,1
66,910101,1,140030,1,1
67,910101,1,150010,1,1
68,910101,1,150020,1,1
69,910101,1,150030,1,1
70,910101,1,160010,1,1
71,910101,1,160020,1,1
72,910101,1,160030,1,1
79,910101,1,210010,1,1
80,910101,1,220010,1,1
81,910101,1,230010,1,1
82,910101,1,240010,1,1
83,910101,1,210020,1,1
84,910101,1,220020,1,1
85,910101,1,230020,1,1
86,910101,1,240020,1,1
87,910101,1,210030,1,1
88,910101,1,220030,1,1
89,910101,1,230030,1,1
90,910101,1,240030,1,1
91,910101,1,210040,1,1
92,910101,1,220040,1,1
93,910101,1,230040,1,1
94,910101,1,240040,1,1
95,910101,1,210050,1,1
96,910101,1,220050,1,1
97,910101,1,230050,1,1
98,910101,1,240050,1,1
99,910101,1,210060,1,1
100,910101,1,220060,1,1
101,910101,1,230060,1,1
102,910101,1,240060,1,1
115,910101,1,310001,1,1
116,910101,1,320001,1,1
117,910101,1,330001,1,1
118,910101,1,310011,1,1
119,910101,1,320011,1,1
120,910101,1,330011,1,1
121,910101,1,310021,1,1
122,910101,1,320021,1,1
123,910101,1,330021,1,1
124,910101,1,310031,1,1
125,910101,1,320031,1,1
126,910101,1,330031,1,1
127,910101,1,310041,1,1
128,910101,1,320041,1,1
129,910101,1,330041,1,1
130,910101,1,310051,1,1
131,910101,1,320051,1,1
132,910101,1,330051,1,1
133,910102,1,110010,1,1
134,910102,1,110020,1,1
135,910102,1,110030,1,1
136,910102,1,120010,1,1
137,910102,1,120020,1,1
138,910102,1,120030,1,1
139,910102,1,130010,1,1
140,910102,1,130020,1,1
141,910102,1,130030,1,1
142,910102,1,140010,1,1
143,910102,1,140020,1,1
144,910102,1,140030,1,1
145,910102,1,150010,1,1
146,910102,1,150020,1,1
147,910102,1,150030,1,1
148,910102,1,160010,1,1
149,910102,1,160020,1,1
150,910102,1,160030,1,1
157,910103,1,210010,1,1
158,910103,1,220010,1,1
159,910103,1,230010,1,1
160,910103,1,240010,1,1
161,910103,1,210020,1,1
162,910103,1,220020,1,1
163,910103,1,230020,1,1
164,910103,1,240020,1,1
165,910103,1,210030,1,1
166,910103,1,220030,1,1
167,910103,1,230030,1,1
168,910103,1,240030,1,1
169,910103,1,210040,1,1
170,910103,1,220040,1,1
171,910103,1,230040,1,1
172,910103,1,240040,1,1
173,910103,1,210050,1,1
174,910103,1,220050,1,1
175,910103,1,230050,1,1
176,910103,1,240050,1,1
177,910103,1,210060,1,1
178,910103,1,220060,1,1
179,910103,1,230060,1,1
180,910103,1,240060,1,1
193,910104,1,310001,1,1
194,910104,1,320001,1,1
195,910104,1,330001,1,1
196,910104,1,310011,1,1
197,910104,1,320011,1,1
198,910104,1,330011,1,1
199,910104,1,310021,1,1
200,910104,1,320021,1,1
201,910104,1,330021,1,1
202,910104,1,310031,1,1
