Id,Type,Count,RewardGroupInfoId
1,0,500,101
1,0,1000,102
1,0,3000,103
1,0,5000,104
1,0,10000,105
1,0,30000,106
1,0,50000,107
1,0,100000,108
1,0,200000,109
1,0,300000,110
1,0,400000,111
1,0,500000,112
11,1,300,1101
11,1,700,1102
11,1,1500,1103
11,1,3000,1104
11,1,5900,1105
11,1,9600,1106
21,2,500,2101
21,2,1000,2102
21,2,3000,2103
21,2,5000,2104
21,2,10000,2105
21,2,30000,2106
21,2,50000,2107
21,2,100000,2108
21,2,200000,2109
21,2,300000,2110
21,2,400000,2111
21,2,500000,2112
31,3,40,3101
31,3,110,3102
31,3,300,3103
31,3,590,3104
31,3,1500,3105
31,3,3000,3106
31,3,5000,3107
31,3,7500,3108
31,3,11000,3109
31,3,17500,3110
2,0,500,101
2,0,1000,102
2,0,3000,103
2,0,5000,104
2,0,10000,105
2,0,30000,106
2,0,50000,107
2,0,100000,108
2,0,200000,109
2,0,300000,110
2,0,400000,111
2,0,500000,112
12,1,300,1101
12,1,700,1102
12,1,1500,1103
12,1,3000,1104
12,1,5900,1105
12,1,9600,1106
22,2,500,2101
22,2,1000,2102
22,2,3000,2103
22,2,5000,2104
22,2,10000,2105
22,2,30000,2106
22,2,50000,2107
22,2,100000,2108
22,2,200000,2109
22,2,300000,2110
22,2,400000,2111
22,2,500000,2112
32,3,40,3101
32,3,110,3102
32,3,300,3103
32,3,590,3104
32,3,1500,3105
32,3,3000,3106
32,3,5000,3107
32,3,7500,3108
32,3,11000,3109
32,3,17500,3110
