ColorType,MatchColor,Color
0,172,0xFFFFFFFF
1,172,0x000000FF
2,172,0x303943FF
3,172,0x1BBB62FF
4,172,0xC20501FF
5,172,0xFFC800FF
6,172,0x1252FFFF
7,172,0xEFEFEFFF
8,172,0xFF8000FF
9,172,0x1080E4FF
10,172,0xE5A932FF
11,172,0x699BD7FF
12,172,0xA9CC00FF
13,172,0xCC0000FF
14,172,0xFFFFFFFF
15,172,0xFFFFFFFF
16,172,0xFFFFFFFF
17,172,0xFF0000FF
18,172,0xFFFFFFFF
19,172,0x00A388FF
20,172,0xFF0A0AFF
21,172,0xFFFFFFFF
22,172,0x660066FF
23,172,0xFF0000FF
122,172,0x3F0600FF
24,172,0xE4EAD9FF
25,172,0xF52608FF
26,172,0x1AADF1FF
27,172,0x6DD223FF
28,172,0xFFB400FF
29,172,0xFF506EFF
30,172,0x00000099
118,172,0xFFC600FF
31,172,0x1252FFFF
32,172,0x96C8FAFF
33,172,0xffc600FF
34,172,0xFFFFFFFF
35,172,0xfc2f8aFF
36,172,0x4f9bfbFF
37,172,0x00A0FFFF
38,172,0x17a388FF
39,172,0x00A388FF
40,172,0xFFFF9DFF
41,172,0xFFFFFFFF
42,172,0xFFB400FF
43,172,0x00A388FF
44,172,0x399332FF
45,172,0xFFFFFFFF
46,172,0xFF358BFF
47,172,0x00A388FF
48,172,0x1252FFFF
49,172,0xFFB03BFF
50,172,0xa09c9cff
51,172,0x6ba6b7ff
52,172,0x53A629ff
53,172,0x2b9172ff
54,172,0xa955baff
55,172,0x4687A4FF
56,172,0x248AB76F
57,172,0x007EC6FF
58,172,0x68964FFF
59,172,0x99901E6F
60,172,0x00E40DFF
61,172,0x9A69ABFF
62,172,0xC561E26F
63,172,0xCE28D4FF
64,172,0xB48359FF
65,172,0xD0941B6F
66,172,0xFF8400FF
67,172,0x1B1B1BFF
68,172,0x0A1400FF
69,172,0x000A1EFF
70,172,0x000A1EFF
71,172,0x000A1EFF
72,172,0x6A6A6AFF
73,172,0x6F92B7FF
74,172,0x71A00EFF
75,172,0x00D0CEFF
76,172,0xB453FFFF
77,172,0x303943FF
78,172,0x4B9AFFFF
79,172,0xAF53CDFF
80,172,0x0E9418FF
81,172,0xD90E00FF
82,172,0x1F63EEFF
83,172,0x6A6A6AFF
84,172,0x6F92B7FF
85,172,0x71A00EFF
86,172,0x00D0CEFF
87,172,0xB453FFFF
88,172,0xF3902AFF
89,172,0xF3912AFF
90,172,0x41464CFF
172,172,0xEBFFE6FF
92,172,0x3B3D3FFF
93,172,0x4791F0FF
94,172,0xFFFFFF33
95,172,0x303943FF
96,172,0xFFFFFFFF
97,172,0xFFFFFFFF
98,172,0xFFFFFF7F
99,172,0x000000CC
100,172,0x00000066
103,172,0x50AA1EFF
104,172,0xFFD74BFF
105,172,0xFF506EFF
101,172,0x59D1CDFF
102,172,0xFF150FFF
116,172,0x078CD1FF
117,172,0xF52608FF
119,172,0x676A72FF
120,172,0x89C2FCFF
121,172,0xFFFFFFB3
123,172,0x78828CFF
124,172,0x0105C2FF
127,172,0x00E40DFF
128,172,0xF52608FF
172,172,0x00A8FFFF
172,172,0xFF2E4BFF
129,172,0xFF4E3CFF
130,172,0x6D0A0ADC
131,172,0xC41503D9
132,172,0x004191D9
133,172,0x0064EDD9
134,172,0x53800BD9
135,172,0x6F9E24D9
136,172,0xC33700D9
137,172,0xF56800D9
138,172,0xFFFFFFFF
139,172,0xFF8000FF
140,172,0xC20501FF
141,172,0x6A6A6AFF
142,172,0x6F92B7FF
143,172,0x71A00EFF
144,172,0x00D0CEFF
145,172,0xB453FFFF
146,172,0x0105C2FF
147,172,0xFF2E4BFF
148,172,0xFFC800FF
149,172,0xB453FFFF
150,172,0xFFFFFFFF
151,172,0x000000FF
152,172,0x5DAE40FF
153,172,0xF9BA45FF
154,172,0x8D81FCFF
155,172,0xDA4956FF
156,172,0x2CB7B8FF
157,172,0x3E91F7FF
158,172,0xD64797FF
159,172,0xA75BE4FF
160,172,0xFFD74BFF
161,172,0x070A0EFF
172,172,0x78828CFF
162,172,0xADB5C1FF
163,172,0xC55ED8FF
164,172,0x8DD789FF
165,172,0xB19F71FF
166,172,0xFF2E4BFF
167,172,0xFFFFFFFF
168,172,0x0105C2FF
169,172,0xFFC800FF
170,172,0xFFC600FF
171,172,0xB453FFFF
112,172,0x84C2FEFF
113,172,0xFFC800FF
114,172,0xFF2D55FF
115,172,0xCECECEFF
