Id,GroupId,TeamId,Type,UseType,ManualControl,ControlTime,MultiControl,HitCancel,ForbidUserCancel,Radius,BPName,WorldInfoId,Visible,InitialSpawning,Period,Repeatable,LifeTime,ControlCoolingTime,MaxCount,BasePosX,BasePosY,BasePosZ,RotateP,RotateY,RotateR,SpawnRadius,TotalControlCount,ControlActionType1,ControlActionParam1,ControlActionType2,ControlActionParam2,ControlActionType3,ControlActionParam3,SiegeWarParentNpcSpawnInfoId,CollisionUnitType,CollisionUnitParam,InteractionType,InteractionAnimation,ActivateMaterial,InactivateMaterial,ControlProcessingEffect,ControlCompleteStartEffect,ControlCompleteLoopEffect,InstanceResetAfterControl,DisableSpawnVFX,ShowName,ControlImpossibleType,ControllImpossibleValueStrings
20000101,200001,10,10,1,1,5,0,1,0,100,BP_Gadget_QuestScrollBox_01,200,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4100",12,"{""npcInfoId"":30080, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1, ""randomLength"" : ""75""}",42,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0,-1,
20100101,201001,10,10,1,1,5,0,1,0,100,BP_Gadget_QuestScrollBox_01,201,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4200",12,"{""npcInfoId"":30180, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1, ""randomLength"" : ""75""}",42,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0,-1,
20200101,202001,10,10,1,1,5,0,1,0,100,BP_Gadget_QuestScrollBox_01,202,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4300",12,"{""npcInfoId"":30280, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1, ""randomLength"" : ""75""}",42,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0,-1,
20300101,203001,10,10,1,1,5,0,1,0,100,BP_Gadget_QuestScrollBox_01,203,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4400",12,"{""npcInfoId"":30380, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1, ""randomLength"" : ""75""}",42,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0,-1,
20400101,204001,10,10,1,1,5,0,1,0,100,BP_Gadget_QuestScrollBox_01,204,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4500",12,"{""npcInfoId"":30480, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1, ""randomLength"" : ""75""}",42,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0,-1,
20500101,205001,10,10,1,1,5,0,1,0,100,BP_Gadget_QuestScrollBox_01,205,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4600",12,"{""npcInfoId"":30580, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1, ""randomLength"" : ""75""}",42,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0,-1,
20600101,206001,10,10,1,1,5,0,1,0,100,BP_Gadget_QuestScrollBox_01,206,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4700",12,"{""npcInfoId"":30680, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1, ""randomLength"" : ""75""}",42,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0,-1,
20700101,207001,10,10,1,1,5,0,1,0,100,BP_Gadget_QuestScrollBox_01,207,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4800",12,"{""npcInfoId"":30780, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1, ""randomLength"" : ""75""}",42,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0,-1,
20800101,208001,10,10,1,1,5,0,1,0,100,BP_Gadget_QuestScrollBox_01,208,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":4900",12,"{""npcInfoId"":30880, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1, ""randomLength"" : ""75""}",42,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0,-1,
9000101,90001,10,10,1,1,5,0,1,0,100,BP_Gadget_QuestScrollBox_01,1,1,1,600,1,0,0,0,0,0,226,0,0,0,0,0,15,"""itemDropGroupId"":100",12,"{""npcInfoId"":20180, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1, ""randomLength"" : ""75""}",42,,,6,,3,ControlGadget_Unlock,,,,,,0,0,0,-1,
