SortId,Id,BossStatusType,SpawnTime,RegenTime,IconTexture,ImageTexture,RecommendedNumber,RecommendedPower,WorldSpotId,RewardItem1,RewardItem2,RewardItem3,RewardItem4,RewardItem5
4,20298,0,7200,14400,Icon_MonsterCore_RottenFungus,Icon_MonsterCore_RottenFungus,5,14900,20298,911158,460008,470025,,
5,20398,0,7200,14400,Icon_MonsterCore_PurgatoryZombie,Icon_MonsterCore_PurgatoryZombie,5,33500,20398,911159,460008,470037,,
6,20498,0,7200,14400,Icon_MonsterCore_AmdenOrcShaman,Icon_MonsterCore_AmdenOrcShaman,5,79500,20498,911160,460003,470047,,
7,20598,0,7200,14400,Icon_MonsterCore_DeathFire,Icon_MonsterCore_DeathFire,5,118400,20598,911161,460013,470057,,
8,20698,0,7200,14400,Icon_MonsterCore_Shelob,Icon_MonsterCore_Shelob,5,145300,20698,911162,460003,470068,,
9,20798,0,7200,14400,Icon_MonsterCore_Drake,Icon_MonsterCore_Drake,20,241200,20798,911163,460013,470078,,
10,20898,0,7200,14400,Icon_MonsterCore_SerpentSlave,Icon_MonsterCore_SerpentSlave,20,290200,20898,911164,460003,470086,,
11,20998,0,7200,14400,Icon_MonsterCore_Lorca,Icon_MonsterCore_Lorca,20,348400,20998,911165,460013,470096,,
12,21198,0,7200,14400,Icon_MonsterCore_CaveMaiden,Icon_MonsterCore_CaveMaiden,20,573900,21198,911166,460003,470118,,
17,301001,2,,,Icon_MonsterCore_DeathKnight,Icon_MonsterCore_DeathKnight,,,,490034,911230,,,
18,300001,2,,,Icon_MonsterCore_QueenAnt,Icon_MonsterCore_QueenAnt,,,,490034,911232,,,
19,302001,2,,,Icon_MonsterCore_CrumaCore,Icon_MonsterCore_CrumaCore,,,,490034,910241,,,
